parent.pop,phylogroup,elevation.group,maternal.families,approx.number.seeds,UCD.seed.year,proposed.WL2.seed.year,collection.priority.,on.climate.PCA.,JGI.DNA,notes
BH,4,low,44,1000,2021,2021,NA,Y,NA,NA
CC,7,low,18,500,2018,2018,yes,Y,NA,NA
CP2,2,high,24,500,2019,2022,yes,Y,NA,NA
CP3,2,high,15,200,2018,2022,yes,Y,NA,NA
DPR,5,mid,21,300,2020,2020,yes,Y,NA,NA
FR,7,mid,22,500,2019,2022,yes,Y,NA,seeds were not present when started parent pops in october 2021; seeds appeared in bin recently
IH,5,low,41,1000,2021,2021,NA,Y,NA,NA
LV1,9,high,34,1000,2018,2018,yes,Y,NA,NA
LV3,9,high,11,500,2018,2016,yes,Y,NA,NA
LVTR1,9,high,10,100,2020,2020,yes,Y,NA,NA
SC,4,low,33,500,2021,2021,NA,Y,NA,NA
SQ1,3,mid,25,1000,2021,2021,yes,Y,NA,NA
SQ2,3,mid,20,1000,2021,2021,yes,Y,NA,NA
SQ3,3,high,24,1000,2021,2021,yes,Y,NA,NA
TM2,6,low,30,500,2021,2021,NA,Y,NA,NA
WL1,2,mid,22,500,2020,2020,yes,Y,NA,NA
WL2,2,high,29,1000,2020,2020,yes,Y,NA,NA
WR,8,mid,4,200,2016,2016,yes,N,NA,NA
WV,8,mid,3,200,2014,2014,yes,Y,NA,original envelope?
YO11,1,high,10,1000,2021,2021,yes,Y,NA,NA
YO4,1,high,35,500,2021,2021,NA,Y,NA,NA
YO7,1,high,24,500,2020,2022,NA,NA,NA,NA
YO8,1,high,23,500,2021,2021,NA,Y,NA,NA
