Bed,Date_Time,SoilTemp
A,11/30/22 16:27,11
A,11/30/22 17:27,10
A,11/30/22 18:27,10
A,11/30/22 19:27,9.5
A,11/30/22 20:27,9.5
A,11/30/22 21:27,9
A,11/30/22 22:27,9
A,11/30/22 23:27,9
A,12/1/22 0:27,8.5
A,12/1/22 1:27,8.5
A,12/1/22 2:27,8.5
A,12/1/22 3:27,8.5
A,12/1/22 4:27,8.5
A,12/1/22 5:27,8.5
A,12/1/22 6:27,8.5
A,12/1/22 7:27,8.5
A,12/1/22 8:27,8.5
A,12/1/22 9:27,8.5
A,12/1/22 10:27,8.5
A,12/1/22 11:27,9
A,12/1/22 12:27,9.5
A,12/1/22 13:27,9.5
A,12/1/22 14:27,10
A,12/1/22 15:27,10
A,12/1/22 16:27,9.5
A,12/1/22 17:27,9.5
A,12/1/22 18:27,9
A,12/1/22 19:27,8.5
A,12/1/22 20:27,8
A,12/1/22 21:27,7.5
A,12/1/22 22:27,7
A,12/1/22 23:27,7
A,12/2/22 0:27,6.5
A,12/2/22 1:27,6
A,12/2/22 2:27,6
A,12/2/22 3:27,5.5
A,12/2/22 4:27,5.5
A,12/2/22 5:27,5
A,12/2/22 6:27,5
A,12/2/22 7:27,5
A,12/2/22 8:27,5
A,12/2/22 9:27,5.5
A,12/2/22 10:27,6.5
A,12/2/22 11:27,7.5
A,12/2/22 12:27,8
A,12/2/22 13:27,9
A,12/2/22 14:27,9.5
A,12/2/22 15:27,9.5
A,12/2/22 16:27,9
A,12/2/22 17:27,8.5
A,12/2/22 18:27,8
A,12/2/22 19:27,7.5
A,12/2/22 20:27,7
A,12/2/22 21:27,6.5
A,12/2/22 22:27,6.5
A,12/2/22 23:27,6
A,12/3/22 0:27,6
A,12/3/22 1:27,6
A,12/3/22 2:27,6
A,12/3/22 3:27,6
A,12/3/22 4:27,6
A,12/3/22 5:27,6
A,12/3/22 6:27,6
A,12/3/22 7:27,6
A,12/3/22 8:27,6
A,12/3/22 9:27,6
A,12/3/22 10:27,6.5
A,12/3/22 11:27,6.5
A,12/3/22 12:27,6.5
A,12/3/22 13:27,7
A,12/3/22 14:27,7
A,12/3/22 15:27,7
A,12/3/22 16:27,7
A,12/3/22 17:27,7
A,12/3/22 18:27,7
A,12/3/22 19:27,7
A,12/3/22 20:27,6.5
A,12/3/22 21:27,6.5
A,12/3/22 22:27,6.5
A,12/3/22 23:27,6.5
A,12/4/22 0:27,6.5
A,12/4/22 1:27,6.5
A,12/4/22 2:27,6.5
A,12/4/22 3:27,6.5
A,12/4/22 4:27,6.5
