DataFileName,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
pet1895dec.asc,31.1,22.3,21.2,18.8,19.3,16.7,22,16,12.4,14.8,25.4,34.9,28,33.5,22.7,21.8,23.8,17.4,17.7,18.8,28.9,27.1,28.3,26.7,24.1,23.8
pet1895nov.asc,45.7,34.6,30.6,27.6,30.8,28.6,34.3,24.3,20,22.4,38,47.2,40.9,44.5,34.9,32.6,32.8,27.5,28.4,25.5,39.8,38.1,38.3,37.6,38.3,32.9
pet1895oct.asc,89.7,82.2,68.2,64,73.1,71.3,78.4,62.8,54.6,58.8,82.8,86.4,78.8,77.6,82.7,71.9,74.3,66.1,70.2,59.7,75.2,72.6,73.8,73.2,85.6,74.4
pet1896apr.asc,108.7,105.2,70.4,67.5,88.3,93.7,99.1,60.5,56.5,53.6,103.9,91.1,82.9,82.3,104.4,78.4,75.8,82.4,85.3,62.6,77.8,70.2,69.3,79.4,111.8,75.6
pet1896aug.asc,173.5,169.7,132.2,129.1,152.5,153.1,162.6,123.3,116.9,114.4,168.1,147.2,135.8,132.8,172.2,143.2,142,145,141.6,120,132.4,128.2,127.2,132.9,176.1,141.8
pet1896dec.asc,33.7,24.2,24,21.4,21.1,18.5,24,18.5,14.4,17.3,27.4,38.7,30.9,37.3,24.7,24.2,26.6,19.1,19.6,22.5,32.2,30.7,32.4,29.8,25.9,26.7
pet1896feb.asc,49.4,38.4,35.7,32.5,34.6,34.1,38.5,27.1,22.9,24.5,42.8,52.7,45.1,50.8,37.9,36.5,35.7,31.4,32.3,35.8,44.1,41,42.2,42.5,42.3,35.7
pet1896jan.asc,35.7,25,24.9,22.3,22.8,20.4,24.9,19.7,15.8,18.4,29.1,40,33.9,38.3,25.9,24.2,26.4,20.7,21,24,33.6,31.5,31.9,31,27.8,26.5
pet1896jul.asc,203.4,203.8,156.7,154.3,180.2,180.5,189.9,150.5,145.3,139.8,198,169.7,157.2,153.2,204.4,169.7,169.5,174.8,169.2,140.1,161.1,152.9,150.8,161.7,206.7,169.3
pet1896jun.asc,186.9,178.5,145.9,143.7,165.2,166.7,174.1,135.9,132.2,124.8,182,164.1,152.1,150.6,181,153.6,157.2,158.9,156,133.6,151.6,146.4,144.9,153.1,188.9,156.6
pet1896mar.asc,82.8,73,56.6,52.6,63.9,67.4,70.5,47.4,42.4,42.3,74.7,76.2,68.8,71.8,71.7,60.3,58.6,59.1,60.1,54.9,64.3,62.7,63.6,65.4,77.4,58.5
