DataFileName,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
pet2024sep.asc,138.2,133.8,108.6,104.2,122.7,120,129.6,102.1,93.5,95.2,131.3,127,114.3,110.9,135.3,113.9,118.7,114.3,115.5,97.4,113.9,109.1,107.4,109.6,135.1,118.3
pet2024oct.asc,96.6,86.8,73,68.3,79.3,74.6,84.2,63.8,55.3,59.3,88,94.9,85.4,84.3,87.4,77,79.6,71.2,72.5,65.7,81.9,77.8,79.2,78.3,89.4,79.7
pet2024nov.asc,47.7,35.4,29.8,26.8,30.5,28.3,34.4,24.2,20,22.6,38,47.2,40.2,43.3,35.5,31.5,31.4,27,27.8,26.1,39.3,37.7,38.2,37.3,37.8,31.6
pet2024dec.asc,35,24.4,25,22.1,22.3,18.4,24.7,18.8,14.5,17.5,28.1,40.8,32.1,38.8,24.8,25.3,27.7,20,19.7,24.3,33.8,31.7,33.3,30.7,25.8,27.8
aet2024sep.asc,4.19,27.69,7.05,23,66.51,10.06,0,17.87,26.3,6,0,0,6.88,5.17,43.69,20.1,5.74,0,36.76,6.44,25.6,20.43,2.9,23.23,19.99,26.78
aet2024oct.asc,0.77,6.98,3.16,5.19,26.32,2.12,0,6.73,6.53,2.51,0,0,1.1,0.82,12.27,4.6,1.66,0,9.94,2.9,7.43,4.98,0.94,5.65,5.19,5.4
aet2024nov.asc,0.45,5.14,2.65,3.58,17.34,3.17,0.09,3.42,2.91,4.29,0,0,0.6,1.08,9.66,2.8,3.79,1.91,7.43,2.35,3.13,4.66,4.55,5.22,3.82,3
aet2024dec.asc,2.42,4.49,1.92,2.64,11.71,4.32,5.69,6.33,1.83,3.23,1.78,4.73,2.94,4.46,13.46,3.1,10.13,4.34,13.42,1.89,3.37,3.39,3.78,3.67,4.13,3.2
cwd2024sep.asc,134.01,106.11,101.55,81.2,56.19,109.94,129.6,84.23,67.2,89.2,131.3,127,107.42,105.73,91.61,93.8,112.96,114.3,78.74,90.96,88.3,88.67,104.5,86.37,115.11,91.52
cwd2024oct.asc,95.83,79.82,69.84,63.11,52.98,72.48,84.2,57.07,48.77,56.79,88,94.9,84.3,83.48,75.13,72.4,77.94,71.2,62.56,62.8,74.47,72.82,78.26,72.65,84.21,74.3
cwd2024nov.asc,47.25,30.26,27.15,23.22,13.16,25.13,34.31,20.78,17.09,18.31,38,47.2,39.6,42.22,25.84,28.7,27.61,25.09,20.37,23.75,36.17,33.04,33.65,32.08,33.98,28.6
cwd2024dec.asc,32.58,19.91,23.08,19.46,10.59,14.08,19.01,12.47,12.67,14.27,26.32,36.07,29.16,34.34,11.34,22.2,17.57,15.66,6.28,22.41,30.43,28.31,29.52,27.03,21.67,24.6
pck2024sep.asc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pck2024oct.asc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pck2024nov.asc,0,0,67.53,89.6,0,0,0,547.2399,547.53,563.5699,0,0,0,28.03,0,0,38.01,0,4.38,67.58,0.14,79.05,86.13,0,0,40.34
