Pop ,mf ,rep ,DNA ,height (cm) ,longest leaf (cm) ,Notes 
CP2 ,1,1,1,0.5,1.6,KN 
CP2 ,1,2,1,0.7,1.8,KN 
CP2 ,1,3,1,1.1,1.8,KN 
CP2 ,1,4,1,0.8,1.6,KN 
CP2 ,1,5,1,0.9,1.8,KN 
CP2 ,1,6,1,1,1.9,KN 
CP2 ,1,7,1,1.5,2,KN 
CP2 ,1,8,1,1.1,1.5,KN 
CP2 ,1,9,1,0.5,1.8,KN 
CP2 ,1,10,1,0.7,1.4,KN 
CP2 ,1,11,1,0.8,1.6,KN 
CP2 ,1,12,1,0.5,1.6,KN 
CP2 ,1,13,1,0.5,1.1,KN 
CP2 ,2,1,1,0.9,1.1,KN 
CP2 ,2,2,1,1.5,2.2,KN 
CP2 ,2,3,1,0.9,1.7,KN 
CP2 ,2,4,1,0.8,2,KN 
CP2 ,2,5,1,1.4,2.4,KN 
CP2 ,2,6,1,1.3,1.5,KN 
CP2 ,2,7,1,1.3,2,KN 
CP2 ,2,8,1,1,1.8,KN 
CP2 ,2,9,1,0.5,2,KN 
CP2 ,2,10,1,0.8,1.6,KN 
CP2 ,2,11,1,1,1.8,KN 
CP2 ,2,12,1,0.6,2.3,KN 
CP2 ,2,13,1,0.8,1.8,KN 
CP2 ,3,1,1,0.9,2.1,KN 
CP2 ,3,2,1,0.4,1.3,KN
CP2 ,3,3,1,1,2.5,KN
CP2 ,3,4,1,1.7,2.3,KN
CP2 ,3,5,1,1.3,1.8,KN
CP2 ,3,6,1,0.8,2,KN
CP2 ,3,7,1,0.6,2.4,KN
CP2 ,3,8,1,1.7,2.2,KN
CP2 ,3,9,1,1.8,1.8,KN
CP2 ,3,10,1,1.4,2.5,KN
CP2 ,3,11,1,1.5,2.2,KN
CP2 ,3,12,1,1.3,1.8,KN
CP2 ,3,13,1,1.1,1.9,KN
CP2 ,4,1,1,0.8,1.2,KN
CP2 ,4,2,1,1.2,1.7,KN
CP2 ,4,3,1,0.7,1.3,KN
CP2 ,4,4,1,0.9,1.7,KN
CP2 ,4,5,1,0.9,2.1,KN
CP2 ,4,6,1,1.3,1.7,KN
CP2 ,4,7,1,1.4,1.7,KN
CP2 ,4,8,1,1,1.1,KN
CP2 ,4,9,1,1.1,1.3,KN
CP2 ,4,10,1,0.9,1.2,KN
CP2 ,4,11,1,0.5,1.5,KN
CP2 ,4,12,1,1.5,1.8,KN
CP2 ,4,13,1,0.7,0.8,KN
CP2 ,5,1,1,1.4,0.9,KN
CP2 ,5,2,1,0.8,1.4,KN
CP2 ,5,3,1,1.7,1.9,KN 
CP2 ,5,4,1,0.9,2.2,KN 
CP2 ,5,5,1,2.3,1.7,KN 
CP2 ,5,6,1,0.8,1.3,KN 
CP2 ,5,7,1,0.5,1.5,KN 
CP2 ,5,8,1,1.4,1.8,KN 
CP2 ,5,9,1,1.5,2,KN 
CP2 ,5,10,1,0.9,0.9,KN 
CP2 ,5,11,1,1.2,1.8,KN 
CP2 ,5,12,1,0.8,1.7,KN 
CP2 ,5,13,1,0.9,1.4,KN 
CP2 ,6,1,1,1,0.5,KN 
CP2 ,6,5,1,1.3,1,KN 
CP2 ,6,7,1,0.8,1.1,KN 
CP2 ,6,11,1,0.6,1.2,KN 
CP2 ,6,12,1,1.1,1.2,KN 
CP2 ,6,13,1,0.8,1.4,KN 
CP2 ,7,1,1,1.1,1.6,KN 
CP2 ,7,2,1,1,1.3,KN 
CP2 ,7,3,1,1.5,1.7,KN 
CP2 ,7,4,1,1.6,1.5,KN 
CP2 ,7,5,1,1.7,1.6,KN 
CP2 ,7,6,1,0.8,1.6,KN 
CP2 ,7,7,1,1.6,1.7,KN 
CP2 ,7,8,1,0.7,1.4,KN 
CP2 ,7,9,1,0.8,1.5,KN 
CP2 ,7,10,1,1.2,1.3,KN 
CP2 ,7,11,1,0.9,1,KN
CP2 ,7,12,1,1.2,1,KN
CP2 ,7,13,1,1.3,1.8,KN
CP3 ,1,1,1,0.8,0.9,
CP3 ,1,2,1,1.4,1.3,
CP3 ,1,3,1,1.3,1.7,
CP3 ,1,4,1,1.4,1.6,
CP3 ,1,5,1,1.2,1.3,
CP3 ,1,6,1,0.9,1.5,
CP3 ,1,7,1,1,1.5,
CP3 ,1,8,1,0.9,1.8,
CP3 ,1,9,1,1.2,1.6,
CP3 ,1,10,1,1.1,0.9,
CP3 ,1,11,1,1,0.8,
CP3 ,1,12,1,1.2,1.7,
CP3 ,1,13,1,1.4,0.9,
CP3 ,2,1,1,0.7,1.3,
CP3 ,2,2,1,1,1.2,
CP3 ,2,3,1,1.1,1.5,
CP3 ,2,4,1,0.9,1.5,
CP3 ,2,5,1,0.7,1.1,
CP3 ,2,6,1,0.5,1.1,
CP3 ,2,7,1,0.8,1.2,
CP3 ,2,8,1,1,1.4,
CP3 ,2,9,1,0.5,1.5,
CP3 ,2,10,1,0.8,1.4,
CP3 ,2,11,1,1,1.7,
CP3 ,2,12,1,0.6,1.6,
CP3 ,3,1,1,0.5,2.4,
CP3 ,3,2,1,1.3,1.5,
CP3 ,3,3,1,1.1,1.6,
CP3 ,3,4,1,1.4,1.3,
CP3 ,3,5,1,1.6,1.5,
CP3 ,3,6,1,1,1.5,
CP3 ,3,7,1,1.9,0.8,
CP3 ,3,8,1,1,1,
CP3 ,3,9,1,1.1,1.4,
CP3 ,3,10,1,1,0.7,
CP3 ,3,11,1,1.2,1.2,
CP3 ,3,12,1,1.3,1.5,
CP3 ,3,13,1,1.1,0.9,
CP3 ,4,1,1,1,1.2,
CP3 ,4,2,1,1.1,1.2,
CP3 ,4,3,1,1.2,1.6,
CP3 ,4,4,1,1.2,1.5,
CP3 ,4,5,1,0.6,0.7,
CP3 ,4,6,1,1.2,1.4,
CP3 ,4,7,1,1,1.8,
CP3 ,4,8,1,0.9,1,
CP3 ,4,9,1,0.7,1.2,
CP3 ,4,10,1,1.2,1.1,
CP3 ,4,11,1,1.7,1.4,
CP3 ,4,12,1,1,1.8,
CP3 ,4,13,1,1.4,1.5,
CP3 ,5,1,1,1.3,1.9,
CP3 ,5,2,1,1,1.2,
CP3 ,5,3,1,1,1.3,
CP3 ,5,4,1,1.5,2.3,
CP3 ,5,5,1,1,1.7,
CP3 ,5,6,1,1.1,1.8,
CP3 ,5,7,1,1,2.1,
CP3 ,5,8,1,1.1,1.7,
CP3 ,5,9,1,1.1,1.7,
CP3 ,5,10,1,1.2,1.5,
CP3 ,5,11,1,1.2,1.8,
CP3 ,5,12,1,1.2,2.1,
CP3 ,5,13,1,0.8,1.4,
CP3 ,6,1,1,1.2,1.5,
CP3 ,6,2,1,1,0.9,
CP3 ,6,3,1,0.7,1.1,
CP3 ,6,4,1,0.9,1.5,
CP3 ,6,5,1,0.4,1.3,
CP3 ,6,6,1,1.4,1.7,
CP3 ,6,7,1,1,1.2,
CP3 ,6,8,1,1,1.2,
CP3 ,6,9,1,1,1.2,
CP3 ,6,10,1,0.9,0.9,
CP3 ,6,11,1,0.8,0.7,
CP3 ,6,12,1,0.7,1.5,
CP3 ,6,13,1,0.5,1.1,
CP3 ,7,2,1,0.7,1.7,
CP3 ,7,4,1,0.9,0.9,
CP3 ,7,5,1,1,1.1,
CP3 ,7,10,1,0.8,0.8,
CP3 ,7,11,1,0.7,0.7,
CP3 ,7,12,1,0.8,1.3,
CP3 ,7,13,1,0.7,0.9,
LV1 ,1,1,1,1,1.4,
LV1 ,1,2,1,1.1,1.8,
LV1 ,1,3,1,0.8,1.1,
LV1 ,1,4,1,0.6,1.1,
LV1 ,1,5,1,1.2,1.5,
LV1 ,1,6,1,1.1,1.2,
LV1 ,1,7,1,0.6,0.8,
LV1 ,1,8,1,0.6,1.1,
LV1 ,1,9,1,0.7,1.2,
LV1 ,1,10,1,0.9,1,
LV1 ,1,11,1,0.8,1.1,
LV1 ,1,12,1,0.9,1,
LV1 ,1,13,1,0.5,1,
LV1 ,2,1,1,0.9,1.1,
LV1 ,2,2,1,0.7,1,
LV1 ,2,3,1,1,1.1,
LV1 ,2,4,1,0.8,0.7,
LV1 ,2,5,1,0.8,1.1,
LV1 ,2,6,1,0.9,1.1,
LV1 ,2,7,1,0.8,1,
LV1 ,2,8,1,0.8,1.2,
LV1 ,2,9,1,0.6,0.9,
LV1 ,2,10,1,0.6,0.7,
LV1 ,2,11,1,0.5,1.1,
LV1 ,2,12,1,0.6,1,
LV1 ,2,13,1,0.5,0.8,
LV1 ,3,1,1,1.2,1.5,
LV1 ,3,2,1,0.9,1.2,
LV1 ,3,3,1,0.8,0.9,
LV1 ,3,4,1,1,1.3,
LV1 ,3,5,1,1.1,1.4,
LV1 ,3,6,1,0.9,1.3,
LV1 ,3,7,1,0.9,1.2,
LV1 ,3,8,1,0.8,1.3,
LV1 ,3,9,1,0.5,1.1,
LV1 ,3,10,1,0.5,1.1,
LV1 ,3,11,1,1,1.2,
LV1 ,3,12,1,0.6,0.8,
LV1 ,3,13,1,0.8,0.8,
LV1 ,4,1,1,1,1,
LV1 ,4,2,1,0.9,0.8,
LV1 ,4,3,1,0.7,0.7,
LV1 ,4,4,1,0.8,0.7,
LV1 ,4,5,1,0.7,0.9,
LV1 ,4,6,1,0.7,0.7,
LV1 ,4,7,1,0.8,0.9,
LV1 ,4,8,1,0.5,1,
LV1 ,4,9,1,0.6,1,
LV1 ,4,10,1,0.6,0.8,
LV1 ,4,11,1,1,0.7,
LV1 ,4,12,1,0.5,0.5,
