Pop ,mf ,rep ,DNA ,height (cm) ,longest leaf (cm) ,Notes 
CP2 ,1,14,1,1.2,0.9,
CP2 ,2,14,1,0.8,0.7,
CP2 ,3,14,1,0.5,1,
CP2 ,4,14,1,1.1,0.9,
CP2 ,5,14,1,1.4,1.6,
CP2 ,7,14,1,0.9,0.8,
CP2 ,2,15,1,0.7,1.1,
CP3 ,1,14,1,0.2,0.5,
CP3 ,3,14,1,0.8,0.9,
CP3 ,4,14,1,0.4,0.6,
CP3 ,5,14,1,0.5,1.3,
CP3 ,1,15,1,0.1,0.7,
CP3 ,3,15,1,0.4,0.4,
CP3 ,4,15,1,0.3,0.8,
DPR ,1,14,1,1.7,0.6,
DPR ,3,14,1,2.1,0.8,
DPR ,4,14,0,0.2,0.1,too small to collect 
DPR ,6,14,1,0.8,0.5,
DPR ,8,14,1,1.3,0.9,
DPR ,3,15,1,2.4,1.2,
DPR ,6,15,1,1,0.6,
DPR ,8,15,1,2.5,1.3,
DPR ,6,16,1,1.1,0.7,
DPR ,8,16,1,2.3,0.8,
DPR ,6,17,1,1.2,0.4,
DPR ,8,17,1,2.9,2.1,
DPR ,6,18,1,2,1.1,
DPR ,8,18,1,1.2,0.9,
DPR ,6,19,1,1.4,0.8,
DPR ,8,19,1,1.1,0.4,
DPR ,6,20,1,1.4,0.6,
LVTR1 ,6,14,1,0.2,0.2,
LVTR1 ,7,14,1,0.4,0.3,
LVTR1 ,8,14,1,0.7,0.2,
LVTR1 ,6,15,0,0.3,0.1,too small to collect 
LVTR1 ,8,23,1,1.2,0.5,
LVTR1 ,8,15,1,0.3,0.3,
LVTR1 ,8,24,1,0.8,0.4,
LVTR1 ,7,16,1,0.6,0.2,
LVTR1 ,8,16,1,0.5,0.4,
LVTR1,8,25,1,0.9,0.3,
LVTR1 ,7,17,1,0.4,0.3,
LVTR1 ,8,17,1,0.5,0.2,
LVTR1 ,7,18,1,0.8,0.3,
LVTR1 ,8,18,1,0.7,0.4,
LVTR1 ,8,19,1,0.9,0.6,Rack out of order and 8-19 at end
LVTR1 ,8,20,1,0.8,0.6,8-20 at end 
SC ,2,14,1,0.6,0.5,
SC ,4,14,1,1.4,1.9,
SC ,5,14,1,0.6,0.7,
SC ,6,14,1,0.7,0.9,
SC ,8,14,1,1.8,1.4,
SC ,2,15,1,1.1,1.5,
SC ,4,15,1,1.2,1.7,
SC ,5,15,1,0.6,1.7,
SC ,6,15,1,1,1.3,
SC ,8,15,1,1.3,1,
SC ,2,16,1,0.7,0.9,
SC ,4,16,1,1.2,1.5,
SC ,5,16,1,0.7,1.3,
SC ,2,17,1,0.9,1.6,
SC ,4,17,1,0.9,1.4,
SC ,2,18,1,1,1.5,
SC ,2,19,1,1.2,1.4,
SC ,2,20,1,0.8,1.1,
SC ,2,21,1,1,0.9,
SC ,2,22,1,0.5,0.8,
SC ,2,23,1,0.7,1,
SC ,2,24,1,0.7,0.6,
SC ,2,25,1,1.2,1.7,
SC ,2,26,1,1,1.3,
SC ,2,27,1,0.8,1.5,
SQ2 ,6,14,1,0.3,0.6,
SQ2 ,6,15,1,0.4,0.9,
SQ2 ,6,16,1,0.6,0.8,
SQ2 ,6,17,1,0.3,1.3,
SQ2 ,6,18,1,0.2,0.5,
SQ2 ,6,19,1,0.3,0.2,
SQ2 ,6,20,1,0.1,0.3,
SQ2 ,6,21,1,0.1,0.2,
SQ2 ,6,22,1,0.2,0.8,
SQ2 ,6,23,1,0.1,0.9,
SQ2 ,6,24,1,0.3,0.7,
SQ2 ,6,25,1,0.4,1.2,
SQ2 ,6,26,1,0.2,0.4,
SQ2 ,6,27,1,0.6,0.5,
TM2 ,1,14,1,4.5,1.2,
TM2 ,7,14,1,5.1,1.4,
TM2 ,1,15,1,2.9,1,
TM2 ,7,15,1,2.3,0.6,
TM2 ,1,16,1,4.2,1.3,
TM2 ,7,16,1,2.7,1.5,
TM2 ,7,17,1,3.9,1.7,
TM2 ,7,18,1,2.8,1.4,
TM2 ,7,19,1,3.1,1.9,
TM2 ,7,20,1,2.6,0.7,
TM2 ,7,21,1,3.2,1.1,
TM2 ,7,22,1,1.3,0.4,
WL1 ,7,14,1,1.4,1.5,
WL1 ,7,15,1,1.6,1.6,
WL1 ,7,16,1,1.1,1.4,
WL1 ,7,17,1,1.5,1.5,
WL1 ,7,18,1,1.5,1.2,
WL1 ,7,19,1,1,0.9,
WL1 ,7,20,1,1.1,1.8,
WL1 ,7,21,1,1,1.5,
YO11 ,5,14,1,0.8,0.7,
YO11 ,6,14,1,1.4,1.1,
YO11 ,7,14,1,0.3,1.1,
YO11 ,8,14,1,1,0.7,
YO11 ,5,15,1,1.1,1,
YO11 ,6,15,1,1,0.7,
YO11 ,8,15,1,1.7,0.8,
YO11 ,5,16,1,0.6,0.9,
YO11 ,6,16,1,0.9,0.6,
YO11 ,8,16,1,1.7,1.4,
YO11 ,5,17,1,1.5,1.6,
YO11 ,8,17,1,1,1.3,
YO11 ,5,18,1,1,1.2,
YO4 ,9,1,1,,,other datasheet 
YO4 ,9,2,1,,,other datasheet 
YO4 ,9,3,1,,,other datasheet 
YO4 ,2,14,1,1.1,0.5,
YO4 ,2,15,1,1.1,1.2,
YO7,5,14,1,0.6,1.2,
YO7,6,14,1,1.5,1.2,
YO7,7,14,1,0.8,0.6,
YO7,5,15,1,1.2,1,
YO7,6,15,1,0.6,1.1,
YO7,7,15,1,0.8,0.7,
YO7,5,16,1,1.1,1,
YO7,6,16,1,0.3,0.8,
YO7,7,16,1,0.6,1.5,
YO7,5,17,1,0.6,1,
YO7,6,17,1,1.1,1.5,
YO7,7,17,1,1,1.5,
YO7,5,18,1,0.8,1.6,
YO7,6,18,1,1.2,0.8,
YO7,7,18,1,0.3,0.9,
YO7,5,19,1,0.6,1.4,
YO7,7,19,0,0.3,0.4,too small to collect 
YO7,7,20,1,0.9,0.8,
YO7,7,21,1,0.2,0.6,
YO7,7,22,1,0.5,0.8,
YO7,7,23,1,0.2,1.2,
YO7,7,24,1,0.6,0.9,
YO7,7,25,0,0.5,0.7,too small
YO7,7,26,0,0.2,0.3,too small
YO8,2,14,1,0.9,0.9,
YO8,5,14,1,1.2,2.1,
YO8,6,14,1,0.3,1.6,
YO8,8,14,1,0.7,1.2,
