Pop.Type,block,loc,bed,row,col,pop,mf,rep,unique.ID,wrongID,height.cm,long.leaf.cm,herbiv.y.n,survey.notes
2023-TM2-fruit,NA,A_1_A,A,1,A,TM2,6,11,TM2_6_11,TM2_6,NA,NA,NA,empty
2023-survivor,NA,A_6_B,A,6,B,CC,3,3,CC_3_3,CC_3,NA,NA,NA,dead
2023-survivor,NA,A_16_B,A,16,B,BH,3,3,BH_3_3,BH_3,NA,NA,NA,dead
2023-survivor,NA,A_17_A,A,17,A,BH,7,3,BH_7_3,BH_7,38.7,5.8,Y,NA
2023-survivor,NA,A_18_A,A,18,A,BH,4,3,BH_4_3,BH_4,13.2,4.1,Y,no tag
2023-survivor,NA,A_24_A,A,24,A,WL2,7,9,WL2_7_9,WL2_7,26.9,3.2,Y,NA
2023-survivor,NA,A_32_B,A,32,B,IH,7,4,IH_7_4,IH_7,32.5,5.4,Y,NA
2023-survivor,NA,A_35_A,A,35,A,SC,8,4,SC_8_4,SC_8,64.3,5.3,Y,NA
2023-survivor,NA,A_36_A,A,36,A,BH,3,4,BH_3_4,BH_3,19.6,4.2,Y,NA
2023-survivor,NA,A_39_B,A,39,B,WL2,7,10,WL2_7_10,WL2_7,18.3,1.7,Y,NA
2023-TM2-fruit,NA,A_43_A,A,43,A,TM2,6,1,TM2_6_1,TM2_6,NA,NA,NA,empty
2023-survivor,NA,A_45_B,A,45,B,IH,2,4,IH_2_4,IH_2,42.2,7.4,Y,NA
2023-survivor,NA,A_49_A,A,49,A,YO7,7,23,YO7_7_23,YO7_7,13.8,1.4,N,NA
2023-survivor,NA,A_53_A,A,53,A,CC,4,4,CC_4_4,CC_4,32.6,4,N,NA
2023-survivor,NA,A_53_B,A,53,B,BH,7,4,BH_7_4,BH_7,28.7,2.5,N,NA
2023-TM2-fruit,NA,A_56_B,A,56,B,TM2,2,12,TM2_2_12,TM2_2,NA,NA,NA,empty
2023-survivor,NA,A_14_D,A,14,D,CC,8,3,CC_8_3,CC_8,5.9,NA,NA,originally height 30+ cm / broken stem
2023-survivor,NA,A_15_C,A,15,C,CC,1,3,CC_1_3,CC_1,34.5,3.3,Y,NA
