block ,bed ,row ,col ,unique.ID ,height.cm ,overhd.diam ,overhd.perp ,herbiv.y.n ,survey.notes 
NA ,A ,1,A ,TM2_6_11 ,,,,,TM2 fruiting from 2023 
NA ,A ,6,B ,CC_3_3 ,,,,,
NA ,A ,16,B ,BH_3_3 ,,,,,6/18/24 No tag 
NA ,A ,17,A ,BH_7_3 ,74.4,50.5,18.3,N ,
NA ,A ,18,A ,BH_4_3 ,33.9,6.2,5.8,N ,6/18/24 No tag 
NA ,A ,24,A ,WL2_7_9 ,29,26.2,15.4,Y ,
NA ,A ,32,B ,IH_7_4 ,62.1,25.1,19.9,Y ,
NA ,A ,35,A ,SC_8_4 ,87.5,56.5,36.3,N,
NA ,A ,36,A ,BH_3_4 ,64.2,33.2,29.1,Y ,
NA ,A ,39,B ,WL2_7_10 ,22.5,32.1,28.3,N ,
NA ,A ,43,A ,TM2_6_1 ,,,,,TM2 fruiting from 2023 
NA ,A ,45,B ,IH_2_4 ,80.2,38.5,31.1,Y ,
NA ,A ,49,A ,YO7_7_23 ,16.8,18.3,16.4,N ,
NA ,A ,53,A ,CC_4_4 ,41.3,20.2,7.1,N ,
NA ,A ,53,B ,BH_7_4 ,41.7,10.9,3.2,Y ,
NA ,A ,56,B ,TM2_2_12 ,,,,,TM2 fruiting from 2023 
NA ,A ,14,D ,CC_8_3 ,,,,,6/25/24 snapped off 17/12 resprouting 
NA ,A ,15,C ,CC_1_3 ,43.8,17.9,15,Y ,
NA ,A ,17,D ,BH_2_3 ,86,67.3,27.4,N ,
NA ,A ,22,D ,SC_8_3 ,48.7,28.5,26.4,Y ,7/16 some buds dying 
NA ,A ,23,D ,TM2_3_3 ,,,,,TM2 fruiting from 2023 
NA ,A ,36,C ,SC_2_4 ,63.1,30.5,24.2,N ,
NA ,A ,44,C ,TM2_6_3 ,,,,,TM2 fruiting from 2023 / 3 small rosettes nearby 
NA ,A ,45,D ,SC_4_4 ,48.1,51.1,26.5,Y ,
NA ,A ,46,D ,SQ1_5_10 ,38.2,20.7,4.6,Y ,7/16 sone buds look deformed or damaged 
NA ,A ,50,D ,IH_6_4 ,60.6,44.9,20.8,Y ,
NA ,A ,56,C ,IH_1_4 ,49,26.8,20.6,Y ,7/16 some buds look deformed or damaged 
NA ,A ,58,D ,YO7_7_13 ,13,14.7,12.6,N ,
NA ,B ,22,A ,IH_3_5 ,45.5,38.1,14.6,N ,
NA ,B ,25,A ,IH_6_5 ,37.6,24.3,13.4,Y ,
NA ,B ,37,A ,TM2_1_16 ,,,,,TM2 fruiting from 2023 
NA ,B ,42,A ,BH_2_5 ,79.2,50.4,41.6,Y ,
NA ,B ,43,A ,BH_5_5 ,65.3,54.8,27.6,N ,
