parent.pop,elevation.group,elev_m,year,ann_tmean,mean_diurnal_range,temp_seasonality,temp_ann_range,ann_ppt,ppt_seasonality,timeframe,tmean_wettest_month,tmean_driest_month,ppt_warmest_month,ppt_coldest_month
BH,low,511.4294422,1964,12.254444444444445,14.764444444444445,6.8527017684835645,35.519999999999996,350.8,110.21760081441518,historic,10.1,25.314999999999998,0,8.93
BH,low,511.4294422,1965,11.323125,13.21875,4.1082086272486205,26.41,608.2,95.7226504750264,historic,8.809999999999999,18.83,0,88.08
BH,low,511.4294422,1966,12.360714285714286,15.018571428571429,6.492725691476723,31.209999999999997,202.32,107.10334887654581,historic,5.555000000000001,21.814999999999998,0.46,94.54
BH,low,511.4294422,1967,12.843125,13.90625,7.312337391354422,35.29,665.0800000000002,92.64438219979446,historic,8.004999999999999,26.575,0,149.34
BH,low,511.4294422,1968,12.392142857142858,15.275714285714287,6.084747911200359,34.029999999999994,302.17,65.89523873665308,historic,5.17,22.869999999999997,0,73.47
BH,low,511.4294422,1969,11.223125,12.818750000000001,5.278680122841856,27.91,928.98,92.66997900132033,historic,6.75,17.96,4.9,136.7
BH,low,511.4294422,1970,14.019444444444446,15.712222222222222,6.629051800806642,34.760000000000005,498.87,104.37787308963448,historic,8.725,22.4125,0,77.86
BH,low,511.4294422,1971,11.030000000000001,13.80857142857143,5.172571088604455,28.959999999999997,301.85,101.34002872235423,historic,6.68,20.6,0,35.18
BH,low,511.4294422,1972,12.308571428571428,14.657142857142857,6.809714087418132,33.26,239.47999999999996,138.1537301072114,historic,5.04,13.22,1.05,26.11
BH,low,511.4294422,1973,12.051428571428572,13.4,7.1065871522398805,33.519999999999996,528.4399999999999,95.77409459135245,historic,9.375,19.56,0.68,78.49
BH,low,511.4294422,1974,11.9125,13.745000000000001,5.394822915139503,31.130000000000003,552.31,75.56933065181389,historic,10.495,17.385,0.03,91.58
BH,low,511.4294422,1975,10.748125,13.81125,5.480028634896511,31.07,557.96,86.9818282592644,historic,7.73,21.3,0.77,86.15
BH,low,511.4294422,1976,11.407499999999999,15.262500000000001,5.448807864373375,31.49,223.92000000000002,107.34448551040234,historic,8.53,21.185,0.21,7.71
BH,low,511.4294422,1977,12.435555555555556,15.113333333333333,5.486181188019383,32.809999999999995,242.29999999999998,53.06491082591262,historic,5.4399999999999995,15.110000000000001,21.16,48.05
BH,low,511.4294422,1978,12.996428571428572,12.404285714285715,4.509154313066655,25.97,922.8100000000001,69.97586194043453,historic,9.41,17.54,2.66,138.22
BH,low,511.4294422,1979,12.36888888888889,14.277777777777779,6.176717260091409,33.21,587.82,96.73776686742036,historic,6.515,20.722500000000004,0,51.46
BH,low,511.4294422,1980,12.10375,13.4525,3.667435606601897,25.439999999999998,666.2200000000001,95.50286685084728,historic,9.065000000000001,19.34,0,236.09
BH,low,511.4294422,1981,14.386666666666667,14.056666666666667,5.934955489863985,30.04,324.85,97.04590709455643,historic,9.870000000000001,24.575,0,126.14
BH,low,511.4294422,1982,14.4925,13.573,6.790852200652811,33.06,855.02,91.23419509869537,historic,5.635,18.12,3.35,202.88
BH,low,511.4294422,1983,11.797777777777778,12.1,4.836788779184434,27.88,1141.22,65.27408764429369,historic,9.93,20.675,0,149.3
BH,low,511.4294422,1984,14.408125,14.60625,7.103262800341424,34.26,312.07000000000005,141.38274220025733,historic,8.515,19.35,1.47,6.26
BH,low,511.4294422,1985,11.89,13.252500000000001,6.221059280494647,31.600000000000005,398.5,96.82160737470416,historic,9.825,16.84,6.31,22.49
BH,low,511.4294422,1986,12.8175,12.5875,5.050587660291198,29.63,708.09,109.00327974036294,historic,10.095,22.33,0,58.05
BH,low,511.4294422,1987,13.257777777777777,14.491111111111111,5.51896679138808,31.68,323.71000000000004,117.14670949322742,historic,8.99,16.2,1.04,58.41
BH,low,511.4294422,1988,12.133750000000001,13.94,4.7578437117789285,28.59,359.0499999999999,74.72697142104528,historic,13.605,20.945,1.84,80.26
BH,low,511.4294422,1989,12.227142857142857,13.834285714285715,6.182533095438347,31.599999999999998,325.53000000000003,100.16514057281303,historic,11.3,21.705,0.85,27.74
BH,low,511.4294422,1990,12.595,14.447777777777777,5.1080836670908205,29.68,394.77000000000004,68.85327382113984,historic,7.285,21.39,0,75.66
BH,low,511.4294422,1991,12.38,13.933333333333334,4.7676639982280635,27.98,400.67999999999995,183.6700587470246,historic,7.8999999999999995,15.225000000000001,4.49,19.7
BH,low,511.4294422,1992,13.453125,13.12375,5.7671817439592745,29.01,374.28,122.87913075391216,historic,10.649999999999999,21.08,1.77,42.66
BH,low,511.4294422,1993,13.36111111111111,13.564444444444446,6.098006732622645,32.190000000000005,750.5999999999999,115.84627026845327,historic,6.98,23.965,0,161.94
BH,low,511.4294422,1994,12.767142857142858,14.085714285714285,5.4653582202990565,30.439999999999998,321.13000000000005,69.42617570251153,recent,7.91,22.14,0.55,59.2
BH,low,511.4294422,1995,14.207,12.94,6.8714118717415795,33.18,852.7500000000001,114.36360086740237,recent,9.035,25.55,0.21,59.33
BH,low,511.4294422,1996,15.97,14.348571428571429,6.785776791692065,33.019999999999996,411.41,87.66155390561664,recent,10.52,27.104999999999997,0.11,78.92
BH,low,511.4294422,1997,13.465625,13.46625,5.197927085112185,26.7,850.4599999999999,139.26367585889227,recent,8.925,20.75,2.37,323.27
BH,low,511.4294422,1998,12.904375,12.06375,6.366625276448604,32.849999999999994,873.5799999999999,87.03616081811725,recent,7.8,25.549999999999997,0.22,57.92
BH,low,511.4294422,1999,11.298571428571428,13.82857142857143,5.364727947657826,30.209999999999997,413.76,78.36294630486007,recent,7.855,20.735,5.89,54.81
BH,low,511.4294422,2000,14.733125000000001,14.73125,6.4189479208601075,31.97,616.89,126.06876080770802,recent,9.709999999999999,23.71,0,1.83
BH,low,511.4294422,2001,12.76625,14.332500000000001,6.531120965916078,32.51,370.20000000000005,98.00813517954633,recent,7.23,23.759999999999998,0,113.97
BH,low,511.4294422,2002,12.666428571428572,14.01,5.782085634588464,31.07,357.96999999999997,100.43066022160632,recent,7.48,22.82,1.61,48.34
BH,low,511.4294422,2003,12.77,13.897142857142857,5.407370741250625,30.150000000000002,398.77,78.890587979321,recent,8.43,23.11,0.88,140.75
BH,low,511.4294422,2004,13.541428571428572,14.317142857142857,5.846262847812635,30.070000000000004,355.53999999999996,110.35129508660188,recent,8.55,22.705000000000002,0.97,52.58
BH,low,511.4294422,2005,12.014375,13.05125,4.307020379980971,26.86,733.5500000000001,79.92427303167239,recent,7.859999999999999,19.875,0.87,229.74
BH,low,511.4294422,2006,13.2975,13.605,6.490290247747015,30.900000000000002,522.8299999999999,87.22075179609857,recent,11.785,23.715,0.55,150.69
BH,low,511.4294422,2007,12.986428571428572,14.681428571428572,6.093939417080517,32.87,292.42,104.54619685476192,recent,8.91,22.75,0,24.75
BH,low,511.4294422,2008,13.273333333333333,14.323333333333332,6.184158525350612,30.29,322.33000000000004,147.514971434251,recent,6.745,23.134999999999998,0,191.61
BH,low,511.4294422,2009,14.351249999999999,13.965,7.31529110347438,34.55,401.4699999999999,86.37790317396582,recent,8.65,26.794999999999998,0,78.63
BH,low,511.4294422,2010,11.528749999999999,12.639999999999999,4.600585948705726,28.66,567.43,78.78671982863055,recent,9.075,21.715,0,119.87
BH,low,511.4294422,2011,12.734444444444444,12.98,5.929094810995839,31.889999999999997,840.9100000000001,91.2164530845302,recent,9.015,24.435,0,114.59
BH,low,511.4294422,2012,12.304375,14.411249999999999,5.080685019547772,30.65,303.09,96.67088738814529,recent,13.110000000000001,18.21,6.54,0.01
BH,low,511.4294422,2013,13.107857142857142,14.030000000000001,6.291694165818176,31.85,311.98,165.96414611156334,recent,7.605,23.25,2.47,24.48
BH,low,511.4294422,2014,16.075,15.241999999999999,4.9961335050216595,27.630000000000003,156.56,84.19575564963488,recent,10.555,23.075000000000003,0.16,57.4
BH,low,511.4294422,2015,14.58,14.054285714285715,5.218578190784664,30.35,211.96,116.74697938522765,recent,9.84,24.765,0.32,5.71
BH,low,511.4294422,2016,13.541428571428572,13.225714285714286,6.018993350418404,32.1,591.02,88.24867867516973,recent,8.36,24.12,1.56,155.14
BH,low,511.4294422,2017,14.633888888888889,13.118888888888888,7.09816251653279,34.58,951.0699999999999,118.44338925500479,recent,7.075,27.56,0.05,363.94
BH,low,511.4294422,2018,13.336428571428572,14.144285714285715,5.1450054375462955,29.75,425.5,157.5141554221125,recent,9.875,22.585,0,14.84
BH,low,511.4294422,2019,12.695714285714287,12.09142857142857,5.773142146015048,29.88,650.82,86.55630152830123,recent,6.44,23.16,1.5,233.15
BH,low,511.4294422,2020,13.407857142857143,13.10142857142857,5.532706433219684,28.62,366.44,101.52781675642537,recent,9.01,22.64,0.14,22.53
BH,low,511.4294422,2021,13.762857142857143,14.177142857142858,6.408486467920785,31.090000000000003,297.82000000000005,124.78926947024519,recent,8.67,22.22,0,152.47
BH,low,511.4294422,2022,14.1325,13.075,5.403574213954527,29.38,297.33000000000004,173.78859771670872,recent,8.27,24.61,0.04,196.22
BH,low,511.4294422,2023,11.992857142857144,11.145714285714286,5.744490010104506,26.52,944.7099999999999,98.12900140268938,recent,7.710000000000001,14.065000000000001,2.56,116.36
CC,low,313,1964,13.545555555555556,13.69111111111111,6.40402385440418,32.97,585.1299999999999,118.90595667797255,historic,10.370000000000001,25.665,0.02,21.78
CC,low,313,1965,12.465,11.975,4.536278367623775,25.479999999999997,1089.54,98.95348451055439,historic,9.190000000000001,20.244999999999997,1.96,257.82
CC,low,313,1966,13.124285714285715,13.46,6.749599635392846,30.380000000000003,471.63000000000005,90.16552682704628,historic,7.24,22.675,1.1,115.76
CC,low,313,1967,13.756875,12.79875,7.393609662356116,33.800000000000004,1010.8299999999998,95.37567448092939,historic,8.035,27.185000000000002,0,177.05
CC,low,313,1968,13.26125,14.2575,5.379370482288264,32,736.7800000000002,80.47285165837619,historic,6.5,23.134999999999998,9.69,216.19
CC,low,313,1969,13.266111111111112,12.774444444444445,7.208937065276067,33.97,1231.61,105.17007581839304,historic,6.125,19.380000000000003,0.02,232.97
CC,low,313,1970,14.900555555555554,13.927777777777777,6.185640854250897,31.49,1092.07,133.87026567731976,historic,9.285,26.369999999999997,0,456.52
CC,low,313,1971,11.695,12.3425,4.61193250477188,27.34,890.4399999999997,100.20595579179151,historic,6.605,8.59,10.48,281.53
CC,low,313,1972,12.875,13.18142857142857,6.365800551907566,31.27,496.25999999999993,83.06811106903443,historic,5.49,22.835,10.15,185.79
CC,low,313,1973,12.74611111111111,11.97,6.476747726375569,32.25,1188.41,91.74445115526493,historic,6.285,23.634999999999998,4.89,139.9
CC,low,313,1974,12.2775,11.6925,5.400301578880307,28.59,1259.18,86.86374818343002,historic,9.825,18.064999999999998,7.92,194.16
CC,low,313,1975,11.7325,12.235,5.4969017247380885,29.2,872.4100000000001,101.27737114285082,historic,8.365,22.015,5.34,107.92
CC,low,313,1976,12.370625,13.85625,5.0904472421389455,29.09,307.06,70.81270330334416,historic,9.925,19.395,3.08,20.11
CC,low,313,1977,13.064285714285713,13.765714285714285,6.001685477549501,31.72,255.32999999999998,72.62640665459506,historic,6.335,24.450000000000003,0.14,63.85
CC,low,313,1978,13.866111111111111,11.772222222222222,4.434386074882419,24.490000000000002,1253.51,86.8938176380445,historic,9.39,21.62,4.2,373.14
CC,low,313,1979,12.927777777777777,13.184444444444443,6.044536846975493,31.06,799.2199999999999,93.9571482621128,historic,8.255,19.875,0.12,48.3
CC,low,313,1980,15.126,12.926,6.0654869732134635,30.65,1005.4199999999998,102.64461973090388,historic,10.95,23.905,8.55,262.19
CC,low,313,1981,14.907499999999999,12.715,5.997883585065653,28.85,527.93,101.13638252512048,historic,8.805,24.62,0.05,215.89
CC,low,313,1982,14.900454545454545,12.404545454545454,6.396687601620645,31.74,1506.1399999999999,86.17945462870064,historic,12.629999999999999,19.645,1.08,192.72
CC,low,313,1983,12.57611111111111,11.401111111111112,4.928255128451763,27.22,1637.83,66.15332704527488,historic,10.52,21.415,12.88,170.2
CC,low,313,1984,14.8765,13.257,6.431744644081159,33.580000000000005,1076.8700000000001,130.30784948360855,historic,8.475,27.130000000000003,0,16.19
CC,low,313,1985,12.36,13.05,6.2060103356113014,32.160000000000004,581.91,116.59293781450339,historic,9.620000000000001,17.1,1.01,31.26
CC,low,313,1986,13.464444444444444,12.333333333333334,4.799355063732811,28.259999999999998,1207.84,101.2258170486019,historic,11.004999999999999,22.45,1.17,83.02
CC,low,313,1987,13.939444444444444,13.947777777777778,5.737044341625553,30.61,602.74,106.4113790406663,historic,10.965,23.08,0,132.88
CC,low,313,1988,14.496666666666666,13.426666666666668,6.335263905316022,33.050000000000004,758.1199999999999,107.70964972191969,historic,7.53,27.315,0,279.75
CC,low,313,1989,12.880714285714285,12.838571428571429,5.851361970068328,28.31,660.58,126.61360000904828,historic,11.36,17.765,11.53,65.84
CC,low,313,1990,13.303333333333333,13.535555555555556,4.847206669825416,28.25,736.5300000000001,85.72356155834002,historic,7.66,8.36,1.9,110.75
CC,low,313,1991,13.379999999999999,13.768888888888888,6.406453777246816,35.18,741.2200000000001,166.75299280425494,historic,8.265,25.88,0,49.58
CC,low,313,1992,15.067777777777778,13.186666666666667,6.292349576624335,30.9,734.53,103.32106107646045,historic,11.485,24.255,0,80.88
CC,low,313,1993,13.953888888888889,11.903333333333332,6.181937791753578,30.689999999999998,1238.9800000000002,99.80774526536892,historic,7.22,24.534999999999997,0,243.05
CC,low,313,1994,12.994375,13.318750000000001,4.962750848283929,28.340000000000003,617.6,76.14773549346395,recent,8.34,21.84,1.13,143.41
CC,low,313,1995,14.2895,12.359,6.771770837659657,32.36,1693.3099,110.14217773458033,recent,8.925,24.93,0,221.54
CC,low,313,1996,14.433333333333334,12.503333333333334,4.934552326874917,26.34,828.8100000000001,64.4602843207897,recent,11.195,22.365,5.09,220.23
CC,low,313,1997,16.181,13.527999999999999,6.450941705587556,30.409999999999997,1079.77,144.77660264328185,recent,9.065000000000001,25.549999999999997,2.71,374.3
CC,low,313,1998,13.56,10.457777777777778,5.672717602701549,30.239999999999995,1578.37,87.07029932800884,recent,8.655000000000001,25.57,0,90.12
CC,low,313,1999,11.784375,11.79375,4.99161184781887,27.53,874.0400000000001,86.43717105271737,recent,8.145,17.25,8.91,91.11
CC,low,313,2000,13.77625,12.0125,5.174857313422826,29.06,989.2699999999999,104.10667352267664,recent,9.89,23.759999999999998,13.35,238.73
CC,low,313,2001,13.17875,12.5675,6.183406799075826,28.6,565.56,92.47758016037942,recent,8.344999999999999,22.415,5.14,144.41
CC,low,313,2002,13.09125,11.8975,5.231047252428796,28.860000000000003,896.29,89.3595976750982,recent,8.215,23.065,0,130.48
CC,low,313,2003,13.205,11.664285714285715,5.136912172372297,27.709999999999997,999.25,103.73579570183516,recent,9.030000000000001,23.11,0.11,450.96
CC,low,313,2004,14.016428571428571,12.187142857142858,5.768673818049311,27.85,765.8199999999999,118.16386499279443,recent,8.58,22.95,0,121.82
CC,low,313,2005,14.449444444444445,11.816666666666666,6.278449472423728,32.400000000000006,960.46,66.38886334767231,recent,9.045,27.810000000000002,0,178.56
CC,low,313,2006,13.428749999999999,11.3475,5.6568136854088245,28.24,1506.54,84.28269076631979,recent,9.325,24.244999999999997,2.73,323.87
CC,low,313,2007,13.867857142857142,13.312857142857142,5.676017425054632,30.009999999999998,594.4399999999999,119.06900511891034,recent,9.985,22.67,8.51,10.22
CC,low,313,2008,13.15375,12.6,5.633734963845668,28.68,629.42,116.2145426754147,recent,6.925,22.935000000000002,0.08,235.13
CC,low,313,2009,14.697777777777778,12.648888888888889,6.522777452469495,33.07,783.4699999999999,92.05933512043052,recent,9.34,26.32,0,117.29
CC,low,313,2010,12.155,10.9125,4.513623030021765,26.799999999999997,935.83,76.41651459117026,recent,8.68,21.865,1.11,133.7
CC,low,313,2011,13.268333333333333,11.216666666666667,5.582175875050875,28.979999999999997,1242.0700000000002,91.23467350347497,recent,9.95,24.38,0,57.83
CC,low,313,2012,12.900625,12.286249999999999,4.821090153467071,27.28,722.4800000000001,115.09364327747087,recent,10.115,18.73,7.45,5.81
CC,low,313,2013,15.195,12.825555555555555,6.770301415003619,33.46,774.77,137.08354845937706,recent,8,26.89,0,25.94
CC,low,313,2014,15.072222222222221,13.36888888888889,4.646155743670723,30.03,617.9,142.1581893484278,recent,11.174999999999999,23.555,0,11.24
CC,low,313,2015,15.135,12.2125,4.765971644301477,28.340000000000003,655.0300000000001,144.5093973058766,recent,10.53,18.09,4.86,355.88
CC,low,313,2016,14.42,11.437142857142858,5.686939715992542,28.33,960.8100000000001,104.4899076097785,recent,9.1,23.855,6.02,188.68
