rowid,parent.pop,phylogroup,Lat,Long,elev_m,year,month,aet,cwd,pck,pet,ppt,tmn,tmx
1,BH,4,37.40985,-119.96458,511.4294422,1895,dec,3.23,27.87,0,31.1,43.42,0.67,11.67
1,BH,4,37.40985,-119.96458,511.4294422,1895,nov,4.89,40.81,0,45.7,35.44,3.09,16.77
1,BH,4,37.40985,-119.96458,511.4294422,1895,oct,8.9,80.8,0,89.7,6.79,9.51,24.71
1,BH,4,37.40985,-119.96458,511.4294422,1896,apr,72.47,36.23,0,108.7,128.65,3.49,15.17
1,BH,4,37.40985,-119.96458,511.4294422,1896,aug,24.54,148.96,0,173.5,5.48,14.86,31.48
1,BH,4,37.40985,-119.96458,511.4294422,1896,dec,3.38,30.32,0,33.7,63.78,3.52,14.49
1,BH,4,37.40985,-119.96458,511.4294422,1896,feb,6.57,42.83,0,49.4,7.44,3.15,16.79
1,BH,4,37.40985,-119.96458,511.4294422,1896,jan,8.75,26.95,0,35.7,254.41,3.93,14.02
1,BH,4,37.40985,-119.96458,511.4294422,1896,jul,132.9,70.5,0,203.4,3.16,16.68,33.92
1,BH,4,37.40985,-119.96458,511.4294422,1896,jun,90.69,96.21,0,186.9,0.07,12.28,31.1
1,BH,4,37.40985,-119.96458,511.4294422,1896,mar,24.91,57.89,0,82.8,91.58,4.96,16.18
1,BH,4,37.40985,-119.96458,511.4294422,1896,may,141.48,11.62,0,153.1,38.9,6.59,21.45
1,BH,4,37.40985,-119.96458,511.4294422,1896,nov,3.35,42.05,0,45.4,105.92,3.9,15.52
1,BH,4,37.40985,-119.96458,511.4294422,1896,oct,0.45,88.55,0,89,31.32,8.66,24.78
1,BH,4,37.40985,-119.96458,511.4294422,1896,sep,0,127.2,0,127.2,10.83,11.8,26.93
1,BH,4,37.40985,-119.96458,511.4294422,1897,apr,48.96,73.44,0,122.4,13.1,6.67,22.06
1,BH,4,37.40985,-119.96458,511.4294422,1897,aug,32.02,146.18,0,178.2,0,16.7,33.33
1,BH,4,37.40985,-119.96458,511.4294422,1897,dec,2.63,28.77,0,31.4,52.39,0.54,12.48
1,BH,4,37.40985,-119.96458,511.4294422,1897,feb,7.99,37.51,0,45.5,144.11,2.21,11.7
1,BH,4,37.40985,-119.96458,511.4294422,1897,jan,4.76,28.44,0,33.2,89.61,1.19,11.64
1,BH,4,37.40985,-119.96458,511.4294422,1897,jul,72.87,127.23,0,200.1,0,15.16,33.17
1,BH,4,37.40985,-119.96458,511.4294422,1897,jun,109.19,72.81,0,182,8.01,12.06,28.08
1,BH,4,37.40985,-119.96458,511.4294422,1897,mar,30.36,43.94,0,74.3,97.07,1.49,11.6
1,BH,4,37.40985,-119.96458,511.4294422,1897,may,92.61,75.29,0,167.9,7.2,10.26,27.26
1,BH,4,37.40985,-119.96458,511.4294422,1897,nov,3.25,42.65,0,45.9,38.61,4.02,16.21
1,BH,4,37.40985,-119.96458,511.4294422,1897,oct,2.42,82.98,0,85.4,53.39,7.94,21.37
1,BH,4,37.40985,-119.96458,511.4294422,1897,sep,5.97,122.23,0,128.2,5.2,12.17,27.47
1,BH,4,37.40985,-119.96458,511.4294422,1898,apr,47.63,75.37,0,123,8.94,6.8,22.4
1,BH,4,37.40985,-119.96458,511.4294422,1898,aug,0,176.7,0,176.7,0,15.79,33.08
1,BH,4,37.40985,-119.96458,511.4294422,1898,dec,1.24,29.96,0,31.2,38.31,-0.01,12.42
1,BH,4,37.40985,-119.96458,511.4294422,1898,feb,5.84,43.06,0,48.9,82.82,4.22,14.97
1,BH,4,37.40985,-119.96458,511.4294422,1898,jan,4.11,26.89,0,31,26.7,-1.79,10.27
1,BH,4,37.40985,-119.96458,511.4294422,1898,jul,21.01,182.09,0,203.1,0,16.52,33.88
1,BH,4,37.40985,-119.96458,511.4294422,1898,jun,76.41,107.89,0,184.3,4.49,12.3,29.35
1,BH,4,37.40985,-119.96458,511.4294422,1898,mar,22.96,55.64,0,78.6,20.45,1.77,15.33
1,BH,4,37.40985,-119.96458,511.4294422,1898,may,130.04,24.96,0,155,33.42,7.47,21.73
1,BH,4,37.40985,-119.96458,511.4294422,1898,nov,0.64,45.36,0,46,24.05,3.16,17.28
1,BH,4,37.40985,-119.96458,511.4294422,1898,oct,0,87.1,0,87.1,22.97,8,23.28
1,BH,4,37.40985,-119.96458,511.4294422,1898,sep,0,129.1,0,129.1,13.66,12.01,28.41
