parent.pop,elevation.group,elev_m,Lat,Long,TimePd,GrwSsn_GD,GrwSsn_FLINT_GD,GrwSsn_BIOCLIM_GD,Wtr_Year_GD,Wtr_Year_FLINT_GD,Wtr_Year_BIOCLIM_GD
FR,Mid,787,40.01362,-121.18498,Recent,0.17017464441603736,0.09738751167934268,0.19928949751071529,0.34940191931493975,0.15122581838656046,0.44848996977912936
WL1,Mid,1613.837245,38.78608,-120.2143,Recent,0.19319403436532967,0.18522541911751544,0.1963814804644554,0.4708241657573696,0.3501433093047735,0.5311645939836678
WR,Mid,1158,39.34346,-120.80659,Recent,0.20700070018253228,0.2395584958174747,0.1939775819285553,0.5146265043672675,0.3647447348749504,0.5895673891134261
WV,Mid,748.8570558,40.74084,-123.00364,Recent,0.21983390219973667,0.170702241533932,0.2394865664660586,0.4101415531272388,0.29423862165067627,0.4680930188655202
CC,Low,313,39.58597,-121.43311,Recent,0.22740315381223453,0.2933150968107377,0.20103837661283325,0.2741580240096135,0.15976362787734377,0.33135522207574825
IH,Low,454.1298385,39.09332,-120.92114,Recent,0.22894580350737545,0.31851298624520596,0.1931189304122433,0.2858453001546184,0.180442700074552,0.3385466001946516
DPR,Mid,1018.591893,39.22846,-120.81518,Recent,0.23561130825023943,0.33581833630487523,0.1955284970283851,0.4602717482119945,0.3661802004929875,0.507317522071498
SQ2,Mid,1934.45122,36.66557,-118.83543,Recent,0.30834596388636887,0.24239500800363437,0.33472634623946274,0.4457962250308367,0.34212056581246597,0.4976340546400222
SQ1,Mid,1921.036585,36.56435,-118.7764,Recent,0.31700318160281915,0.2575876094746024,0.3407694104541059,0.4284632036279818,0.26202428025515445,0.5116826653143957
BH,Low,511.4294422,37.40985,-119.96458,Recent,0.33032021754729685,0.31824912927177584,0.3351486528575054,0.22583474182538152,0.06148442747703462,0.308009898999555
WL2,High,2020.115818,38.8263,-120.25242,Recent,0.33319492312527876,0.32604282286275466,0.3360557632302884,0.5828742275237192,0.4739912603582246,0.6373157111064667
