parent.pop,elevation.group,elev_m,Lat,Long,TimePd,GrwSsn_GD_UCD,Wtr_Year_GD_UCD,GrwSsn_GD_WL2,Wtr_Year_GD_WL2
WL1,Mid,1613.837245,38.78608,-120.2143,Recent,0.147453418352489,0.4708241657573696,0.28714113574565586,0.43874550888363106
IH,Low,454.1298385,39.09332,-120.92114,Recent,0.17546072107880004,0.2858453001546184,0.4276173115614113,0.5512696044386646
CC,Low,313,39.58597,-121.43311,Recent,0.1809452818790792,0.2741580240096135,0.39954363432357376,0.6056543656685672
BH,Low,511.4294422,37.40985,-119.96458,Recent,0.20863150010047643,0.22583474182538152,0.2635424813135409,0.7141615872159702
WR,Mid,1158,39.34346,-120.80659,Recent,0.21279854939538595,0.5146265043672675,0.3856348150917765,0.4181980378714992
FR,Mid,787,40.01362,-121.18498,Recent,0.2391514394596413,0.34940191931493975,0.42020367443861306,0.5593677338467359
WV,Mid,748.8570558,40.74084,-123.00364,Recent,0.2406938981353648,0.4101415531272388,0.37150379052396854,0.4807670636961826
DPR,Mid,1018.591893,39.22846,-120.81518,Recent,0.2429127311932732,0.4602717482119945,0.44604377014039326,0.46754256056110965
SC,Low,421.5178299,38.41167,-120.73583000000001,Recent,0.2599068660312357,0.19208256358582085,0.2875182857097167,0.6405277716592315
WL2,High,2020.115818,38.8263,-120.25242,Recent,0.2707707704159816,0.5828742275237192,0.24160936486271645,0.3959884299493191
SQ2,Mid,1934.45122,36.66557,-118.83543,Recent,0.28113397667575085,0.4457962250308367,0.26986030471198935,0.42334597099779914
SQ1,Mid,1921.036585,36.56435,-118.7764,Recent,0.2988229338668648,0.4284632036279818,0.27140493582975944,0.45484279394578625
YO4,High,2157.57391,37.76378,-119.77244,Recent,0.3062701994365265,0.5396813988188448,0.21645987797740815,0.411013747677589
CP2,High,2244.132886,38.66169,-120.13065,Recent,0.33632679367690843,0.6006224071334514,0.31372573043884605,0.3865863099171068
SQ3,High,2373.170732,36.72109,-118.84933,Recent,0.3721241723098737,0.5146283017384257,0.2651042203227871,0.3980989811471947
CP3,High,2266.382201,38.70649,-120.08797,Recent,0.3828510837890106,0.6359000063134276,0.3140208563118357,0.364092257481025
YO7,High,2469.978665,37.80903,-119.56605,Recent,0.39806151128351625,0.5787871938125694,0.3658794463964312,0.39223020638191
TM2,Low,379.1526973,39.59255,-121.55072,Recent,0.40947349333616967,0.3053494140449003,0.4104326313610405,0.5715198745682244
LV1,High,2593.416641,40.47471,-121.50486,Recent,0.4184801578817042,0.7914463879187819,0.3442912701603746,0.3778205487667237
YO8,High,2590.97836,37.81117,-119.48624,Recent,0.4290221243169744,0.5717606004444454,0.4088623847579968,0.41075566453605455
LVTR1,High,2741.38982,40.47917,-121.5032,Recent,0.42990697927776705,0.8012927696235348,0.3802446836917,0.3850068928061699
LV3,High,2353.550747,40.47917,-121.52311,Recent,0.434534895185204,0.7954912954208724,0.3325825215553561,0.37313191896077375
YO11,High,2872.295032,37.93844,-119.23157,Recent,0.5356392895122849,0.5788534126485474,0.35954672553077305,0.460541626299666
WL1,Mid,1613.837245,38.78608,-120.2143,Historical,0.18367479795813796,0.4585796318884349,0.2698928368884988,0.45499905555109305
DPR,Mid,1018.591893,39.22846,-120.81518,Historical,0.1895683074845188,0.44225066919664874,0.43268079774606566,0.4574497547442878
IH,Low,454.1298385,39.09332,-120.92114,Historical,0.19449052891511348,0.2930394196667525,0.4171162792166099,0.5297011909121362
WR,Mid,1158,39.34346,-120.80659,Historical,0.19564547291725776,0.4829102645296462,0.3999355834993617,0.40746707427357715
SC,Low,421.5178299,38.41167,-120.73583000000001,Historical,0.2472018352626114,0.22299687308917487,0.2948552776410517,0.6335281479577306
BH,Low,511.4294422,37.40985,-119.96458,Historical,0.2480781626442624,0.23216986351302016,0.2609243489216868,0.6473010342966006
FR,Mid,787,40.01362,-121.18498,Historical,0.2555857531388237,0.3810693290179083,0.39528242367203975,0.5537173051587237
WV,Mid,748.8570558,40.74084,-123.00364,Historical,0.2736167064036748,0.4411297526420386,0.36175492084821254,0.4929386680708587
WL2,High,2020.115818,38.8263,-120.25242,Historical,0.27680813573486934,0.5656479680106546,0.2512423416542824,0.4251656806811333
CC,Low,313,39.58597,-121.43311,Historical,0.2794449917448481,0.2568375034917601,0.3628520203062128,0.5694875331935266
YO4,High,2157.57391,37.76378,-119.77244,Historical,0.2971478762070243,0.5254462686863665,0.22223656475407264,0.4127448102575633
SQ2,Mid,1934.45122,36.66557,-118.83543,Historical,0.3101752747604399,0.4869071271069376,0.21540067180914552,0.42098996360025726
SQ1,Mid,1921.036585,36.56435,-118.7764,Historical,0.32476525380325294,0.4635438006261669,0.23946004706235813,0.4493608142602979
CP2,High,2244.132886,38.66169,-120.13065,Historical,0.33111720010767143,0.6028634329364414,0.27186043205580307,0.4367699034245114
TM2,Low,379.1526973,39.59255,-121.55072,Historical,0.35035897406878463,0.2804399974651661,0.40374579003782873,0.5402588401134405
CP3,High,2266.382201,38.70649,-120.08797,Historical,0.3612651103317207,0.6396478186233099,0.23861805788165968,0.4232769175718225
SQ3,High,2373.170732,36.72109,-118.84933,Historical,0.3789304000925028,0.5639141526227397,0.26544914521819013,0.4149814395813324
YO7,High,2469.978665,37.80903,-119.56605,Historical,0.39458929857912795,0.5897844310773136,0.2923198098407516,0.4235359067181392
YO8,High,2590.97836,37.81117,-119.48624,Historical,0.4363058821254436,0.5812688200182835,0.3419030914985199,0.4547568497474344
YO11,High,2872.295032,37.93844,-119.23157,Historical,0.555868657222044,0.5830731335805268,0.4147933593020768,0.555764433138979
LV1,High,2593.416641,40.47471,-121.50486,Historical,0.562314019621101,0.7888905635883982,0.4966899203012213,0.4628628973751416
LVTR1,High,2741.38982,40.47917,-121.5032,Historical,0.5742048603814814,0.8014085086449031,0.523015897343951,0.4653493047135006
LV3,High,2353.550747,40.47917,-121.52311,Historical,0.5749352750674079,0.7910060640410802,0.5058235448386516,0.4658954937107782
