parent.pop,elevation.group,elev_m,Lat,Long,TimePd,GrwSsn_GD,GrwSsn_FLINT_GD,GrwSsn_BIOCLIM_GD,Wtr_Year_GD,Wtr_Year_FLINT_GD,Wtr_Year_BIOCLIM_GD
YO4,High,2157.57391,37.76378,-119.77244,Recent,0.21645987797740815,0.11631930871431624,0.25651610568264493,0.411013747677589,0.4161824700428783,0.4084293864949444
WL2,High,2020.115818,38.8263,-120.25242,Recent,0.24160936486271645,0.12158797564707892,0.28961792054897145,0.3959884299493191,0.385019341232534,0.4014729743077117
BH,Low,511.4294422,37.40985,-119.96458,Recent,0.2635424813135409,0.13424970614041284,0.31525959138279225,0.7141615872159702,0.8298693952609164,0.6563076831934971
SQ3,High,2373.170732,36.72109,-118.84933,Recent,0.2651042203227871,0.18565210528190756,0.2968850663391389,0.3980989811471947,0.42660415121529865,0.383846396113143
SQ2,Mid,1934.45122,36.66557,-118.83543,Recent,0.26986030471198935,0.1890683361320005,0.3021770921439849,0.42334597099779914,0.48343819326158394,0.3932998598659067
SQ1,Mid,1921.036585,36.56435,-118.7764,Recent,0.27140493582975944,0.2666652159251463,0.27330082379160475,0.45484279394578625,0.5666877106186754,0.39892033560934176
WL1,Mid,1613.837245,38.78608,-120.2143,Recent,0.28714113574565586,0.21140904299535632,0.3174339728457757,0.43874550888363106,0.49419552000615297,0.41102050332237017
SC,Low,421.5178299,38.41167,-120.73583000000001,Recent,0.2875182857097167,0.1981470626642032,0.3232667749279222,0.6405277716592315,0.7742664128105052,0.5736584510835947
CP2,High,2244.132886,38.66169,-120.13065,Recent,0.31372573043884605,0.2159765177709999,0.35282541550598456,0.3865863099171068,0.38512319573066617,0.3873178670103272
CP3,High,2266.382201,38.70649,-120.08797,Recent,0.3140208563118357,0.1814082382461392,0.3670659035381143,0.364092257481025,0.31558629674229965,0.3883452378503876
LV3,High,2353.550747,40.47917,-121.52311,Recent,0.3325825215553561,0.17901867464079418,0.3940080603211809,0.37313191896077375,0.22821185988093257,0.4455919485006944
LV1,High,2593.416641,40.47471,-121.50486,Recent,0.3442912701603746,0.22104437551964065,0.3935900280166682,0.3778205487667237,0.2547819945574196,0.43933982587137577
YO11,High,2872.295032,37.93844,-119.23157,Recent,0.35954672553077305,0.3515169674302352,0.3627586287709883,0.460541626299666,0.4792475525922736,0.45118866315336226
YO7,High,2469.978665,37.80903,-119.56605,Recent,0.3658794463964312,0.2457247791257744,0.4139413133046939,0.39223020638191,0.36838641762478863,0.4041521007604706
WV,Mid,748.8570558,40.74084,-123.00364,Recent,0.37150379052396854,0.19302371534216436,0.4428958205966903,0.4807670636961826,0.5246935500992269,0.4588038204946604
LVTR1,High,2741.38982,40.47917,-121.5032,Recent,0.3802446836917,0.27803849879487363,0.4211271576504306,0.3850068928061699,0.2594628238795462,0.44777892726948165
WR,Mid,1158,39.34346,-120.80659,Recent,0.3856348150917765,0.32883129069051215,0.4083562248522823,0.4181980378714992,0.48910835848349293,0.38274287756550224
CC,Low,313,39.58597,-121.43311,Recent,0.39954363432357376,0.344429413637413,0.4215893225980383,0.6056543656685672,0.7318034294238766,0.5425798337909126
YO8,High,2590.97836,37.81117,-119.48624,Recent,0.4088623847579968,0.34288465517959626,0.435253476589357,0.41075566453605455,0.42866536293545593,0.4018008153363539
TM2,Low,379.1526973,39.59255,-121.55072,Recent,0.4104326313610405,0.3647893614573443,0.428689939322519,0.5715198745682244,0.6913891332099913,0.5115852452473407
FR,Mid,787,40.01362,-121.18498,Recent,0.42020367443861306,0.38643211066927624,0.43371229994634775,0.5593677338467359,0.6754010029999407,0.5013510992701334
IH,Low,454.1298385,39.09332,-120.92114,Recent,0.4276173115614113,0.35685204159767303,0.4559234195469067,0.5512696044386646,0.6438531477103615,0.5049778328028163
DPR,Mid,1018.591893,39.22846,-120.81518,Recent,0.44604377014039326,0.4461478898285183,0.4460021222651433,0.46754256056110965,0.5852760580284958,0.4086758118274165
SQ2,Mid,1934.45122,36.66557,-118.83543,Historical,0.21540067180914552,0.10820970174530307,0.2582770598346826,0.42098996360025726,0.41039233777870554,0.4262887765110331
YO4,High,2157.57391,37.76378,-119.77244,Historical,0.22223656475407264,0.1032913288422296,0.26981465911881,0.4127448102575633,0.38179977049055647,0.42821733014106694
CP3,High,2266.382201,38.70649,-120.08797,Historical,0.23861805788165968,0.11356691934831983,0.2886385132949957,0.4232769175718225,0.30312552318513064,0.4833526147651685
SQ1,Mid,1921.036585,36.56435,-118.7764,Historical,0.23946004706235813,0.2159865893009602,0.2488494301669173,0.4493608142602979,0.4854304247145573,0.43132600903316815
WL2,High,2020.115818,38.8263,-120.25242,Historical,0.2512423416542824,0.133335474673477,0.29840508844660457,0.4251656806811333,0.3528658647525597,0.4613155886454201
BH,Low,511.4294422,37.40985,-119.96458,Historical,0.2609243489216868,0.11731741954386268,0.31836712067281653,0.6473010342966006,0.7887627518275595,0.5765701755311213
SQ3,High,2373.170732,36.72109,-118.84933,Historical,0.26544914521819013,0.22177306358744547,0.282919577870488,0.4149814395813324,0.3843688739693898,0.43028772238730384
WL1,Mid,1613.837245,38.78608,-120.2143,Historical,0.2698928368884988,0.17522644574086538,0.3077593933475522,0.45499905555109305,0.4538662892893955,0.4555654386819419
CP2,High,2244.132886,38.66169,-120.13065,Historical,0.27186043205580307,0.21272226031515304,0.2955157007520631,0.4367699034245114,0.3657745853367254,0.4722675624684044
YO7,High,2469.978665,37.80903,-119.56605,Historical,0.2923198098407516,0.18649007632259157,0.33465170324801574,0.4235359067181392,0.3579057681983573,0.4563509759780304
SC,Low,421.5178299,38.41167,-120.73583000000001,Historical,0.2948552776410517,0.1833840544301432,0.3394437669254151,0.6335281479577306,0.7622744048645197,0.569155019504336
YO8,High,2590.97836,37.81117,-119.48624,Historical,0.3419030914985199,0.29660685551053423,0.36002158589371414,0.4547568497474344,0.4310410671635796,0.46661474103936185
WV,Mid,748.8570558,40.74084,-123.00364,Historical,0.36175492084821254,0.1731502168547892,0.43719680244558207,0.4929386680708587,0.48736480039424573,0.4957256019091652
CC,Low,313,39.58597,-121.43311,Historical,0.3628520203062128,0.2519929597434309,0.4071956445313256,0.5694875331935266,0.7017722880574747,0.5033451557615527
FR,Mid,787,40.01362,-121.18498,Historical,0.39528242367203975,0.3231471781154046,0.4241365218946938,0.5537173051587237,0.6465279505688566,0.5073119824536575
WR,Mid,1158,39.34346,-120.80659,Historical,0.3999355834993617,0.2656922397697758,0.453632920991196,0.40746707427357715,0.43020547794906766,0.3960978724358319
TM2,Low,379.1526973,39.59255,-121.55072,Historical,0.40374579003782873,0.33240831046680724,0.4322807818662372,0.5402588401134405,0.6480618609401194,0.4863573297001013
YO11,High,2872.295032,37.93844,-119.23157,Historical,0.4147933593020768,0.3650087005489853,0.43470722280331353,0.555764433138979,0.5059971405311935,0.5806480794428718
IH,Low,454.1298385,39.09332,-120.92114,Historical,0.4171162792166099,0.2873135303968727,0.46903737874450463,0.5297011909121362,0.6197956392186598,0.48465396675887445
DPR,Mid,1018.591893,39.22846,-120.81518,Historical,0.43268079774606566,0.3564392617218495,0.46317741215575214,0.4574497547442878,0.5469091444219423,0.41272005990546046
LV1,High,2593.416641,40.47471,-121.50486,Historical,0.4966899203012213,0.4629100968509914,0.5102018496813135,0.4628628973751416,0.25992417629333237,0.5643322579160462
LV3,High,2353.550747,40.47917,-121.52311,Historical,0.5058235448386516,0.5021871488558555,0.5072781032317701,0.4658954937107782,0.25938620264492857,0.5691501392437031
LVTR1,High,2741.38982,40.47917,-121.5032,Historical,0.523015897343951,0.509192841619107,0.5285451196338887,0.4653493047135006,0.2634548997056952,0.5662965072174034
