parent.pop,elevation.group,elev_m,Lat,Long,TimePd,GrwSsn_GD,Wtr_Year_GD
SQ2,Mid,1934.45122,36.66557,-118.83543,Recent,0.15355300145833595,0.29362510596757924
SQ1,Mid,1921.036585,36.56435,-118.7764,Recent,0.16266416894704655,0.3128422887737764
YO4,High,2157.57391,37.76378,-119.77244,Recent,0.21454160312258344,0.2604013076705794
SQ3,High,2373.170732,36.72109,-118.84933,Recent,0.21728899994837608,0.2949090473507787
WL2,High,2020.115818,38.8263,-120.25242,Recent,0.244279575791832,0.22653882031335595
WL1,Mid,1613.837245,38.78608,-120.2143,Recent,0.2709562843895519,0.27502604173416684
CP2,High,2244.132886,38.66169,-120.13065,Recent,0.29549245497390997,0.2575245310588758
CP3,High,2266.382201,38.70649,-120.08797,Recent,0.3403121936496604,0.263692048860675
WV,Mid,748.8570558,40.74084,-123.00364,Recent,0.35066911805672557,0.3721035502094489
FR,Mid,787,40.01362,-121.18498,Recent,0.3550930660967116,0.4318044273369816
YO7,High,2469.978665,37.80903,-119.56605,Recent,0.35962171989318437,0.33040156713267677
BH,Low,511.4294422,37.40985,-119.96458,Recent,0.3604292781134208,0.5685738687950445
YO8,High,2590.97836,37.81117,-119.48624,Recent,0.3669463351709006,0.3591755337027625
WR,Mid,1158,39.34346,-120.80659,Recent,0.36789402719482034,0.3568881282023985
LV1,High,2593.416641,40.47471,-121.50486,Recent,0.4088585983428407,0.4025206902147008
YO11,High,2872.295032,37.93844,-119.23157,Recent,0.41527023029235305,0.39194890535831145
LV3,High,2353.550747,40.47917,-121.52311,Recent,0.4229161447292411,0.40657342284571774
LVTR1,High,2741.38982,40.47917,-121.5032,Recent,0.4233161767054525,0.4253658235799933
DPR,Mid,1018.591893,39.22846,-120.81518,Recent,0.4332053234267854,0.38029096279211855
CC,Low,313,39.58597,-121.43311,Recent,0.4368283608478179,0.449933833561295
SC,Low,421.5178299,38.41167,-120.73583000000001,Recent,0.44912228233059026,0.4991232625277694
IH,Low,454.1298385,39.09332,-120.92114,Recent,0.45580302042133886,0.426504406160013
TM2,Low,379.1526973,39.59255,-121.55072,Recent,0.5660414336757117,0.411740775550851
SQ1,Mid,1921.036585,36.56435,-118.7764,Historical,0.22152124895076783,0.29585628434565236
SQ2,Mid,1934.45122,36.66557,-118.83543,Historical,0.2502301323649272,0.28186671085316795
YO4,High,2157.57391,37.76378,-119.77244,Historical,0.27062824903976845,0.2566156496447871
WL1,Mid,1613.837245,38.78608,-120.2143,Historical,0.2790885522481465,0.2458331257067508
WL2,High,2020.115818,38.8263,-120.25242,Historical,0.3093380673100066,0.2508896578527183
SQ3,High,2373.170732,36.72109,-118.84933,Historical,0.3101069726828412,0.29470576702074724
CP2,High,2244.132886,38.66169,-120.13065,Historical,0.3422471250492719,0.2975266054184699
WV,Mid,748.8570558,40.74084,-123.00364,Historical,0.3447461799043261,0.3275379451146989
YO7,High,2469.978665,37.80903,-119.56605,Historical,0.3478305786345273,0.3182829207910593
YO8,High,2590.97836,37.81117,-119.48624,Historical,0.35067799004725897,0.3425707895498445
FR,Mid,787,40.01362,-121.18498,Historical,0.35149533685440765,0.38980513041094367
CP3,High,2266.382201,38.70649,-120.08797,Historical,0.37703756286914336,0.31925609173064723
WR,Mid,1158,39.34346,-120.80659,Historical,0.3786898885824996,0.32802725460699106
BH,Low,511.4294422,37.40985,-119.96458,Historical,0.38307051343579807,0.5209561297124281
DPR,Mid,1018.591893,39.22846,-120.81518,Historical,0.4225423751876028,0.36451456601624793
YO11,High,2872.295032,37.93844,-119.23157,Historical,0.4276253739121807,0.4511055474232332
SC,Low,421.5178299,38.41167,-120.73583000000001,Historical,0.4518851155488157,0.4757087391141157
IH,Low,454.1298385,39.09332,-120.92114,Historical,0.45688292696001265,0.38891986326706784
CC,Low,313,39.58597,-121.43311,Historical,0.5129299912670079,0.4153297657882894
TM2,Low,379.1526973,39.59255,-121.55072,Historical,0.5699775002728972,0.3871236586955789
LV1,High,2593.416641,40.47471,-121.50486,Historical,0.6178323681086941,0.49800735232504983
LV3,High,2353.550747,40.47917,-121.52311,Historical,0.6290414765666336,0.5091184512590153
LVTR1,High,2741.38982,40.47917,-121.5032,Historical,0.6335604718369011,0.5069535396092576
