parent.pop,elevation.group,elev_m,ann_tmean_avg,mean_diurnal_range_avg,temp_seasonality_avg,temp_ann_range_avg,tmean_wettest_month_avg,tmean_driest_month_avg,ann_ppt_avg,ppt_seasonality_avg,ppt_warmest_month_avg,ppt_coldest_month_avg,ann_tmean_sem,mean_diurnal_range_sem,temp_seasonality_sem,temp_ann_range_sem,tmean_wettest_month_sem,tmean_driest_month_sem,ann_ppt_sem,ppt_seasonality_sem,ppt_warmest_month_sem,ppt_coldest_month_sem
BH,Low,511.4294422,11.88237500959852,13.77733335546218,5.254198860491904,30.19233335070312,8.766999989251296,18.731666737173995,534.4236644808824,97.6068365585467,4.71099996411552,180.82333170572917,0.12133931139244059,0.13728160476157836,0.111568715370954,0.36993559182162605,0.33207927257472275,0.7357905788025046,37.0790131858944,4.8305712681252135,1.4785521336379366,11.874238059597081
CC,Low,313,14.013314851152677,13.21485193035117,6.5185779655390235,32.85633344600598,9.224500025312105,23.965500036875408,891.9779997630045,106.1838480905807,2.9233332930132745,298.0339988708496,0.0882371570141621,0.12569211361760335,0.08400506769868542,0.3325365520619579,0.318594289497537,0.5154482137797844,54.26224473968832,3.5170542200948263,1.9416604213224438,16.84421740272555
CP2,High,2244.132886,10.783666674445072,13.724000034034251,5.703687382609238,26.70066670378049,4.037666661540667,14.588166642189027,360.77866661852846,119.97044127824098,13.414000022162993,219.7990000406901,0.15427962364213305,0.15922644367709773,0.14404902798665284,0.25835373402031603,0.7116358296423535,0.43718657260414456,30.525771856942637,7.491737668449636,2.505697448964725,22.987270798132105
CP3,High,2266.382201,10.15760001503552,13.337066701191167,5.709134791343119,26.403666750590006,3.430500002236416,13.848499972124895,351.13266801722347,118.37049138346492,14.51533335701873,211.90400098164875,0.15578367686884642,0.16648843623922327,0.14376018506098082,0.26003510731456203,0.7041410458326994,0.4718258855646313,29.33910018833847,7.5448411569524385,2.6938107496839496,22.113704015813795
DPR,Mid,1018.591893,15.055648123776471,14.189370324876574,6.304420926216924,31.143000039458276,8.338666692872842,21.90075000623862,758.917665898117,131.27009442421962,2.0680000192175307,323.46633275349933,0.12310005767972697,0.09777158041853413,0.128839550524227,0.38125691858097277,0.7804023726254679,0.3518311125507122,55.482580857684965,5.196919665725072,0.8331540162081994,29.845277825013145
FR,Mid,787,14.254222231865343,17.070740806649404,6.550166151124778,34.42133352508147,6.436333371698856,21.29183344046275,518.089665707387,127.04390171872018,2.420666674772898,223.03733291625977,0.11045032835994284,0.13478931995064322,0.11783478725016928,0.4166339595395972,0.6281123411818346,0.3610268392343558,35.97456622132261,5.306999399174262,0.5644787903947032,19.053974948584276
IH,Low,454.1298385,13.906800030460582,13.829800029614319,6.917442458783854,33.06700010529409,8.0349999991556,22.614249978462855,977.3043337188661,114.13244014998588,1.549333324531714,321.97100092569985,0.09962696843816031,0.10485395539393735,0.08814965462907677,0.29393416215170093,0.3056555062353359,0.6362533802476015,57.25436021620497,3.950703571601755,0.7477364900581874,20.41329235028211
LV1,High,2593.416641,6.355208332999609,14.972083369564887,5.586753073978484,26.954000051816305,0.9854999711116155,10.937000015067557,539.4359981626272,109.97818675612629,24.484333153565725,336.1773323059082,0.19123434809010806,0.22015625261109642,0.1578287444507909,0.34857727058634264,0.5808064817558211,0.4355391326242006,54.555480619289135,6.269342492853991,8.83515287356321,40.80092263692107
LV3,High,2353.550747,6.298166655609384,14.950999992868553,5.56934201305968,26.90033327738444,0.943666655321916,10.867666679869096,535.7449955398838,110.14075174605706,23.82166657845179,334.5443295796712,0.19126318716928198,0.2211327123907454,0.15858865172620268,0.34838628272801175,0.5785837826209116,0.4350527597002829,54.44540199107072,6.267593559461801,8.55228965855539,40.834652320407045
LVTR1,High,2741.38982,6.179791654452371,14.999083308766906,5.540783303205478,26.874999912579856,1.159666648010413,10.715833336828897,563.7766659965117,109.85433292393903,26.29799996217092,350.88899993896484,0.18708325410728682,0.21544662919333454,0.15307228450485139,0.354616120427056,0.5780928306212257,0.43532910621487897,57.28012662246259,6.288430151083252,9.582541879935444,42.849570136233126
SC,Low,421.5178299,11.996145820330518,13.414874975460892,5.09377385158632,29.49133327702681,9.132666648427646,19.026416682700315,676.3923352917657,90.89110066224265,6.70766662042588,212.1203347524007,0.12557755582418112,0.12852418575850968,0.1059651109462531,0.34441544412646097,0.33655836546596857,0.7921077168865094,45.57390223780533,3.65280529710001,1.5607549326705386,14.246520334212786
SQ1,Mid,1921.036585,11.336023791688715,12.792142836137542,6.364997416892799,28.8239998459816,4.096666675743958,15.385999927918116,362.3313358005136,131.5325506915097,7.97133343766133,186.4543347676595,0.11920020072049746,0.09419283615319053,0.1573021955235322,0.4453018461755561,0.8568508077113499,0.5472111789599506,36.058100339727005,4.576844954327425,1.9205057957704916,22.32064838423898
SQ2,Mid,1934.45122,11.348904751356514,12.708666695210905,6.2520385536821195,28.539000050226846,4.175499999895692,15.460499976575374,374.496332985349,132.32327327598978,8.702333438334366,192.7053332010905,0.12089728964443865,0.09202792744095584,0.16056389654848433,0.4504634919836282,0.8524021967947629,0.5462120491102219,36.97422684172319,4.681533962984197,2.214428015332487,22.69722838923036
SQ3,High,2373.170732,8.961000017697613,12.134777804795238,6.486545432430332,27.69700023730596,2.319333371768395,13.41033335228761,401.43766654320063,123.49505960486073,8.88699994366616,212.01266695658364,0.14151813247127687,0.09119239396992215,0.18200981977865643,0.47649514989372554,0.8239217986586218,0.5678883599645567,39.58792072889792,4.488069476219934,2.2861190549836743,24.5299813540138
TM2,Low,379.1526973,12.178354177282502,12.546375009603798,5.212144390189162,28.57566667944193,8.703500032921632,19.43250005642573,997.0473274957388,94.87182504870303,12.4316666106383,335.0119951883952,0.09944300121767305,0.13269043401722658,0.10882626936625171,0.3684280728717246,0.3149357921033366,0.8002446289262912,60.611099856632876,3.541752109625786,2.2260093105079353,19.36673926826815
WL1,Mid,1613.837245,12.73914286763008,14.43885715548836,6.593770673616095,30.829999988277752,5.806166676680247,18.766222275627985,502.5916694600756,125.35848647470756,4.243999988834063,241.0970011393229,0.1344222791263691,0.1295500765813521,0.1486296469267116,0.4052020779978578,0.9185695033989529,0.34295191320403895,43.02049314021683,4.875888157680959,1.1790296690212474,24.699630736786588
WL2,High,2020.115818,12.17733333863111,13.76300001229263,5.1926425339966755,26.80200004590054,5.272666708131631,15.930833327770234,350.28733186448613,129.30367141357294,9.116666578873993,206.6019987742106,0.1473810932679032,0.13254147285346202,0.12805079251009463,0.24674590722946232,0.7109182989379403,0.3996491168237029,27.845502653107317,7.401172335347856,1.684213571859255,21.560428211259193
WR,Mid,1158,14.658979180785051,14.196625086998877,6.334353700814843,30.774333361474177,7.204833304385344,21.233583374818167,723.7450011868029,136.73048979565655,2.6373333430538577,351.20766728719076,0.1122836645655511,0.09682570964174025,0.14208057034146584,0.40509247677984433,0.78481827243074,0.30146303685431325,59.91572587809512,4.9365937287840085,0.8190196089897056,34.525297853623606
WV,Mid,748.8570558,14.23104165122689,16.37066667028703,6.926182145666396,33.82033327197035,6.084166695425908,20.288999915122986,502.56333238743247,130.25786268238966,6.790333289715151,236.43233273824055,0.09223847728886718,0.12790011622521874,0.11759279381832285,0.42819630116192925,0.8717234991908493,0.4360736686044813,36.141864407185324,5.094533572355044,2.9103409775617077,20.508121510915505
YO11,High,2872.295032,7.1060666626381375,14.930533302289744,5.700716953495068,28.01633310317993,1.5254999955495199,9.468833344522864,216.97066589643558,105.9720866066882,17.89499997223417,120.82666575113932,0.12907051604680536,0.12295469893319394,0.14396853397965464,0.3079765163089438,0.8845666311376402,0.5919711118628735,17.3448087620646,6.4865291225158765,3.0411431964390365,11.857916154000828
YO4,High,2157.57391,10.401761894389278,13.023238066619351,6.394667721202191,29.28666676680247,3.3993333101272585,15.52308330602116,443.0109996460999,124.36864184282321,6.432333278904359,209.54833335876464,0.1407667112581233,0.12632228301160037,0.16476769150835083,0.4728430264822132,0.7850612646429195,0.3714324153957085,39.73939958631754,4.343544637208124,1.3186223604021237,21.414158766097586
YO7,High,2469.978665,9.440233325113853,14.027400005757809,5.66089147705774,27.24299991130829,2.5635000055034958,12.885500005384285,283.7209993161261,122.02856557093811,12.553333273654182,175.79033241271972,0.14362606612491954,0.1158521425824829,0.14494550575022147,0.3032840156563542,0.6227825537090295,0.4430069827382044,22.945000621458405,6.775027661609667,2.5235835417471137,17.703634422022656
YO8,High,2590.97836,8.897866657357662,14.342133347628018,5.665508116980579,27.567000182469688,2.0076666444540026,12.129833343283584,282.32700030896814,121.09245176654962,12.935666694926718,174.1190003712972,0.14254624491850168,0.1154170773833068,0.14601284411419294,0.30456570506496267,0.6263395592829593,0.4913744910346749,22.6221272455432,6.853756037125107,2.5362733416932004,17.60319597061715
