parent.pop,elevation.group,elev_m,cwd_mean,pck_mean,ppt_mean,tmn_mean,tmx_mean,cwd_sem,pck_sem,ppt_sem,tmn_sem,tmx_sem
BH,Low,511.4294422,50.40420832236608,0.02924999992052714,66.8029580601103,4.993708331867432,18.77104168732961,1.4971740990913551,0.029249999920527143,4.390884867717753,0.24809423582513881,0.4055437887270215
CC,Low,313,48.96874066458808,0.10566666744373462,99.10866664033384,7.405888885977092,20.62074081632826,1.780420065259216,0.08352025642062,6.603211107588915,0.2951715970086752,0.4643899945352684
CP2,High,2244.132886,79.93080008188883,19.37266664505005,72.15573332370569,3.921666657427947,17.6456666914622,2.729305584703658,5.430884829882572,8.174588127468022,0.36627912521038886,0.4945725323784322
CP3,High,2266.382201,60.370933316548665,21.808466771443687,70.2265336034447,3.4890666644399366,16.826133365631105,1.791685096545687,5.905823199027897,7.853639607024164,0.3736546204236556,0.488438610354068
DPR,Mid,1018.591893,29.824703658951652,4.693888844384087,84.32418509979077,7.9609629613381845,22.150333286214757,1.1821544604059957,1.5309654724714308,7.641206377700586,0.3045312692543243,0.4337180751459784
FR,Mid,787,65.35966663360595,4.959259238066497,57.56551841193189,5.7188518285406404,22.789592635190047,2.0637104557847485,1.4308665968200607,5.0628229979821455,0.2707194331779397,0.49599267962251975
IH,Low,454.1298385,41.487999911308286,1.734400021135807,97.7304333718866,6.991900015653421,20.82170004526774,1.7490616423825511,0.7041071634589685,6.698600729539719,0.3089645535582614,0.45928782293209186
LV1,High,2593.416641,55.387333472569786,63.78466620445251,134.8589995406568,-1.1308333517828335,13.841250017782052,2.098730779843683,13.972970973940509,16.044455745434938,0.3477561870939413,0.5906742857912372
LV3,High,2353.550747,66.75916674931844,60.76650044123332,133.93624888497095,-1.177333340824892,13.77366665204366,2.8089414280175102,13.723028112247711,16.005138490759425,0.3465543831428962,0.5897447426579364
LVTR1,High,2741.38982,60.26908326148987,66.79433301289876,140.94416649912796,-1.3197499999310822,13.679333308835824,2.5958450933554746,14.637087039349709,16.792872916646704,0.3397176588182528,0.5903644193686729
SC,Low,421.5178299,45.21049986680349,0.07466666499773661,84.54904191147071,5.288708332600072,18.703583308060963,1.5747131303061854,0.06355709389487539,5.240603834443474,0.23181025757491272,0.40257937915522285
SQ1,Mid,1921.036585,85.75695246741886,13.75666671934582,51.76161940007337,4.9399523736199455,17.732095209757485,2.6742381629344836,3.267502538570639,5.780156182535778,0.35659549723324824,0.47265438644847685
SQ2,Mid,1934.45122,62.59242842538016,13.830714334760394,53.499476140764145,4.994571403751061,17.703238098961965,1.7755639018006948,3.2623892594962896,5.954073888095222,0.35562141168974376,0.459875898069505
SQ3,High,2373.170732,68.98483342064752,29.941610916455588,66.9062777572001,2.893611115299993,15.028388920095232,2.0444734797633686,6.054348239741668,7.424722481230886,0.40825115494809405,0.49615140680926056
TM2,Low,379.1526973,32.01904162963231,0.6834166745344797,124.63091593696736,5.905166672480603,18.4515416820844,2.105840351763315,0.3510029117219698,7.903800811704774,0.2486930201992499,0.39819111310558686
WL1,Mid,1613.837245,64.94357158570062,16.292047677153633,71.79880992286795,5.5197142898859015,19.95857144537426,2.0808989004952823,3.9578399129510085,7.270738533171766,0.3492467878333101,0.5121148267783256
WL2,High,2020.115818,66.74583313200209,8.61455544895596,58.381221977414356,5.295833332484795,19.058833344777426,1.7790275961838715,2.918087967808137,6.549016562420353,0.30988029411231643,0.4201872727680675
WR,Mid,1158,50.44062503923973,9.882458303372065,90.46812514835037,7.560666637285612,21.75729172428449,2.2609081102212927,2.8684887077066734,9.257790291422994,0.3154972843971091,0.46492327413808204
WV,Mid,748.8570558,58.58558338483175,8.73679173886776,62.82041654842906,6.045708316083377,22.416374986370403,2.800191805463717,2.326957692302482,5.92663436990079,0.2868978161727354,0.5648073686823348
YO11,High,2872.295032,72.04346673329671,16.612200080876548,43.39413317928712,-0.35919998850673435,14.57133331378301,2.534130081350577,3.80132129172298,4.32748300620758,0.382183196166752,0.47367167409182376
YO4,High,2157.57391,62.226000068301246,27.25176202229091,63.28728566372856,3.890142861079602,16.913380927698952,1.5570454017336677,5.566448586005013,6.4165613529403425,0.36882277838303096,0.46818203868198655
YO7,High,2469.978665,67.93673338572184,17.337466773986815,56.74419986322522,2.4265333222349486,16.453933327992758,1.681683824576844,4.4422829534588635,6.456624947657427,0.37776130773550676,0.47269087041924945
YO8,High,2590.97836,86.70326661427816,18.8420001411438,56.46540006179362,1.7267999835436543,16.06893333117167,2.7127205827156113,4.735995984057603,6.394453196521582,0.37946090740732985,0.4716249148424567
