parent.pop,elevation.group,elev_m,Recent_Gowers_Dist,Historic_Gowers_Dist
BH,Low,511.4294422,0.27265454874229916,0.29522671477160767
CC,Low,313,0.3314378029909709,0.23826153925830715
CP2,High,2244.132886,0.4454843982620984,0.3743490151783524
CP3,High,2266.382201,0.4761118996733764,0.40717796365221764
DPR,Mid,1018.591893,0.2668935800949475,0.21638686406225577
FR,Mid,787,0.29622965875193347,0.3179304192596002
IH,Low,454.1298385,0.23931482157198386,0.23686144978319978
LV1,High,2593.416641,0.4476320635199944,0.5983945937769354
LV3,High,2353.550747,0.44882573934819425,0.6007577682412075
LVTR1,High,2741.38982,0.45915390171068815,0.6118786743719161
SC,Low,421.5178299,0.3236140516868879,0.3073053870644968
SQ1,Mid,1921.036585,0.3771554301184235,0.40647012095908414
SQ2,Mid,1934.45122,0.3872615095425883,0.4005207634214813
SQ3,High,2373.170732,0.46941911708865647,0.481595129762821
TM2,Low,379.1526973,0.3782355330241542,0.33583849192736126
WL1,Mid,1613.837245,0.23854294115751898,0.26061937306066507
WL2,High,2020.115818,0.37262527137714363,0.3706289953265401
WR,Mid,1158,0.28024096120962916,0.24642517122143773
WV,Mid,748.8570558,0.2681322045580374,0.30486326357674937
YO11,High,2872.295032,0.566097944809396,0.5907475385030884
YO4,High,2157.57391,0.41604151965245445,0.3933367530687716
YO7,High,2469.978665,0.48878664129609717,0.4571967541982901
YO8,High,2590.97836,0.5067230398699213,0.4790074586942116
