parent.pop,elevation.group,elev_m,Recent_Gowers_Dist,Historic_Gowers_Dist
BH,Low,511.4294422,0.5545827042936846,0.5299295878157245
CC,Low,313,0.6816993603749195,0.6870812828048247
CP2,High,2244.132886,0.6255516716726798,0.5743407110961679
CP3,High,2266.382201,0.6285309462784164,0.5771443876612454
DPR,Mid,1018.591893,0.7425664420168205,0.6889833426860439
FR,Mid,787,0.5990960540937462,0.5953118818706509
IH,Low,454.1298385,0.7119669109519214,0.7097329856615624
LV1,High,2593.416641,0.5869174216893404,0.6515460320053864
LV3,High,2353.550747,0.5883583786477138,0.6519122789348224
LVTR1,High,2741.38982,0.5889426577621297,0.6587069658878453
SC,Low,421.5178299,0.6082974278840712,0.5640602470666906
SQ1,Mid,1921.036585,0.5806516081112945,0.5811195987640236
SQ2,Mid,1934.45122,0.5876670100995843,0.5863399992839768
SQ3,High,2373.170732,0.5744896482562145,0.6214559425927638
TM2,Low,379.1526973,0.7087917106016808,0.6777428009055818
WL1,Mid,1613.837245,0.6182346925982252,0.6086195169079244
WL2,High,2020.115818,0.6242089965735804,0.5759345950886633
WR,Mid,1158,0.733070060564509,0.7047773130804954
WV,Mid,748.8570558,0.5998475707255048,0.6051204860774668
YO11,High,2872.295032,0.4799057321390855,0.48171785812036927
YO4,High,2157.57391,0.6140661329287206,0.5919165915099401
YO7,High,2469.978665,0.6053303341259969,0.5452243106562819
YO8,High,2590.97836,0.6074377596453512,0.5395030274153817
