Lat,Long
37.40985,-119.96458
39.58597,-121.43311
38.66169,-120.13065
38.70649,-120.08797
39.22846,-120.81518
40.01362,-121.18498
39.09332,-120.92114
40.47471,-121.50486
40.47917,-121.52311
40.47917,-121.5032
38.41167,-120.73583
36.56435,-118.7764
36.66557,-118.83543
36.72109,-118.84933
39.59255,-121.55072
38.78608,-120.2143
38.8263,-120.25242
39.34346,-120.80659
40.74084,-123.00364
37.93844,-119.23157
37.76378,-119.77244
37.80903,-119.56605
37.81117,-119.48624
37.66374,-119.62484
38.53250,-121.78299
