parent.pop,elevation.group,elev_m,Lat,Long,year,ann_tmean,mean_diurnal_range,temp_seasonality,temp_ann_range,tmean_wettest_quarter,tmean_driest_quarter,ann_ppt,ppt_seasonality,ppt_warmest_quarter,ppt_coldest_quarter
BH,Low,511.4294422,37.40985,-119.96458,1896,14.600833333333334,14.175,643.6431405866472,33.25,8.371666666666668,13.103333333333333,650.7,133.9862333232873,94.81,305.27
BH,Low,511.4294422,37.40985,-119.96458,1897,14.623333333333333,13.701666666666666,687.5698091279477,32.14,7.458333333333333,19.733333333333334,587.39,100.86338656960747,18.3,297.5
BH,Low,511.4294422,37.40985,-119.96458,1898,14.543333333333333,14.478333333333333,697.331580622399,35.67,6.781666666666666,19.748333333333335,304.45,91.7017556562491,22.6,161.90999999999997
BH,Low,511.4294422,37.40985,-119.96458,1899,14.677083333333334,15.679166666666667,667.9132176322601,36.3,11.185,19.416666666666668,571.0300000000001,128.30015315796516,19.71,179.95
BH,Low,511.4294422,37.40985,-119.96458,1900,14.860833333333334,14.799999999999999,609.8416647463554,34.5,7.973333333333333,17.248333333333335,508.15999999999997,85.02713982630713,66.22,200.66
BH,Low,511.4294422,37.40985,-119.96458,1901,15.245833333333334,15.086666666666666,649.9947144307242,33.78,7.766666666666666,18.738333333333333,639.34,102.66027156379094,89.85,327.31
BH,Low,511.4294422,37.40985,-119.96458,1902,15.20625,16.259166666666665,691.6955821812735,34.65,7.836666666666666,18.11,487.95,127.7237623781665,38.69,249.24999999999997
BH,Low,511.4294422,37.40985,-119.96458,1903,14.77375,16.905833333333334,719.0112252569181,37.29,12.065,19.151666666666667,510.41,137.23676099889192,14.02,242.97
BH,Low,511.4294422,37.40985,-119.96458,1904,15.589583333333334,16.5975,695.8571058359786,37.58,13.281666666666666,17.703333333333333,805.4699999999999,111.61109671604838,131.8,278.98
BH,Low,511.4294422,37.40985,-119.96458,1905,15.802083333333334,16.834166666666665,643.315363719047,35.809999999999995,8.868333333333334,16.855,442.25,107.51313087467571,28.24,213.08999999999997
BH,Low,511.4294422,37.40985,-119.96458,1906,15.539166666666667,16.606666666666666,680.415442389739,39.6,11.94,16.924999999999997,798.75,130.07157053850761,55.85,342.49
