parent.pop,elevation.group,elev_m,timeframe,wtr_yr,ann_tmean,mean_diurnal_range,temp_seasonality,temp_ann_range,ann_ppt,ppt_seasonality,tmean_wettest_month,tmean_driest_month,ppt_warmest_month,ppt_coldest_month
BH,low,511.4294422,beforehistoric,1896,14.600833333333334,14.175,6.436431405866472,33.25,650.7,133.98623332328728,8.975,21.69,3.16,43.42
BH,low,511.4294422,beforehistoric,1897,14.623333333333333,13.701666666666666,6.875698091279476,32.14,587.3900000000001,100.86338656960746,6.955,24.59,0,89.61
BH,low,511.4294422,beforehistoric,1898,14.543333333333335,14.478333333333333,6.97331580622399,35.67,304.45000000000005,91.7017556562491,9.595,24.817500000000003,0,26.7
BH,low,511.4294422,beforehistoric,1899,14.677083333333334,15.679166666666665,6.6791321763226,36.3,571.03,128.30015315796513,9.35,23.9525,0,38.31
BH,low,511.4294422,beforehistoric,1900,14.860833333333334,14.799999999999999,6.098416647463554,34.5,508.16,85.02713982630712,7.175,23.223333333333333,0,90.36
BH,low,511.4294422,beforehistoric,1901,15.245833333333334,15.086666666666666,6.499947144307242,33.78,639.34,102.66027156379094,6.885,23.636666666666667,0,147.36
BH,low,511.4294422,beforehistoric,1902,15.20625,16.259166666666665,6.916955821812735,34.65,487.95,127.72376237816651,9.075,23.76375,0,26.29
BH,low,511.4294422,beforehistoric,1903,14.773750000000001,16.905833333333334,7.190112252569181,37.29,510.41,137.23676099889192,9.45,21.882,0,39.11
BH,low,511.4294422,beforehistoric,1904,15.589583333333334,16.5975,6.9585710583597855,37.58,805.47,111.61109671604837,9.565,23.35,0.86,40.72
BH,low,511.4294422,beforehistoric,1905,15.802083333333334,16.83416666666667,6.43315363719047,35.809999999999995,442.25,107.51313087467571,11.115,22.11625,0,59.17
BH,low,511.4294422,beforehistoric,1906,15.539166666666667,16.606666666666666,6.80415442389739,39.6,798.75,130.07157053850764,10.15,23.343333333333334,0,29.79
BH,low,511.4294422,beforehistoric,1907,15.162083333333333,14.605833333333333,6.467210111693286,33.82,838.8600000000001,134.0781660823451,8.56,23.103333333333335,0,167.28
BH,low,511.4294422,beforehistoric,1908,15.32375,16.059166666666666,6.910233887963824,36.63,378.23,115.8888764959243,8.02,21.18,0,61.94
BH,low,511.4294422,beforehistoric,1909,14.892083333333334,14.982500000000002,6.838410055219951,34.24,717.9000000000001,174.0118658497347,8.815000000000001,21.70375,0,32.03
BH,low,511.4294422,beforehistoric,1910,15.38625,15.249166666666667,7.224269741327115,34.989999999999995,588.0500000000001,117.80804377486247,5.765,23.14,3.85,110.2
BH,low,511.4294422,beforehistoric,1911,14.656666666666666,15.28,6.349841563282337,35.51,785.76,174.3298323295962,7.970000000000001,24.5325,0,80.9
BH,low,511.4294422,beforehistoric,1912,13.979583333333334,15.895833333333332,6.202600795536328,33.79,350.16999999999996,113.96265412585376,8.435,22.26,0.21,35.08
BH,low,511.4294422,beforehistoric,1913,14.749583333333334,16.3975,7.016013973997866,35.71,315.90000000000003,104.0153173896209,5.42,19.3125,0.04,98.63
BH,low,511.4294422,beforehistoric,1914,15.1525,15.385,6.118891573717342,33.48,739.6099999999999,147.32970494411435,8.025,24.28,0,107.64
BH,low,511.4294422,beforehistoric,1915,14.62125,16.11916666666667,6.4886944074780075,35.300000000000004,573.9,125.73877987733073,7.795,21.081,0,95.64
BH,low,511.4294422,beforehistoric,1916,14.415000000000001,16.04,5.98966192702059,33.449999999999996,712.97,148.79100872797795,4.510000000000001,19.67,0.74,313.67
BH,low,511.4294422,beforehistoric,1917,14.332083333333333,17.025833333333335,8.132496110815193,39.93,452.63000000000005,146.56203556683198,7.4799999999999995,23.14375,0,43.84
BH,low,511.4294422,beforehistoric,1918,15.254583333333333,16.1475,6.519617061514263,34.67,531.0500000000001,166.39899699147628,10.385,23.682499999999997,0.67,17.27
BH,low,511.4294422,beforehistoric,1919,14.7625,16.146666666666665,7.181258910905146,36.05,493.48,128.34957795713208,6.76,24.161666666666665,0,47.82
BH,low,511.4294422,beforehistoric,1920,14.62,16.226666666666667,6.700905298404225,33.98,533.9399999999999,118.64122758903171,8.09,20.740000000000002,3.69,94.92
BH,low,511.4294422,beforehistoric,1921,15.509166666666667,15.055,7.0400641891873965,34.63,516.91,109.44331252277328,6.654999999999999,25.9075,0,145.81
BH,low,511.4294422,beforehistoric,1922,15.375,15.209999999999999,7.881642076254276,37.48,695.31,126.66083846405859,8.785,25.62333333333333,0,103.83
BH,low,511.4294422,beforehistoric,1923,14.962083333333332,14.939166666666667,6.620817533402205,32.830000000000005,613.4800000000001,113.96014929968946,8.455,25.1025,0,110.59
BH,low,511.4294422,beforehistoric,1924,15.595833333333333,17.633333333333333,6.729377532112236,37.43,277.08000000000004,130.87930757608353,9.225000000000001,23.271250000000002,0,52.94
BH,low,511.4294422,beforehistoric,1925,14.8775,15.233333333333333,6.204611371611221,34.39,583.9099999999999,95.67114567858208,10.105,20.335,0.04,94.99
BH,low,511.4294422,beforehistoric,1926,16.095,16.305,6.785082902957044,36.58,410.7799999999999,138.56135327067895,9.29,23.578333333333333,0,68.54
BH,low,511.4294422,beforehistoric,1927,15.235416666666666,15.915833333333333,6.3341877065267935,35.91,651.4199999999998,114.016065703088,13.91,24.585,0,31.95
BH,low,511.4294422,beforehistoric,1928,15.760833333333332,15.821666666666665,6.621993600300762,33.73,400.42,132.66581813814452,12.09,23.34,0,66.38
BH,low,511.4294422,beforehistoric,1929,14.950416666666667,16.072499999999998,7.294813057089179,35.41,421.53000000000003,90.40053519046089,10.83,22.95,0,51.93
BH,low,511.4294422,beforehistoric,1930,15.474583333333333,16.0375,6.173652395585222,34.6,390.19000000000005,124.71474814277757,5.915,20.66,0,131.9
BH,low,511.4294422,beforehistoric,1931,16.533749999999998,16.495833333333334,7.27173392008711,40.279999999999994,321.9,116.72880883939202,7.755000000000001,29.064999999999998,0,1.87
BH,low,511.4294422,beforehistoric,1932,15.172083333333333,15.5175,7.4716228182289015,35.25,602.37,138.04196615824424,6.205,21.545,0.14,105.51
