parent.pop,elevation.group,elev_m,timeframe,year,month,grwssn_length,cwd,pck,ppt,tmn,tmx
BH,low,511.4294422,historic,1964,11,9,40.81,0,132.91,4.5,15.7
BH,low,511.4294422,historic,1964,12,9,26.92,0,8.93,-0.16,10.08
BH,low,511.4294422,historic,1964,1,9,28.13,0,65.76,0.52,11.43
BH,low,511.4294422,historic,1964,2,9,40.38,0,2.35,-0.04,15.22
BH,low,511.4294422,historic,1964,3,9,55.87,0,73.58,1.77,15.74
BH,low,511.4294422,historic,1964,4,9,70.32,0,28.76,4.02,20.13
BH,low,511.4294422,historic,1964,5,9,42.01,0,27.86,6.75,23.64
BH,low,511.4294422,historic,1964,6,9,42.75,0,10.65,11.22,29.43
BH,low,511.4294422,historic,1964,7,9,160.54,0,0,15.27,35.36
BH,low,511.4294422,historic,1965,11,8,40.16,0,120.36,3.07,15.21
BH,low,511.4294422,historic,1965,12,8,27.94,0,218.99,4.25,13.37
BH,low,511.4294422,historic,1965,1,8,27.39,0,88.08,2.2,11.9
BH,low,511.4294422,historic,1965,2,8,41.01,0,25.91,1.27,15.36
BH,low,511.4294422,historic,1965,3,8,57.19,0,50.61,3.34,16.84
BH,low,511.4294422,historic,1965,4,8,39.17,0,104.2,6.99,18.01
BH,low,511.4294422,historic,1965,5,8,70.84,0,0.05,6.61,25.09
BH,low,511.4294422,historic,1965,6,8,91.17,0,0,9.98,27.68
BH,low,511.4294422,historic,1966,12,7,25.39,0,94.54,0.05,11.06
BH,low,511.4294422,historic,1966,1,7,28.1,0,38.59,-0.22,12.89
BH,low,511.4294422,historic,1966,2,7,39.62,0,33.88,0.87,13.39
BH,low,511.4294422,historic,1966,3,7,58.93,0,8.37,4.24,18.38
BH,low,511.4294422,historic,1966,4,7,75.29,0,15.01,6.54,24.43
BH,low,511.4294422,historic,1966,5,7,75.79,0,11.47,9.84,27.95
BH,low,511.4294422,historic,1966,6,7,98.13,0,0.46,12.64,30.99
BH,low,511.4294422,historic,1967,12,8,27.04,0,149.34,2.2,11.29
BH,low,511.4294422,historic,1967,1,8,25.66,0,124.84,1.43,13.29
BH,low,511.4294422,historic,1967,2,8,40.75,0,19.95,1.72,14.41
BH,low,511.4294422,historic,1967,3,8,46.53,0,134.97,3.57,15.72
BH,low,511.4294422,historic,1967,4,8,34.97,0,201.83,2.59,13.42
BH,low,511.4294422,historic,1967,5,8,39.55,0,16.94,8.11,25.03
BH,low,511.4294422,historic,1967,6,8,34.81,0,17.21,11.07,28.49
BH,low,511.4294422,historic,1967,7,8,134.55,0,0,16.43,36.72
BH,low,511.4294422,historic,1968,12,7,27.96,0,73.47,-1.37,11.71
BH,low,511.4294422,historic,1968,1,7,28.71,0,58.54,-0.35,12.92
BH,low,511.4294422,historic,1968,2,7,44.73,0,68.18,5.55,17.1
BH,low,511.4294422,historic,1968,3,7,59.13,0,62.1,4.02,18.12
BH,low,511.4294422,historic,1968,4,7,72.15,0,19.17,4.45,22.03
BH,low,511.4294422,historic,1968,5,7,73.74,0,20.71,7.9,25.67
BH,low,511.4294422,historic,1968,6,7,101.1,0,0,13.08,32.66
BH,low,511.4294422,historic,1969,11,8,41.91,0,87.54,4.64,15.76
BH,low,511.4294422,historic,1969,12,8,26.19,0,136.7,0.5,11.56
BH,low,511.4294422,historic,1969,1,8,25.19,0,320.83,2.43,11.07
