month,growmonth,parent.pop,elevation.group,elev_m,PckSum,year,cwd,pck,ppt,tmn,tmx,AvgFirstMonth,AvgLastMonth
11,3,BH,Low,511.4294422,0.23399999936421711,1962,44.59000015258789,0,9.850000381469728,4.130000114440918,19.440000534057617,2,10
12,4,BH,Low,511.4294422,0.23399999936421711,1962,31.25,0,57.75,2.200000047683716,15.399999618530272,2,10
1,5,BH,Low,511.4294422,0.23399999936421711,1962,28.450000762939453,0,59.790000915527344,-1.440000057220459,11.859999656677246,2,10
2,6,BH,Low,511.4294422,0.23399999936421711,1962,37.400001525878906,0,288.8699951171875,2.549999952316284,12.529999732971191,2,10
3,7,BH,Low,511.4294422,0.23399999936421711,1962,45.349998474121094,0,80.62999725341797,2.1500000953674316,14.970000267028809,2,10
4,8,BH,Low,511.4294422,0.23399999936421711,1962,74.45999908447266,0,8.1899995803833,6.159999847412109,23.8700008392334,2,10
5,9,BH,Low,511.4294422,0.23399999936421711,1962,70.55000305175781,0,3.0799999237060547,6.71999979019165,23.809999465942383,2,10
6,10,BH,Low,511.4294422,0.23399999936421711,1962,97.18000030517578,0,0.8199999928474426,11.609999656677246,31.530000686645508,2,10
11,3,CC,Low,313,0.9510000069936116,1962,32.380001068115234,0,54.11000061035156,6.590000152587891,18.850000381469727,2,11
12,4,CC,Low,313,0.9510000069936116,1962,20.989999771118164,0,130.7100067138672,3.819999933242798,14.329999923706056,2,11
1,5,CC,Low,313,0.9510000069936116,1962,19.739999771118164,0,93.06999969482422,0.7099999785423279,14.140000343322754,2,11
2,6,CC,Low,313,0.9510000069936116,1962,27.799999237060547,0,360.4800109863281,3.7799999713897705,12.75,2,11
3,7,CC,Low,313,0.9510000069936116,1962,39.27000045776367,0,128.6300048828125,3.7200000286102295,15.649999618530272,2,11
4,8,CC,Low,313,0.9510000069936116,1962,70.38999938964844,0,23.579999923706055,7.869999885559082,24.700000762939453,2,11
5,9,CC,Low,313,0.9510000069936116,1962,67.660003662109375,0,18.520000457763672,8.859999656677246,23.68000030517578,2,11
6,10,CC,Low,313,0.9510000069936116,1962,88.45999908447266,0,10.010000228881836,12.15999984741211,31.850000381469727,2,11
7,11,CC,Low,313,0.9510000069936116,1962,113.33999633789062,0,0,16.459999084472656,35.59000015258789,2,11
11,3,IH,Low,454.1298385,17.344000211358072,1962,28.90999984741211,0,55.369998931884766,5.03000020980835,17.8700008392334,2,12
12,4,IH,Low,454.1298385,17.344000211358072,1962,20.5,0,147.4199981689453,2.7799999713897705,14.329999923706056,2,12
1,5,IH,Low,454.1298385,17.344000211358072,1962,18.829999923706055,0,104.58999633789062,-1.1299999952316284,13.239999771118164,2,12
2,6,IH,Low,454.1298385,17.344000211358072,1962,20.809999465942383,0,409.1099853515625,2.5199999809265137,11.43000030517578,2,12
3,7,IH,Low,454.1298385,17.344000211358072,1962,23.709999084472656,0,151.4499969482422,1.9600000381469729,14.130000114440918,2,12
4,8,IH,Low,454.1298385,17.344000211358072,1962,59.7400016784668,0,45.790000915527344,5.699999809265137,23.239999771118164,2,12
5,9,IH,Low,454.1298385,17.344000211358072,1962,49.91999816894531,0,9.279999732971191,7.71999979019165,22.270000457763672,2,12
6,10,IH,Low,454.1298385,17.344000211358072,1962,55.77000045776367,0,0,10.5600004196167,30.200000762939453,2,12
7,11,IH,Low,454.1298385,17.344000211358072,1962,0,0,1.159999966621399,15.739999771118164,34.0099983215332,2,12
8,12,IH,Low,454.1298385,17.344000211358072,1962,139.57000732421875,0,5.670000076293945,14.800000190734863,32.27000045776367,2,12
11,3,SC,Low,421.5178299,0.5973333199818929,1962,34.13999938964844,0,27.440000534057617,5.739999771118164,18.989999771118164,2,10
12,4,SC,Low,421.5178299,0.5973333199818929,1962,24.11000061035156,0,85.839996337890625,3.119999885559082,14.329999923706056,2,10
1,5,SC,Low,421.5178299,0.5973333199818929,1962,23.790000915527344,0,60.15999984741211,-0.30000001192092896,12.390000343322754,2,10
2,6,SC,Low,421.5178299,0.5973333199818929,1962,28.34000015258789,0,282.3699951171875,3.130000114440918,12.43000030517578,2,10
3,7,SC,Low,421.5178299,0.5973333199818929,1962,34.90999984741211,0,100.93000030517578,2.5,15.020000457763672,2,10
4,8,SC,Low,421.5178299,0.5973333199818929,1962,70.589996337890625,0,34.869998931884766,6.900000095367432,23.88999938964844,2,10
5,9,SC,Low,421.5178299,0.5973333199818929,1962,68.73999786376953,0,6.150000095367432,7.610000133514404,23.479999542236328,2,10
6,10,SC,Low,421.5178299,0.5973333199818929,1962,97.5500030517578,0,0.00999999977648258,11.670000076293944,31.479999542236328,2,10
11,3,TM2,Low,379.1526973,5.467333396275838,1962,31.079999923706055,0,62.52000045776367,6.429999828338623,18.31999969482422,2,10
12,4,TM2,Low,379.1526973,5.467333396275838,1962,19.280000686645508,0,148.6999969482422,3.75,14.210000038146973,2,10
