month,growmonth,parent.pop,elevation.group,elev_m,PckSum,Lat,Long,year,cwd,pck,ppt,tmn,tmx,AvgFirstMonth,AvgLastMonth
11,3,BH,Low,511.4294422,0.23399999999999999,37.40985,-119.96458,1965,45.22,0,212.22,5.34,17.72,2,10
12,4,BH,Low,511.4294422,0.23399999999999999,37.40985,-119.96458,1965,25.39,0,94.54,0.05,11.06,2,10
1,5,BH,Low,511.4294422,0.23399999999999999,37.40985,-119.96458,1965,27.39,0,88.08,2.2,11.9,2,10
2,6,BH,Low,511.4294422,0.23399999999999999,37.40985,-119.96458,1965,41.01,0,25.91,1.27,15.36,2,10
3,7,BH,Low,511.4294422,0.23399999999999999,37.40985,-119.96458,1965,57.19,0,50.61,3.34,16.84,2,10
4,8,BH,Low,511.4294422,0.23399999999999999,37.40985,-119.96458,1965,39.17,0,104.2,6.99,18.01,2,10
5,9,BH,Low,511.4294422,0.23399999999999999,37.40985,-119.96458,1965,70.84,0,0.05,6.61,25.09,2,10
6,10,BH,Low,511.4294422,0.23399999999999999,37.40985,-119.96458,1965,91.17,0,0,9.98,27.68,2,10
11,3,CC,Low,313,0.9509999999999996,39.58597,-121.43311,1965,30.01,0,221.07,6.69,16.86,2,10
12,4,CC,Low,313,0.9509999999999996,39.58597,-121.43311,1965,19.04,0,115.76,0.81,10.6,2,10
1,5,CC,Low,313,0.9509999999999996,39.58597,-121.43311,1965,17.44,0,257.82,3.26,11.88,2,10
2,6,CC,Low,313,0.9509999999999996,39.58597,-121.43311,1965,32.21,0,33.55,2.92,16.5,2,10
3,7,CC,Low,313,0.9509999999999996,39.58597,-121.43311,1965,50.25,0,56.28,5.47,18.05,2,10
4,8,CC,Low,313,0.9509999999999996,39.58597,-121.43311,1965,36.69,0,158.28,8.34,18.95,2,10
5,9,CC,Low,313,0.9509999999999996,39.58597,-121.43311,1965,69.93,0,7.88,9.98,26.08,2,10
6,10,CC,Low,313,0.9509999999999996,39.58597,-121.43311,1965,85.92,0,1.96,12.09,28.4,2,10
