month,growmonth,parent.pop,elevation.group,elev_m,PckSum,year,cwd,pck,ppt,tmn,tmx,AvgFirstMonth,AvgLastMonth
12,4,BH,Low,511.4294422,0,1992,27.75,0,161.94000244140625,0.7300000190734863,11.579999923706056,3,10
1,5,BH,Low,511.4294422,0,1992,28.290000915527344,0,42.65999984741211,1.2200000286102295,10.640000343322754,3,10
2,6,BH,Low,511.4294422,0,1992,40.119998931884766,0,174.92999267578125,5.260000228881836,16.040000915527344,3,10
3,7,BH,Low,511.4294422,0,1992,52.029998779296875,0,76.31999969482422,6.210000038146973,17.389999389648438,3,10
4,8,BH,Low,511.4294422,0,1992,75.9000015258789,0,2.190000057220459,8.3100004196167,23.61000061035156,3,10
5,9,BH,Low,511.4294422,0,1992,78.589996337890625,0,0.07999999821186066,12.729999542236328,29.43000030517578,3,10
6,10,BH,Low,511.4294422,0,1992,99.089996337890625,0,1.7699999809265137,13.5600004196167,30.229999542236328,3,10
11,3,CC,Low,313,0,1992,32.369998931884766,0,18.11000061035156,6.079999923706055,18.350000381469727,2,10
12,4,CC,Low,313,0,1992,19.280000686645508,0,243.0500030517578,2.359999895095825,11.199999809265137,2,10
1,5,CC,Low,313,0,1992,19.43000030517578,0,80.87999725341797,1.7200000286102295,12.0600004196167,2,10
2,6,CC,Low,313,0,1992,30.729999542236328,0,276.1700134277344,6.489999771118164,16.479999542236328,2,10
3,7,CC,Low,313,0,1992,44.310001373291016,0,127.94000244140624,7.070000171661377,17.940000534057617,2,10
4,8,CC,Low,313,0,1992,68.660003662109375,0,60.41999816894531,9.010000228881836,23.079999923706055,2,10
5,9,CC,Low,313,0,1992,74.160003662109375,0,0.800000011920929,13.100000381469728,29.8700008392334,2,10
6,10,CC,Low,313,0,1992,29.3799991607666,0,40.09000015258789,14.18000030517578,30.1200008392334,2,10
11,3,IH,Low,454.1298385,2.3243332862854005,1992,31.11000061035156,0,18.34000015258789,4.409999847412109,17.510000228881836,2,12
12,4,IH,Low,454.1298385,2.3243332862854005,1992,18.760000228881836,4.130000114440918,300.7900085449219,0.8600000143051147,11.010000228881836,2,12
1,5,IH,Low,454.1298385,2.3243332862854005,1992,19.549999237060547,0,79.69000244140625,0.9800000190734864,13.399999618530272,2,12
2,6,IH,Low,454.1298385,2.3243332862854005,1992,24.11000061035156,0,286.69000244140625,5.599999904632568,15.239999771118164,2,12
3,7,IH,Low,454.1298385,2.3243332862854005,1992,41,0,111.01000213623048,6.010000228881836,17.040000915527344,2,12
4,8,IH,Low,454.1298385,2.3243332862854005,1992,60.52000045776367,0,47.9900016784668,8.020000457763672,22.219999313354492,2,12
5,9,IH,Low,454.1298385,2.3243332862854005,1992,55.189998626708984,0,0.02999999932944774,12.609999656677246,28.280000686645508,2,12
6,10,IH,Low,454.1298385,2.3243332862854005,1992,0,0,26.15999984741211,13.300000190734863,28.68000030517578,2,12
7,11,IH,Low,454.1298385,2.3243332862854005,1992,20.579999923706055,0,2.0299999713897705,14.859999656677246,30.790000915527344,2,12
8,12,IH,Low,454.1298385,2.3243332862854005,1992,172.8000030517578,0,0,16.799999237060547,34.45000076293945,2,12
12,4,SC,Low,421.5178299,0.25233333905537925,1992,23.780000686645508,0,229.9199981689453,1.350000023841858,11.279999732971191,3,10
1,5,SC,Low,421.5178299,0.25233333905537925,1992,22.799999237060547,0,49.31999969482422,0.4099999964237213,11.479999542236328,3,10
2,6,SC,Low,421.5178299,0.25233333905537925,1992,30.81999969482422,0,193.9199981689453,5.75,16.040000915527344,3,10
3,7,SC,Low,421.5178299,0.25233333905537925,1992,43.81999969482422,0,97.279998779296875,6.449999809265137,17.360000610351562,3,10
4,8,SC,Low,421.5178299,0.25233333905537925,1992,70.11000061035156,0,20.11000061035156,7.710000038146973,22.420000076293945,3,10
5,9,SC,Low,421.5178299,0.25233333905537925,1992,77.1500015258789,0,0,11.359999656677246,29.040000915527344,3,10
6,10,SC,Low,421.5178299,0.25233333905537925,1992,54.41999816894531,0,19.59000015258789,12.399999618530272,28.850000381469727,3,10
11,3,TM2,Low,379.1526973,0,1992,32.38999938964844,0,20.440000534057617,5.679999828338623,17.8700008392334,2,10
12,4,TM2,Low,379.1526973,0,1992,16.8799991607666,0,276.7900085449219,1.9700000286102295,10.81999969482422,2,10
1,5,TM2,Low,379.1526973,0,1992,20.09000015258789,0,87.79000091552734,1.4800000190734863,11.949999809265137,2,10
2,6,TM2,Low,379.1526973,0,1992,12.890000343322754,0,308,6.010000228881836,15.899999618530272,2,10
3,7,TM2,Low,379.1526973,0,1992,21.34000015258789,0,138.02000427246094,6.480000019073486,17.450000762939453,2,10
4,8,TM2,Low,379.1526973,0,1992,51.65999984741211,0,67.910003662109375,8.5600004196167,22.59000015258789,2,10
5,9,TM2,Low,379.1526973,0,1992,95.37999725341795,0,1.850000023841858,12.729999542236328,29.450000762939453,2,10
6,10,TM2,Low,379.1526973,0,1992,0,0,44.43000030517578,13.699999809265137,29.6200008392334,2,10
12,4,BH,Low,511.4294422,0,1993,30.270000457763672,0,59.20000076293945,1.6799999475479126,12.829999923706056,3,10
1,5,BH,Low,511.4294422,0,1993,25.59000015258789,0,288.94000244140625,1.8200000524520872,12.140000343322754,3,10
2,6,BH,Low,511.4294422,0,1993,37.04999923706055,0,140.44000244140625,3.2899999618530273,13.789999961853027,3,10
3,7,BH,Low,511.4294422,0,1993,46.0099983215332,0,89.91999816894531,7.110000133514404,18.290000915527344,3,10
4,8,BH,Low,511.4294422,0,1993,71.160003662109375,0,12.8100004196167,6.010000228881836,19.829999923706055,3,10
5,9,BH,Low,511.4294422,0,1993,73.660003662109375,0,12.899999618530272,9.380000114440918,25.729999542236328,3,10
6,10,BH,Low,511.4294422,0,1993,35.65999984741211,0,33.560001373291016,11.170000076293944,29.190000534057617,3,10
