parent.pop,elevation.group,elev_m,Recent_Gowers_Dist,Historic_Gowers_Dist
BH,Low,511.4294422,0.23535226151404182,0.2449493708316839
CC,Low,313,0.30060184923172445,0.2763110538742206
CP2,High,2244.132886,0.6060475613145061,0.606437646552804
CP3,High,2266.382201,0.6409988821835847,0.6426109421271767
DPR,Mid,1018.591893,0.49169554896970935,0.4732965259520947
FR,Mid,787,0.3740806061108656,0.4077450795938185
IH,Low,454.1298385,0.30300278730529295,0.3160005271911539
LV1,High,2593.416641,0.7798341998543573,0.777781375808781
LV3,High,2353.550747,0.7854169154663038,0.7797515076456587
LVTR1,High,2741.38982,0.790029066237307,0.787540480495444
SC,Low,421.5178299,0.20258191504308462,0.2437395877818225
SQ1,Mid,1921.036585,0.4461957936327273,0.4798589385872475
SQ2,Mid,1934.45122,0.4641297579860183,0.5005871025125005
SQ3,High,2373.170732,0.5261346809064547,0.5763338855042381
TM2,Low,379.1526973,0.3351667259933429,0.3027765009591802
WL1,Mid,1613.837245,0.4933388514820459,0.4829757748974093
WL2,High,2020.115818,0.5994260219277047,0.5778855763815006
WR,Mid,1158,0.5458312126794698,0.5100113019379418
WV,Mid,748.8570558,0.4401974171282507,0.4704032994503169
YO11,High,2872.295032,0.5889599684232834,0.5966540993476949
YO4,High,2157.57391,0.5520257431722007,0.5385464640109168
YO7,High,2469.978665,0.5774340047053971,0.5937761124869145
YO8,High,2590.97836,0.5694753526038713,0.5853859533342772
