parent.pop,elevation.group,elev_m,Recent_Gowers_Dist,Historic_Gowers_Dist
BH,Low,511.4294422,0.07753520340684315,0.076087613509614
CC,Low,313,0.1998504625893684,0.16154594042095222
CP2,High,2244.132886,0.5130467669866094,0.5571537294611466
CP3,High,2266.382201,0.6091800946714487,0.6498965087776855
DPR,Mid,1018.591893,0.4524906278723772,0.4852630356806882
FR,Mid,787,0.18093004562128562,0.20110743316515461
IH,Low,454.1298385,0.22533528434485178,0.23072171083850318
LV1,High,2593.416641,0.7620924940110694,0.8151440692695645
LV3,High,2353.550747,0.7980986089200501,0.8484193173960671
LVTR1,High,2741.38982,0.7688284556628218,0.8206584283645746
SC,Low,421.5178299,0.06389948259508707,0.05464034984029644
SQ1,Mid,1921.036585,0.29557356636752746,0.37765161576331785
SQ2,Mid,1934.45122,0.39177279327420556,0.4630281404513593
SQ3,High,2373.170732,0.4686438543724028,0.541649469011635
TM2,Low,379.1526973,0.22998827690327006,0.20187990374306758
WL1,Mid,1613.837245,0.40172841715366947,0.4254175065089697
WL2,High,2020.115818,0.5070597316178446,0.5408213853485508
WR,Mid,1158,0.4377137173456566,0.482048373692202
WV,Mid,748.8570558,0.35346592929295945,0.37777834113350484
YO11,High,2872.295032,0.5795750893225422,0.6181288585831335
YO4,High,2157.57391,0.4650712701010706,0.5094778079305489
YO7,High,2469.978665,0.5893571842663915,0.6304066241954616
YO8,High,2590.97836,0.5348800378082711,0.5809007625556062
