parent.pop,elevation.group,elev_m,Lat,Long,Gowers_Dist,bias,std.error,conf.low,conf.high,TimePd
SC,Low,421.5178299,38.41167,-120.73583000000001,0.05094854455223478,4.772631882581993e-4,0.008410788779582491,0.0339864382744213,0.06695612445353186,Recent
BH,Low,511.4294422,37.40985,-119.96458,0.06148442747703462,2.223811833601541e-4,0.0067491888841137515,0.04803387915595344,0.07449021343139549,Recent
FR,Mid,787,40.01362,-121.18498,0.15122581838656046,-2.2736373402970633e-4,0.012341380460132825,0.12726452089922347,0.17564184334195687,Recent
CC,Low,313,39.58597,-121.43311,0.15976362787734377,-2.0984659988235177e-4,0.007419638716890463,0.14543124981382183,0.17451569914063042,Recent
IH,Low,454.1298385,39.09332,-120.92114,0.180442700074552,7.657697285415321e-5,0.011023082400628204,0.15876127859784925,0.20197096760554642,Recent
TM2,Low,379.1526973,39.59255,-121.55072,0.1838651484594004,-1.4431466571218632e-4,0.012851119700457707,0.15882173135120234,0.20919719489902286,Recent
SQ1,Mid,1921.036585,36.56435,-118.7764,0.26202428025515445,-1.4691731696442334e-4,0.020685274186748575,0.22162880515575561,0.30271358998848213,Recent
WV,Mid,748.8570558,40.74084,-123.00364,0.29423862165067627,-1.922915590625296e-4,0.014631971377851914,0.26575277628632815,0.32310905013314944,Recent
SQ2,Mid,1934.45122,36.66557,-118.83543,0.34212056581246597,-1.64451340960603e-4,0.02023674122803042,0.3026217331820301,0.38194830112482303,Recent
WL1,Mid,1613.837245,38.78608,-120.2143,0.3501433093047735,-1.2760546913731519e-4,0.018859489406875207,0.31330699476962076,0.38723483477820086,Recent
WR,Mid,1158,39.34346,-120.80659,0.3647447348749504,-2.998278545810473e-4,0.01566004676030025,0.3343514350831298,0.3957376903759331,Recent
DPR,Mid,1018.591893,39.22846,-120.81518,0.3661802004929875,-2.5173779978410193e-4,0.012883242625120453,0.34118124674344424,0.39168262984209895,Recent
YO4,High,2157.57391,37.76378,-119.77244,0.43085108934810246,-3.840002100079509e-4,0.020590260862885873,0.39087891983456946,0.47159125928165135,Recent
SQ3,High,2373.170732,36.72109,-118.84933,0.43370372788575823,-2.3004121796443844e-4,0.023659922075567757,0.3875611739585857,0.48030636424885964,Recent
WL2,High,2020.115818,38.8263,-120.25242,0.4739912603582246,-9.941164677301773e-5,0.021970809586275925,0.43102867650470944,0.5171526675052858,Recent
CP2,High,2244.132886,38.66169,-120.13065,0.5066155547192919,-1.6241751684875627e-4,0.021908443866135052,0.46383821130119846,0.5497177331710827,Recent
YO8,High,2590.97836,37.81117,-119.48624,0.5376930427612662,-4.678750509095053e-4,0.023239052349148408,0.49261321217300386,0.5837086234513474,Recent
YO11,High,2872.295032,37.93844,-119.23157,0.5492266202382559,-1.340966768403895e-5,0.016720578372390188,0.5164682984953758,0.582011761316504,Recent
YO7,High,2469.978665,37.80903,-119.56605,0.5749056097581988,-5.148580465997865e-4,0.02144740034260378,0.5333843355712832,0.617456600038314,Recent
CP3,High,2266.382201,38.70649,-120.08797,0.5914769238779892,-2.00977065928587e-4,0.019630864524860514,0.5532021134898062,0.6301536883980294,Recent
LV1,High,2593.416641,40.47471,-121.50486,0.8046424232427771,-2.484976954343354e-4,0.010487712458617638,0.7843353822391089,0.825446459637314,Recent
LVTR1,High,2741.38982,40.47917,-121.5032,0.8157091072223154,-2.752398589767058e-4,0.01080739324112422,0.794802245561927,0.8371664486006571,Recent
LV3,High,2353.550747,40.47917,-121.52311,0.8310002997037818,-2.175430011855939e-4,0.009754648759096653,0.8120990824552996,0.8503366029546351,Recent
SC,Low,421.5178299,38.41167,-120.73583000000001,0.04382321350183927,0.0038144801440162177,0.0051078346227513075,0.02999756145824376,0.050019905257402346,Historical
BH,Low,511.4294422,37.40985,-119.96458,0.060506920959688265,4.2107083434862747e-5,0.0063177992749559935,0.04808215483578639,0.07284747291672042,Historical
CC,Low,313,39.58597,-121.43311,0.12923793077919563,-1.1618691784268109e-4,0.008688518520185757,0.11232493431846498,0.14638330107561162,Historical
TM2,Low,379.1526973,39.59255,-121.55072,0.16202203998895393,0.0016684859752101322,0.015179848252684008,0.13060159814769987,0.19010550987978772,Historical
FR,Mid,787,40.01362,-121.18498,0.1683546790696163,-3.029281622460578e-4,0.010566648782042328,0.14794735618177537,0.18936785828194933,Historical
IH,Low,454.1298385,39.09332,-120.92114,0.18555940586316425,-1.65138550924121e-4,0.01141993466712873,0.16334188376071565,0.20810720506746108,Historical
WV,Mid,748.8570558,40.74084,-123.00364,0.316722539750574,-1.0757787828680199e-4,0.011602661701246013,0.2940893185696164,0.33957091668810524,Historical
SQ1,Mid,1921.036585,36.56435,-118.7764,0.3339242935283393,2.6959291736439184e-4,0.018380982889942672,0.2976286361462403,0.3696807650757095,Historical
WL1,Mid,1613.837245,38.78608,-120.2143,0.3707388658668873,-3.665695943448899e-4,0.013536843256790368,0.3445737102135592,0.3976371607089052,Historical
DPR,Mid,1018.591893,39.22846,-120.81518,0.3964742506568253,-9.371120288648171e-5,0.011973760179335885,0.3730998231486936,0.42003610057072993,Historical
SQ2,Mid,1934.45122,36.66557,-118.83543,0.40378892831619206,2.643408943455161e-4,0.017862536587199947,0.36851465903840563,0.43853451580528746,Historical
WR,Mid,1158,39.34346,-120.80659,0.40499582227361586,-7.636640227071112e-5,0.013102649194382797,0.37939146815283353,0.4307529091989396,Historical
YO4,High,2157.57391,37.76378,-119.77244,0.46557821720516124,-2.185172677360292e-6,0.015766756103297818,0.4346781282623478,0.4964826764933294,Historical
SQ3,High,2373.170732,36.72109,-118.84933,0.49813101613272903,4.480351252220127e-4,0.02002270147304395,0.4584392072471438,0.5369267547678702,Historical
WL2,High,2020.115818,38.8263,-120.25242,0.500965819092461,-2.856673984680258e-4,0.014104169204602978,0.4736078228180482,0.5288951501638097,Historical
CP2,High,2244.132886,38.66169,-120.13065,0.5469315091451351,-2.7144968974601724e-4,0.0160814058005688,0.5156839826449928,0.5787219350247694,Historical
YO11,High,2872.295032,37.93844,-119.23157,0.5720009572060459,3.0876597143314477e-4,0.010927548897057845,0.550274588957079,0.5931097935121465,Historical
YO8,High,2590.97836,37.81117,-119.48624,0.5727781363934469,2.1100115264571784e-5,0.019381907086402406,0.5347691964371319,0.6107448761192327,Historical
YO7,High,2469.978665,37.80903,-119.56605,0.6066797624944794,6.268034994350025e-5,0.01764554592223561,0.5720324476494065,0.6412017166396653,Historical
CP3,High,2266.382201,38.70649,-120.08797,0.6275693714410802,-2.919289428479077e-4,0.014746975588784244,0.5989577593490196,0.6567648414188365,Historical
LV1,High,2593.416641,40.47471,-121.50486,0.8452022223449736,-3.711518568687566e-4,0.008355920263240349,0.8291960714282027,0.8619506769754819,Historical
LVTR1,High,2741.38982,40.47917,-121.5032,0.8567863477998,-4.277097660777551e-4,0.009355056653970996,0.8388784834507629,0.8755496316809926,Historical
LV3,High,2353.550747,40.47917,-121.52311,0.8690578205057534,-3.911451741391847e-4,0.007933304737121406,0.8538999741167537,0.8849979572430315,Historical
