parent.pop,elevation.group,elev_m,Lat,Long,Gowers_Dist,bias,std.error,conf.low,conf.high,TimePd
SC,Low,421.5178299,38.41167,-120.73583000000001,0.2626495731026139,0.0012130882056863856,0.012699909661720434,0.2365451193530432,0.2863278504408118,Recent
BH,Low,511.4294422,37.40985,-119.96458,0.308009898999555,-0.0015491087686225757,0.016235152268351642,0.2777386940386846,0.34137932149767053,Recent
CC,Low,313,39.58597,-121.43311,0.33135522207574825,7.760431659661338e-4,0.011818575400716938,0.30741519677580587,0.35374316104375836,Recent
IH,Low,454.1298385,39.09332,-120.92114,0.3385466001946516,0.001461473057364382,0.014442240018153146,0.30877885684562395,0.3653913974289505,Recent
TM2,Low,379.1526973,39.59255,-121.55072,0.3660915468376503,-0.0010156876361214762,0.012094483396539712,0.3434024826049363,0.3908119863426072,Recent
FR,Mid,787,40.01362,-121.18498,0.44848996977912936,-0.002468933438814269,0.015062024904364332,0.4214378768711442,0.48047992956474306,Recent
WV,Mid,748.8570558,40.74084,-123.00364,0.4680930188655202,-0.0018189373275025456,0.010187223278791154,0.449945365464124,0.48987854692192145,Recent
SQ2,Mid,1934.45122,36.66557,-118.83543,0.4976340546400222,9.477654820273518e-4,0.02043779848381987,0.4566289402064206,0.5367436381095692,Recent
DPR,Mid,1018.591893,39.22846,-120.81518,0.507317522071498,-0.001798744916979178,0.015833933359446092,0.4780823278703556,0.5401502061065989,Recent
SQ1,Mid,1921.036585,36.56435,-118.7764,0.5116826653143957,-0.0012436800665444059,0.020039056017232413,0.4736505173029839,0.5522021734588962,Recent
WL1,Mid,1613.837245,38.78608,-120.2143,0.5311645939836678,-3.4649273125353375e-4,0.016494672120967127,0.49918212342102886,0.5638400500088138,Recent
SQ3,High,2373.170732,36.72109,-118.84933,0.5550905886647594,4.3777502071673524e-4,0.021453350101846968,0.5126050200966938,0.5967006071913914,Recent
YO7,High,2469.978665,37.80903,-119.56605,0.5807279858397546,0.0032138871148581494,0.017164768845088968,0.5438717699855669,0.611156427464226,Recent
YO8,High,2590.97836,37.81117,-119.48624,0.5887943792860351,0.0024804920133343344,0.016998584767901254,0.5529972733394631,0.6196305012059383,Recent
WR,Mid,1158,39.34346,-120.80659,0.5895673891134261,-0.0021150826412915658,0.01576519210250446,0.5607832630244536,0.6225816804849817,Recent
YO11,High,2872.295032,37.93844,-119.23157,0.5936668088536934,-0.0010333866931774294,0.016209935564574406,0.56292930564859,0.6264710854451516,Recent
YO4,High,2157.57391,37.76378,-119.77244,0.5940965535542161,-0.002203047724646856,0.01822496946390778,0.5605793175102615,0.6320198850474644,Recent
WL2,High,2020.115818,38.8263,-120.25242,0.6373157111064667,-0.0016886723697976391,0.016609340272972725,0.6064506747342671,0.6715580922182616,Recent
