parent.pop,elevation.group,elev_m,Recent_Gowers_Dist,Historic_Gowers_Dist
BH,Low,511.4294422,0.6676730597982279,0.6431737912341932
CC,Low,313,0.5784498894833093,0.5646425148336011
CP2,High,2244.132886,0.37172276719247416,0.4076997377820896
CP3,High,2266.382201,0.35277616297194075,0.39759527104009496
DPR,Mid,1018.591893,0.43588907224922996,0.43230778758970895
FR,Mid,787,0.5190924569421022,0.533888012200977
IH,Low,454.1298385,0.5222056343088792,0.5227883687203152
LV1,High,2593.416641,0.3664103913462908,0.42991994020926255
LV3,High,2353.550747,0.3650783086676288,0.4368691326307169
LVTR1,High,2741.38982,0.37350500916673857,0.4307718671907081
SC,Low,421.5178299,0.6299364352858993,0.6347264820801274
SQ1,Mid,1921.036585,0.4226503578502908,0.4321301794830554
SQ2,Mid,1934.45122,0.3834168092908681,0.4025940670446273
SQ3,High,2373.170732,0.36269094415662445,0.41158177859041084
TM2,Low,379.1526973,0.5391132451223192,0.5295910324260703
WL1,Mid,1613.837245,0.42298711785234766,0.42836136991441537
WL2,High,2020.115818,0.3766291014265386,0.3921663624394418
WR,Mid,1158,0.37893626885712095,0.3720099722390241
WV,Mid,748.8570558,0.4697990869770671,0.46596140805152053
YO11,High,2872.295032,0.4663929925251845,0.5458204051420108
YO4,High,2157.57391,0.38002405906217246,0.3930944850730042
YO7,High,2469.978665,0.37580406100944413,0.40887580562511683
YO8,High,2590.97836,0.4006296700872149,0.4434298854198154
