parent.pop,elevation.group,elev_m,Recent_Gowers_Dist,Historic_Gowers_Dist
BH,Low,511.4294422,0.8110766652582534,0.7703731148434434
CC,Low,313,0.6950235810060074,0.666207649864818
CP2,High,2244.132886,0.3488955351301157,0.3307676361064896
CP3,High,2266.382201,0.28126398811867614,0.28308138271972394
DPR,Mid,1018.591893,0.5344079276712356,0.49638093861071275
FR,Mid,787,0.6375848203014612,0.609334741312747
IH,Low,454.1298385,0.6045361537632307,0.5812903303533107
LV1,High,2593.416641,0.21065019672862634,0.21304472714655925
LV3,High,2353.550747,0.1900443975132225,0.21882023686582963
LVTR1,High,2741.38982,0.2126756208758748,0.21348636302905044
SC,Low,421.5178299,0.7466454082551278,0.7370399252141011
SQ1,Mid,1921.036585,0.5319178901611452,0.45319585651222116
SQ2,Mid,1934.45122,0.44750556531973534,0.37966610285554847
SQ3,High,2373.170732,0.40321804128417177,0.36988272021733304
TM2,Low,379.1526973,0.6496370642799406,0.6075909198353984
WL1,Mid,1613.837245,0.4443019515743542,0.40713381619791617
WL2,High,2020.115818,0.33291242609832106,0.3191375363745158
WR,Mid,1158,0.4266043979761276,0.3681422532269192
WV,Mid,748.8570558,0.4862852755723255,0.4502076153677439
YO11,High,2872.295032,0.47948186083850736,0.5068617121248453
YO4,High,2157.57391,0.371365254015041,0.3534799196447437
YO7,High,2469.978665,0.3361759686626962,0.3404305546374815
YO8,High,2590.97836,0.4087275633334369,0.4137727038015035
