parent.pop,elevation.group,elev_m,Lat,Long,Gowers_Dist,bias,std.error,conf.low,conf.high,TimePd
LV3,High,2353.550747,40.47917,-121.52311,0.22821185988093254,4.012826144182968e-4,0.016951481560202538,0.19458628392392244,0.2610348706091061,Recent
LV1,High,2593.416641,40.47471,-121.50486,0.2547819945574196,2.5411963974431018e-5,0.01981726906662123,0.2159154489509279,0.2935977162359625,Recent
LVTR1,High,2741.38982,40.47917,-121.5032,0.2594628238795462,1.0222042731822256e-5,0.02128894039872452,0.21772704538629456,0.30117815828733424,Recent
CP3,High,2266.382201,38.70649,-120.08797,0.31558629674229965,-1.1347160148006408e-4,0.0167315898375377,0.28290645485810945,0.34849308182945,Recent
YO7,High,2469.978665,37.80903,-119.56605,0.36838641762478863,-2.050302420952277e-4,0.018065782893088946,0.3331831640439097,0.40399973168985803,Recent
WL2,High,2020.115818,38.8263,-120.25242,0.385019341232534,-5.58931803596785e-4,0.01918684708860527,0.3479727437655873,0.4231838023066743,Recent
CP2,High,2244.132886,38.66169,-120.13065,0.38512319573066617,-5.054607752446039e-4,0.018357060615973277,0.3496494788365845,0.42160783417523706,Recent
YO4,High,2157.57391,37.76378,-119.77244,0.4161824700428783,-4.957582317806075e-4,0.017322444970160448,0.3827268600089674,0.4506295965403504,Recent
SQ3,High,2373.170732,36.72109,-118.84933,0.42660415121529865,-6.761337955432656e-4,0.016410015337505458,0.39511724596358133,0.4594433240581025,Recent
YO8,High,2590.97836,37.81117,-119.48624,0.42866536293545593,2.0092124916526455e-4,0.018879211427957635,0.3914618672309767,0.46546701614160463,Recent
YO11,High,2872.295032,37.93844,-119.23157,0.47924755259227364,-1.1587516716049517e-4,0.009086967639218296,0.46155329845788534,0.49717355706098293,Recent
SQ2,Mid,1934.45122,36.66557,-118.83543,0.48343819326158394,-7.169111072442558e-4,0.01630426530470775,0.45219933157721504,0.5161108771604414,Recent
WR,Mid,1158,39.34346,-120.80659,0.48910835848349293,-2.9847943220601136e-4,0.016858122164910762,0.4563655256254975,0.5224481502059004,Recent
WL1,Mid,1613.837245,38.78608,-120.2143,0.49419552000615297,-5.489967316338884e-4,0.01563819028867839,0.4640942269885932,0.5253948064869806,Recent
WV,Mid,748.8570558,40.74084,-123.00364,0.5246935500992269,5.827715551408597e-4,0.01326919962730184,0.4981036251709021,0.55011793191727,Recent
SQ1,Mid,1921.036585,36.56435,-118.7764,0.5666877106186754,-0.00113665391199258,0.015833674763346135,0.5367909322515888,0.5988577968097472,Recent
DPR,Mid,1018.591893,39.22846,-120.81518,0.5852760580284958,-5.282214161799192e-4,0.008918939883874733,0.5683234784920034,0.6032850803973481,Recent
IH,Low,454.1298385,39.09332,-120.92114,0.6438531477103615,-3.224712676827002e-4,0.010807696502936311,0.6229929230764496,0.6653583148796388,Recent
FR,Mid,787,40.01362,-121.18498,0.6754010029999407,-8.251871963688151e-4,0.00898123917580048,0.6586232848752004,0.6938290955174186,Recent
TM2,Low,379.1526973,39.59255,-121.55072,0.6913891332099913,-2.0784954826402746e-4,0.01620133041908383,0.6598429586352178,0.7233510068812928,Recent
CC,Low,313,39.58597,-121.43311,0.7318034294238766,-4.6532446700509045e-4,0.009356830007474295,0.7139297040667684,0.7506078037149949,Recent
SC,Low,421.5178299,38.41167,-120.73583000000001,0.7742664128105052,-7.316010672142603e-4,0.008136381469530881,0.7590509992329599,0.790945028522479,Recent
BH,Low,511.4294422,37.40985,-119.96458,0.8298693952609164,-9.88801843678666e-4,0.008091433013150245,0.8149992798155022,0.8467171143936879,Recent
LV3,High,2353.550747,40.47917,-121.52311,0.25938620264492857,-6.458578418999661e-4,0.021653540683349345,0.217591900609691,0.30247222036396604,Historical
LV1,High,2593.416641,40.47471,-121.50486,0.25992417629333237,-5.962283768348731e-4,0.023613555164095638,0.21423868700159,0.3068021223387445,Historical
LVTR1,High,2741.38982,40.47917,-121.5032,0.2634548997056952,-5.913739644594629e-4,0.025547233231331658,0.2139746166320998,0.31411793070820954,Historical
CP3,High,2266.382201,38.70649,-120.08797,0.30312552318513064,3.1741595232170905e-5,0.013764005122827978,0.27611682726613085,0.3300707359136661,Historical
WL2,High,2020.115818,38.8263,-120.25242,0.3528658647525597,1.1753237571310304e-4,0.014663528232674536,0.32400834515451826,0.38148831959917495,Historical
YO7,High,2469.978665,37.80903,-119.56605,0.3579057681983573,1.452970644251761e-4,0.01409932829110444,0.33012629547716077,0.38539464679070345,Historical
CP2,High,2244.132886,38.66169,-120.13065,0.3657745853367254,1.1754972643174266e-4,0.017916112182225035,0.3305421009901533,0.40077197023043404,Historical
YO4,High,2157.57391,37.76378,-119.77244,0.38179977049055647,2.636058047916223e-4,0.01302468901437823,0.35600824330774905,0.40706408606378064,Historical
SQ3,High,2373.170732,36.72109,-118.84933,0.3843688739693898,0.0010064119361170576,0.014954656500276213,0.35405187389156356,0.4126730501749819,Historical
SQ2,Mid,1934.45122,36.66557,-118.83543,0.41039233777870554,3.4266242892921905e-4,0.014811665556124044,0.38101934430872075,0.4390800063908319,Historical
WR,Mid,1158,39.34346,-120.80659,0.43020547794906766,9.109530784220388e-4,0.01507647208262145,0.399745182574784,0.45884386716650727,Historical
YO8,High,2590.97836,37.81117,-119.48624,0.4310410671635796,1.8075865857075657e-4,0.016026831097487208,0.3994482967676274,0.4622723202423903,Historical
WL1,Mid,1613.837245,38.78608,-120.2143,0.4538662892893955,3.071441760149618e-5,0.01381330966422728,0.42676198542260946,0.4809091643209785,Historical
SQ1,Mid,1921.036585,36.56435,-118.7764,0.4854304247145573,1.1369090809643101e-4,0.014740633114784803,0.45642562379216417,0.5142078438207576,Historical
WV,Mid,748.8570558,40.74084,-123.00364,0.48736480039424573,0.0011256287176849011,0.010575407635403131,0.4655117535893408,0.5069665897637808,Historical
YO11,High,2872.295032,37.93844,-119.23157,0.5059971405311935,7.26717323550341e-5,0.008798848159972384,0.48867904329985606,0.5231698942978209,Historical
DPR,Mid,1018.591893,39.22846,-120.81518,0.5469091444219423,-2.799356798175445e-4,0.009478166940988329,0.5286122142579646,0.5657659459455551,Historical
IH,Low,454.1298385,39.09332,-120.92114,0.6197956392186598,-2.045089837424685e-4,0.010622569351151735,0.5991802948508659,0.6408200015539386,Historical
FR,Mid,787,40.01362,-121.18498,0.6465279505688566,-3.024433243060676e-4,0.008902916882594003,0.6293809974459248,0.6642797903404005,Historical
TM2,Low,379.1526973,39.59255,-121.55072,0.6480618609401194,-6.638318675167287e-5,0.014581639930686284,0.6195487550271949,0.6767077332265473,Historical
CC,Low,313,39.58597,-121.43311,0.7017722880574747,-3.8347751385259254e-4,0.0075630319380230035,0.6873324953588761,0.7169790357837785,Historical
SC,Low,421.5178299,38.41167,-120.73583000000001,0.7622744048645197,-4.173717968224411e-4,0.007304179771000913,0.7483758473735743,0.77700770594911,Historical
BH,Low,511.4294422,37.40985,-119.96458,0.7887627518275595,-4.151022970648732e-4,0.006322897741059246,0.7767852022742185,0.8015705059750302,Historical
