parent.pop,elevation.group,elev_m,Recent_Gowers_Dist,Historic_Gowers_Dist
BH,Low,511.4294422,0.7141615872159702,0.6473010342966005
CC,Low,313,0.6056543656685672,0.5694875331935266
CP2,High,2244.132886,0.3865863099171069,0.4367699034245113
CP3,High,2266.382201,0.36409225748102503,0.4232769175718225
DPR,Mid,1018.591893,0.46754256056110965,0.4574497547442878
FR,Mid,787,0.5593677338467359,0.5537173051587239
IH,Low,454.1298385,0.5512696044386646,0.5297011909121362
LV1,High,2593.416641,0.37782054876672383,0.4628628973751417
LV3,High,2353.550747,0.37313191896077375,0.4658954937107782
LVTR1,High,2741.38982,0.38500689280616984,0.46534930471350056
SC,Low,421.5178299,0.6405277716592315,0.6335281479577305
SQ1,Mid,1921.036585,0.45484279394578625,0.4493608142602979
SQ2,Mid,1934.45122,0.42334597099779914,0.42098996360025726
SQ3,High,2373.170732,0.3980989811471948,0.41498143958133243
TM2,Low,379.1526973,0.5715198745682243,0.5402588401134406
WL1,Mid,1613.837245,0.43874550888363106,0.454999055551093
WL2,High,2020.115818,0.3959884299493191,0.42516568068113325
WR,Mid,1158,0.4181980378714992,0.40746707427357715
WV,Mid,748.8570558,0.4807670636961826,0.4929386680708586
YO11,High,2872.295032,0.460541626299666,0.5557644331389789
YO4,High,2157.57391,0.411013747677589,0.41274481025756343
YO7,High,2469.978665,0.39223020638191,0.4235359067181392
YO8,High,2590.97836,0.41075566453605455,0.45475684974743424
