parent.pop,elevation.group,elev_m,Recent_Gowers_Dist,Historic_Gowers_Dist
BH,Low,511.4294422,0.5959712570682151,0.5795741294295679
CC,Low,313,0.5201630437219603,0.5138599473179924
CP2,High,2244.132886,0.38313638322365345,0.44616578861988976
CP3,High,2266.382201,0.3885322503985732,0.45485221520028046
DPR,Mid,1018.591893,0.38662964453822735,0.40027121207920724
FR,Mid,787,0.4598462752624226,0.49616464764509205
IH,Low,454.1298385,0.4810403745817038,0.49353738790381735
LV1,High,2593.416641,0.44429048865512294,0.5383575467406143
LV3,High,2353.550747,0.4525952642448321,0.5458935805131605
LVTR1,High,2741.38982,0.45391970331217046,0.5394146192715369
SC,Low,421.5178299,0.5715819488012849,0.5835697605131406
SQ1,Mid,1921.036585,0.36801659169486367,0.42159734096847246
SQ2,Mid,1934.45122,0.3513724312764345,0.4140580491391668
SQ3,High,2373.170732,0.34242739559285096,0.4324313077769497
TM2,Low,379.1526973,0.48385133554350856,0.4905910887214063
WL1,Mid,1613.837245,0.41232970099134436,0.4389751467726651
WL2,High,2020.115818,0.39848743909064743,0.42868077547190486
WR,Mid,1158,0.35510220429761763,0.37394383174507667
WV,Mid,748.8570558,0.46155599267943787,0.473838304393409
YO11,High,2872.295032,0.4598485583685231,0.5652997516505935
YO4,High,2157.57391,0.38435346158573813,0.41290176778713444
YO7,High,2469.978665,0.395618107182818,0.44309843111893454
YO8,High,2590.97836,0.3965807234641041,0.4582584762289714
