parent.pop,elevation.group,elev_m,Lat,Long,Gowers_Dist,bias,std.error,conf.low,conf.high,TimePd
WR,Mid,1158,39.34346,-120.80659,0.38274287756550224,0.0017690061202385032,0.025564866726130887,0.3308676533924808,0.43108008949804666,Recent
SQ3,High,2373.170732,36.72109,-118.84933,0.383846396113143,0.003859225082290141,0.025406375380186228,0.33019159030798273,0.42978275175372294,Recent
CP2,High,2244.132886,38.66169,-120.13065,0.38731786701032717,8.688893427002964e-4,0.02290524550704608,0.3415555214167687,0.43134243391848504,Recent
CP3,High,2266.382201,38.70649,-120.08797,0.3883452378503876,1.0873483205275924e-5,0.023599919643981244,0.34207937182693976,0.4345893569074249,Recent
SQ2,Mid,1934.45122,36.66557,-118.83543,0.39329985986590676,0.00492560085970789,0.02461977852655401,0.34012037978680043,0.4366281382255973,Recent
SQ1,Mid,1921.036585,36.56435,-118.7764,0.39892033560934176,0.00364416803427825,0.02335780184094352,0.34949571720879086,0.44105661794133616,Recent
WL2,High,2020.115818,38.8263,-120.25242,0.4014729743077117,3.310139802553125e-4,0.02185808525104879,0.35830090046439467,0.44398302019051816,Recent
YO8,High,2590.97836,37.81117,-119.48624,0.4018008153363539,0.015144993823526354,0.01952156471579877,0.3483942577479941,0.42491738527766104,Recent
YO7,High,2469.978665,37.80903,-119.56605,0.4041521007604706,0.00969636773766791,0.021453366071691043,0.3524079081751347,0.4365035578704707,Recent
YO4,High,2157.57391,37.76378,-119.77244,0.4084293864949444,0.00518275794154871,0.023300286520326105,0.3575789061440925,0.44891435096269894,Recent
DPR,Mid,1018.591893,39.22846,-120.81518,0.4086758118274165,0.0019048066368387295,0.023732419903297775,0.3602563169141326,0.45328569346702297,Recent
WL1,Mid,1613.837245,38.78608,-120.2143,0.41102050332237017,0.00400163117590685,0.01989152785377311,0.3680321939555927,0.4460055503373339,Recent
LV1,High,2593.416641,40.47471,-121.50486,0.43933982587137577,7.038191150432471e-5,0.017838642397508212,0.4043063473276661,0.47423254059207676,Recent
LV3,High,2353.550747,40.47917,-121.52311,0.4455919485006944,3.0759821333398163e-4,0.017547951281619185,0.4108909977729233,0.4796777028017975,Recent
LVTR1,High,2741.38982,40.47917,-121.5032,0.44777892726948165,0.0010586686983820592,0.019037472517116683,0.40940749808087984,0.48403301906131935,Recent
YO11,High,2872.295032,37.93844,-119.23157,0.45118866315336226,0.008837203840939778,0.023462265360261535,0.3963662642105882,0.4883366544142568,Recent
WV,Mid,748.8570558,40.74084,-123.00364,0.4588038204946604,0.0077841851074479385,0.015477768511151357,0.42068376654430767,0.48135550423011725,Recent
