parent.pop,elevation.group,elev_m,cwd_dist,ppt_dist,pck_dist,tmn_dist,tmx_dist,ann_tmean_dist,mean_diurnal_range_dist,temp_seasonality_dist,temp_ann_range_dist,tmean_wettest_quarter_dist,tmean_driest_quarter_dist,ann_ppt_dist,ppt_seasonality_dist,ppt_warmest_quarter_dist,ppt_coldest_quarter_dist
BH,Low,511.4294422,5.401694444444445,11.938638888888889,-0.01950000000000004,0.7550277777777774,-0.4494166666666679,0.15280555555555608,-1.2044444444444444,-680.9263678492094,-2.384666666666668,-0.17849999999999966,5.568666666666665,143.2636666666666,24.52815251702704,-64.54666666666667,-25.648333333333312
CC,Low,313,20.26183333333333,-21.634166666666665,-0.07925000000000022,-0.41363888888888845,-0.44636111111111276,-0.4300000000000015,-0.03272222222222254,-665.2901617887308,-0.8793333333333351,-0.5133333333333319,5.547999999999998,-259.61,26.521956435786237,-97.375,-239.10399999999998
CP2,High,2244.132886,19.50919444444444,-50.11174888888889,-265.3319819444445,8.789361111111111,9.960527777777777,9.374944444444445,1.171166666666668,-654.5640586917765,0.4126666666666665,8.535777777777778,15.070722222222221,-601.3409866666668,39.36996519765927,-159.33800000000002,-360.47432000000003
CP3,High,2266.382201,36.11575,-46.18561083333335,-282.4348438888889,9.336388888888889,10.713305555555555,10.024847222222222,1.3769166666666663,-655.5803037739569,0.5486666666666657,9.1835,15.712999999999997,-554.2273300000002,40.41267191120052,-155.60766666666666,-333.7199966666667
DPR,Mid,1018.591893,53.461055555555546,-60.351970277777774,-20.47311083333332,2.2598611111111104,2.799888888888887,2.5298750000000005,0.5400277777777749,-665.3600950572744,-0.05766666666666964,2.3786666666666667,8.160388888888885,-724.2236433333335,27.571711882763466,-148.15666666666667,-465.56399
FR,Mid,787,5.933888888888887,-23.95799972222222,-19.213555555555555,3.9416111111111105,2.3810000000000002,3.161305555555554,-1.5606111111111112,-690.4040042931206,-3.062666666666672,3.274277777777778,8.597166666666661,-287.4959966666669,29.18884376063332,-97.196,-256.34766333333334
IH,Low,454.1298385,29.687999999999995,-27.824110555555556,-1.4716388888888878,0.8026388888888887,0.6580555555555563,0.7303472222222229,-0.14458333333333329,-656.5570665539282,-0.7263333333333364,0.7407222222222227,6.706999999999997,-333.88932666666665,26.97173481434716,-108.12266666666669,-269.8479933333333
LV1,High,2593.416641,33.302972222222216,-89.33555194444443,-510.9159027777778,11.968555555555556,12.184638888888887,12.076597222222222,0.21608333333333185,-639.8579732371131,-0.9663333333333313,10.509388888888889,18.0235,-1072.0266233333334,41.378777117812675,-228.75300000000001,-494.66164333333336
LV3,High,2353.550747,41.90533333333333,-86.43088583333332,-503.5925966666666,11.97425,12.17161111111111,12.072930555555555,0.19736111111111043,-637.4099583541114,-0.9493333333333354,10.487777777777778,18.035111111111107,-1037.17063,41.668480358267914,-224.95033,-475.00031333333334
LVTR1,High,2741.38982,30.65888888888889,-94.68799638888885,-529.7280158333334,12.114027777777778,12.329833333333331,12.221930555555556,0.21580555555555492,-637.3550411068152,-1.0243333333333382,10.627277777777778,18.22433333333333,-1136.2559566666664,41.47750523216369,-228.39799666666667,-515.6606466666667
