parent.pop,elevation.group,elev_m,ppt_dist,cwd_dist,pck_dist,tmn_dist,tmx_dist,ann_tmean_dist,mean_diurnal_range_dist,temp_seasonality_dist,temp_ann_range_dist,tmean_wettest_quarter_dist,tmean_driest_quarter_dist,ann_ppt_dist,ppt_seasonality_dist,ppt_warmest_quarter_dist,ppt_coldest_quarter_dist
BH,Low,511.4294422,-11.75877777777778,-4.055555555555557,0,0.42144444444444495,1.0789444444444456,0.7501944444444426,0.6575000000000006,692.3615308382762,2.094000000000001,0.24811111111111117,-5.653777777777776,-141.1053333333333,-15.22467174403252,47.49366666666667,71.92700000000002
CC,Low,313,24.152944166666664,-20.00919444444444,0,1.5274999999999999,0.7961388888888905,1.1618194444444434,-0.7313611111111111,660.5461474778095,-0.07466666666666555,1.0310000000000006,-5.004444444444442,289.83533,-17.387952790843073,78.27300000000001,298.9266633333333
CP2,High,2244.132886,46.99785888888889,-16.999499999999998,217.90607111111103,-7.321944444444444,-9.077777777777776,-8.199861111111112,-1.7558333333333334,681.2415231464576,-0.48799999999999955,-7.736055555555556,-14.218222222222222,563.974306666667,-30.199228275795875,128.47466666666668,397.1423133333333
CP3,High,2266.382201,42.432859722222226,-33.691694444444444,236.11754111111117,-7.974333333333333,-9.84394444444444,-8.90913888888889,-1.8696111111111104,684.7660309486769,-0.4623333333333335,-8.459555555555555,-14.911722222222222,509.19431666666696,-31.534821744435035,122.60566666666668,365.42299
DPR,Mid,1018.591893,61.034053611111126,-52.38583333333333,7.632055555555557,-0.6197777777777773,-2.2432500000000033,-1.4315138888888885,-1.6234722222222189,685.3960793607026,-0.4906666666666659,-1.7281666666666666,-7.253999999999998,732.4086433333334,-20.757343376938948,127.40733333333334,521.4293133333333
FR,Mid,787,24.60861055555555,-4.382472222222219,14.13277777777778,-2.795333333333333,-2.3671388888888885,-2.58123611111111,0.4281944444444452,705.2453686939413,2.3943333333333356,-3.0860555555555553,-8.71294444444444,295.30332666666686,-18.46444881034779,94.03433333333332,295.30332999999996
IH,Low,454.1298385,29.07786083333334,-30.60722222222222,0.16738888888888903,0.16999999999999993,-0.2757222222222211,-0.05286111111111147,-0.445722222222221,659.7882696516717,0.3270000000000053,0.08977777777777796,-6.162833333333335,348.93433000000005,-19.435455104153917,92.22166666666666,317.3876633333333
LV1,High,2593.416641,86.07199638888889,-30.09130555555555,441.4167711111111,-9.868972222222222,-11.256722222222221,-10.562847222222222,-1.3877499999999987,662.3081694732628,-0.33399999999999963,-10.187888888888889,-16.67533333333333,1032.8639566666668,-34.434037247980754,174.9406666666667,574.1493033333334
LV3,High,2353.550747,83.40635944444443,-39.028388888888884,435.98024472222215,-9.873638888888888,-11.240166666666665,-10.556902777777779,-1.3665277777777796,660.5508768925821,-0.3523333333333305,-10.104388888888888,-16.687666666666665,1000.8763133333334,-34.912677144744066,172.606,553.43732
LVTR1,High,2741.38982,90.94605166666665,-27.78252777777778,454.2671572222221,-10.0755,-11.352472222222222,-10.713986111111112,-1.2769722222222235,658.907784484973,-0.15933333333333266,-10.255277777777778,-16.881555555555554,1091.3526200000001,-34.55526889023325,187.068,597.4653
