parent.pop,elevation.group,elev_m,ppt_dist,cwd_dist,pck_dist,tmn_dist,tmx_dist,ann_tmean_dist,mean_diurnal_range_dist,temp_seasonality_dist,temp_ann_range_dist,tmean_wettest_quarter_dist,tmean_driest_quarter_dist,ann_ppt_dist,ppt_seasonality_dist,ppt_warmest_quarter_dist,ppt_coldest_quarter_dist
BH,Low,511.4294422,-158.79280555555556,32.92997222222222,-742.8488333333333,5.969972222222222,10.85025,8.41011111111111,4.880277777777744,-71.5621433433596,2.2946666666666644,10.038499999999999,1.9880000000000315,-1905.5136666666667,-0.19303208238628144,-24.27333333333334,-1129.7516666666668
CC,Low,313,-125.22,18.069833333333335,-742.7890833333333,7.138638888888888,10.847194444444446,8.99291666666667,3.708555555555522,-87.19834940383828,0.7893333333333317,10.373333333333331,2.0086666666666986,-1502.6399999999999,-2.1868360011454797,8.554999999999993,-916.296
CP2,High,2244.132886,-96.74241777777777,18.822472222222224,-477.5363513888888,-2.0643611111111118,0.44030555555555573,-0.8120277777777778,2.5046666666666315,-97.92445250079254,-0.5026666666666699,1.3242222222222222,-7.514055555555524,-1160.9090133333332,-15.034844763018512,70.51800000000001,-794.92568000000006
CP3,High,2266.382201,-100.66855583333331,2.215916666666665,-460.43348944444443,-2.611388888888889,-0.3124722222222225,-1.461930555555555,2.298916666666633,-96.90820741861216,-0.6386666666666692,0.6765,-8.1563333333333,-1208.0226699999998,-16.077551476559762,66.78766666666665,-821.6800033333334
DPR,Mid,1018.591893,-86.50219638888889,-15.129388888888887,-722.3952225,4.465138888888889,7.600944444444446,6.033041666666667,3.1358055555555246,-87.12841613529463,-0.03233333333333377,7.481333333333333,-0.6037222222221885,-1038.0263566666665,-3.2365914481227094,59.33666666666666,-689.8360100000001
FR,Mid,787,-122.89616694444445,32.397777777777776,-723.6547777777778,2.783388888888889,8.019833333333333,5.401611111111113,5.236444444444411,-62.084506899448456,2.972666666666669,6.585722222222222,-1.0404999999999642,-1474.754003333333,-4.853723325992561,8.37599999999999,-899.0523366666667
IH,Low,454.1298385,-119.03005611111111,8.643666666666668,-741.3966944444445,5.922361111111111,9.742777777777777,7.832569444444444,3.820416666666633,-95.93144463864087,0.636333333333333,9.119277777777777,0.8496666666666997,-1428.3606733333334,-2.6366143797064012,19.30266666666668,-885.5520066666668
LV1,High,2593.416641,-57.518614722222225,5.028694444444447,-231.95243055555557,-5.243555555555556,-1.7838055555555545,-3.5136805555555553,3.4597499999999677,-112.6305379554559,0.8763333333333279,-0.6493888888888889,-10.466833333333302,-690.2233766666666,-17.043656683171918,139.933,-660.7383566666667
LV3,High,2353.550747,-60.42328083333334,-3.573666666666668,-239.27573666666672,-5.24925,-1.7707777777777771,-3.5100138888888885,3.478472222222189,-115.07855283845765,0.859333333333332,-0.6277777777777777,-10.478444444444412,-725.0793699999999,-17.333359923627157,136.13033000000001,-680.3996866666668
LVTR1,High,2741.38982,-52.16617027777781,7.672777777777775,-213.14031749999992,-5.389027777777778,-1.9289999999999985,-3.6590138888888886,3.4600277777777446,-115.13347008575386,0.9343333333333348,-0.7672777777777781,-10.667666666666634,-625.9940433333336,-17.142384797522936,139.57799666666665,-639.7393533333334
SC,Low,421.5178299,-145.34858333333332,31.138222222222225,-742.8185555555556,6.029027777777777,10.654277777777777,8.341652777777782,4.6252499999999674,-102.994534519328,1.363666666666667,9.806166666666666,1.2587777777778122,-1744.183,-4.699744406048239,-6.138333333333335,-1050.835
SQ1,Mid,1921.036585,-123.16091805555556,27.033055555555563,-660.0369752777779,0.352527777777778,2.312000000000001,1.3322638888888898,1.959472222222189,-106.94249422498297,-1.4480000000000004,3.6233888888888894,-5.482444444444411,-1477.931016666667,-3.3277293226782803,28.372,-911.6023466666668
SQ2,Mid,1934.45122,-120.90838944444444,10.386944444444445,-655.9944475000001,0.26125,2.2791388888888893,1.2701944444444448,2.017888888888857,-108.32565301254306,-1.3313333333333333,3.5983333333333336,-5.488055555555523,-1450.9006733333333,-2.9995795723933583,28.876666666666637,-898.9423400000001
SQ3,High,2373.170732,-113.16436166666668,14.410777777777781,-573.074148611111,-1.7965000000000002,0.07547222222222416,-0.8605138888888888,1.8719722222221886,-120.9805742078945,-1.5593333333333348,1.5965555555555553,-7.6558333333333,-1357.97234,-3.4632855031787386,30.469666666666683,-853.5326733333334
TM2,Low,379.1526973,-115.39325027777775,11.098805555555558,-742.4127222222222,6.778194444444445,10.389138888888889,8.583666666666666,3.610944444444412,-87.27145026934681,0.5963333333333338,10.167277777777775,1.7044444444444764,-1384.7190033333334,-2.1816968425554393,20.676999999999992,-857.5300033333334
WL1,Mid,1613.837245,-105.06050111111112,14.148472222222225,-664.517835,1.2160277777777777,4.360555555555555,2.7882916666666686,3.1445277777777445,-95.71314019129954,0.1426666666666634,4.416166666666666,-3.961722222222189,-1260.7260133333336,-10.870632815384056,42.81366666666666,-824.78067666666675
