parent.pop,elevation.group,elev_m,ppt_dist,cwd_dist,pck_dist,tmn_dist,tmx_dist,ann_tmean_dist,mean_diurnal_range_dist,temp_seasonality_dist,temp_ann_range_dist,tmean_wettest_quarter_dist,tmean_driest_quarter_dist,ann_ppt_dist,ppt_seasonality_dist,ppt_warmest_quarter_dist,ppt_coldest_quarter_dist
BH,Low,511.4294422,50.58369444444445,-19.194416666666676,137.22083333333333,-5.2298333333333344,-9.448722222222223,-7.339277777777774,-4.218888888888857,58.169687181499285,-2.703333333333333,-9.312999999999999,-0.47338888888888775,607.0043333333333,-20.599676920395638,-35.53833333333333,454.83399999999995
CC,Low,313,14.3371113888889,-3.3725555555555573,137.22083333333333,-6.332972222222224,-9.165166666666668,-7.749069444444441,-2.8321944444444114,89.91667786124219,-0.5203333333333333,-10.093,-1.1199444444444424,172.0453366666668,-17.85899175054098,-67.42800000000001,224.5440033333333
CP2,High,2244.132886,-8.919053333333338,-6.482861111111113,-84.20123722222218,2.5564166666666663,0.742916666666666,1.6496666666666702,-1.8134999999999692,69.72049645108336,-0.062333333333334906,-1.3013888888888894,8.080166666666669,-107.02864,-5.065208972003731,-113.21233333333332,127.36468666666656
CP3,High,2266.382201,-4.336693055555557,10.212499999999999,-102.88417944444438,3.2169722222222217,1.5034722222222214,2.3602222222222258,-1.7134999999999678,66.38564166296374,-0.08833333333333826,-0.5788888888888891,8.776055555555557,-52.04031666666674,-3.6957341408712807,-109.98700000000001,158.8833433333333
DPR,Mid,1018.591893,-22.78308138888889,29.017999999999997,129.6377222222222,-4.16725,-6.126249999999999,-5.146749999999997,-1.9589999999999677,64.22050903209129,-0.1426666666666634,-7.318944444444445,1.1170000000000009,-273.3969766666669,-14.31294304959529,-118.35033333333332,2.4340199999999186
FR,Mid,787,13.558167222222224,-19.056277777777787,123.03325000000001,-1.9788888888888891,-5.953305555555556,-3.966097222222219,-3.9744166666666345,45.20471462115893,-2.9626666666666637,-5.927944444444445,2.6288333333333327,162.69800666666652,-16.41610328181494,-80.805,228.73066999999992
IH,Low,454.1298385,9.374166944444426,7.152527777777777,137.05344444444444,-4.958333333333333,-8.080916666666667,-6.519624999999996,-3.122583333333301,90.16437731576968,-0.9446666666666701,-9.13038888888889,0.03077777777777868,112.4900033333331,-15.793343157433469,-81.75533333333334,206.8513366666666
LV1,High,2593.416641,-48.529079722222235,6.59386111111111,-310.6193538888889,5.108499999999999,2.882888888888889,3.9956944444444478,-2.2256111111110783,89.138825566445007,-0.30799999999999983,1.1366666666666663,10.51227777777778,-582.3489566666667,-0.7898317476979599,-169.53266666666667,-55.67863666666676
LV3,High,2353.550747,-45.91544277777777,15.548166666666667,-305.5223272222222,5.113277777777777,2.8658055555555553,3.9895416666666703,-2.2474722222221892,90.88721736648301,-0.28999999999999915,1.052111111111111,10.52488888888889,-550.9853133333334,-0.33124390388556435,-167.487,-35.446653333333416
LVTR1,High,2741.38982,-53.434718333333336,4.298083333333331,-323.5087675000002,5.318777777777777,2.9765555555555565,4.14766666666667,-2.3422222222221887,92.41734491619445,-0.48966666666666825,1.205166666666666,10.720555555555556,-641.2166199999999,-0.692569734992162,-182.22,-79.22630000000004
SC,Low,421.5178299,33.18066666666667,-14.995861111111118,137.19980555555554,-5.0608611111111115,-8.579777777777775,-6.82031944444444,-3.518916666666632,108.97934543651559,-0.8569999999999993,-9.463555555555557,-0.38094444444444164,398.168,-15.345093475943244,-57.27966666666667,361.8853333333333
SQ1,Mid,1921.036585,20.98941722222223,-17.294722222222227,80.9211672222222,-0.007138888888889472,-1.6532499999999999,-0.8301944444444409,-1.6461111111110789,59.65211571880866,-0.17900000000000205,-3.3375555555555563,5.958666666666668,251.8730066666668,-15.584144186451283,-92.7,280.5443366666666
SQ2,Mid,1934.45122,19.260333888888894,0.3148611111111066,73.24733499999996,0.32969444444444473,-1.557138888888888,-0.6137222222222167,-1.8868333333332998,59.84246711998753,-0.4283333333333381,-3.1558333333333337,6.143500000000001,231.1240066666668,-16.55370571486924,-83.04133333333334,267.7563399999999
