parent.pop,elevation.group,elev_m,Lat,Long,ann_tmean,mean_diurnal_range,temp_seasonality,temp_ann_range,tmean_wettest_quarter,tmean_driest_quarter,ann_ppt,ppt_seasonality,ppt_warmest_quarter,ppt_coldest_quarter,TimePd
BH,Low,511.4294422,37.40985,-119.96458,16.249624999999998,14.63936111111111,697.8495548163332,33.882999999999996,9.750222222222222,19.322944444444445,582.0483333333333,130.2010624824504,47.653666666666666,329.33433333333335,Recent
CC,Low,313,39.58597,-121.43311,16.66036111111111,13.247388888888889,666.072482111191,31.741,10.300055555555556,19.89361111111111,1012.0786633333333,124.06761216450185,78.433,556.7109966666667,Recent
CP2,High,2244.132886,38.66169,-120.13065,7.296055555555555,12.228,687.9959085863437,31.542,1.2269444444444444,10.835277777777778,1289.50764,114.70092899830212,128.45233333333334,655.83998,Recent
CP3,High,2266.382201,38.70649,-120.08797,6.586041666666667,12.114805555555556,691.5850239857247,31.558,0.49733333333333346,10.15638888888889,1234.8903166666666,113.32570703425182,122.246,624.2916566666667,Recent
DPR,Mid,1018.591893,39.22846,-120.81518,14.064930555555556,12.355583333333334,691.6456918867641,31.428666666666665,7.884722222222222,17.35088888888889,1453.9696433333334,122.85215495690481,127.56733333333334,777.5646466666667,Recent
FR,Mid,787,40.01362,-121.18498,12.909416666666667,14.408833333333334,711.7513837150889,34.27033333333333,6.365722222222223,16.267777777777777,1019.2689933333334,122.2924647872875,94.19433333333333,552.9676633333333,Recent
IH,Low,454.1298385,39.09332,-120.92114,15.442319444444445,13.532861111111112,665.7966004660062,32.101333333333336,9.199388888888889,18.575,1070.9189966666668,123.25327297037119,92.38166666666666,574.5279966666667,Recent
LV1,High,2593.416641,40.47471,-121.50486,4.934625,12.594472222222223,668.56190419787,31.633,-1.1660000000000001,8.245,1756.4429566666668,108.5103080632144,175.10066666666668,831.67897,Recent
LV3,High,2353.550747,40.47917,-121.52311,4.940666666666667,12.615722222222223,666.7713674626199,31.611333333333334,-1.1415,8.230166666666667,1724.7406466666666,108.07186772303844,172.766,811.2419866666667,Recent
LVTR1,High,2741.38982,40.47917,-121.5032,4.782875,12.70636111111111,665.1401778738566,31.731,-1.3051111111111111,8.039388888888888,1814.7072866666667,108.40526859696098,187.228,854.7526333333333,Recent
SC,Low,421.5178299,38.41167,-120.73583000000001,15.74351388888889,13.917805555555555,647.2653298474245,32.004666666666665,9.8185,18.67,789.2103333333333,123.53038242795189,68.45133333333334,422.4583333333333,Recent
SQ1,Mid,1921.036585,36.56435,-118.7764,9.748847222222222,12.028805555555556,696.4721384077285,31.504333333333335,3.759,12.961944444444445,938.8979933333333,123.8420970963263,100.253,504.82766333333336,Recent
SQ2,Mid,1934.45122,36.66557,-118.83543,9.544569444444445,12.263694444444445,696.6885446826789,31.825666666666667,3.4502777777777776,12.628222222222222,959.9549933333333,124.61238261913643,93.303,517.6079933333333,Recent
