parent.pop,elevation.group,elev_m,Lat,Long,ann_tmean,mean_diurnal_range,temp_seasonality,temp_ann_range,tmean_wettest_quarter,tmean_driest_quarter,ann_ppt,ppt_seasonality,ppt_warmest_quarter,ppt_coldest_quarter,TimePd
BH,Low,511.4294422,37.40985,-119.96458,16.23436111111111,14.6525,698.7009173992691,34.104,9.5531111111111109,18.84122222222222,582.9546666666666,128.94722525434423,47.653666666666666,329.927,Recent
CC,Low,313,39.58597,-121.43311,16.64598611111111,13.263638888888888,666.8855340388025,31.935333333333332,10.336,19.490555555555556,1013.89533,126.78394420753368,78.433,556.9266633333333,Recent
CP2,High,2244.132886,38.66169,-120.13065,7.284305555555555,12.239166666666666,687.5809097074505,31.522000000000002,1.5689444444444445,10.276777777777777,1288.0343066666667,113.97266872258088,128.63466666666667,655.1423133333333,Recent
CP3,High,2266.382201,38.70649,-120.08797,6.575027777777778,12.125388888888889,691.1054175096698,31.547666666666665,0.8454444444444443,9.583277777777777,1233.2543166666667,112.63707525394172,122.76566666666668,623.42299,Recent
DPR,Mid,1018.591893,39.22846,-120.81518,14.052652777777778,12.371527777777779,691.7354659216955,31.519333333333332,7.576833333333333,17.241,1456.4686433333334,123.41455362143779,127.56733333333334,779.4293133333333,Recent
FR,Mid,787,40.01362,-121.18498,12.902930555555555,14.423194444444444,711.5847552549342,34.404333333333334,6.218944444444444,15.782055555555555,1019.3633266666667,125.70744818802896,94.19433333333333,553.30333,Recent
IH,Low,454.1298385,39.09332,-120.92114,15.431305555555555,13.549277777777778,666.1276562126646,32.337,9.394777777777778,18.332166666666666,1072.99433,124.73644189422285,92.38166666666666,575.3876633333333,Recent
LV1,High,2593.416641,40.47471,-121.50486,4.921319444444444,12.60725,668.6475560342557,31.676,-0.882888888888889,7.8196666666666665,1756.9239566666668,109.73785975039601,175.10066666666668,832.1493033333334,Recent
LV3,High,2353.550747,40.47917,-121.52311,4.927263888888889,12.628472222222221,666.890263453575,31.657666666666668,-0.7993888888888887,7.807333333333333,1724.9363133333334,109.25921985363267,172.766,811.43732,Recent
LVTR1,High,2741.38982,40.47917,-121.5032,4.770180555555555,12.718027777777777,665.247171045966,31.850666666666665,-0.9502777777777779,7.613444444444444,1815.4126199999998,109.6166281081435,187.228,855.4653,Recent
SC,Low,421.5178299,38.41167,-120.73583000000001,15.731666666666667,13.925277777777778,647.8939699456041,32.24,9.714722222222221,18.745833333333334,790.276,124.07739408423595,68.45133333333334,422.7463333333333,Recent
SQ1,Mid,1921.036585,36.56435,-118.7764,9.736166666666666,12.03561111111111,696.3059400595782,31.597,3.6013888888888888,12.4065,941.5519933333334,123.99849238808694,104.762,506.08333,Recent
SQ2,Mid,1934.45122,36.66557,-118.83543,9.535,12.269722222222223,696.2808261495445,31.858666666666668,3.4333333333333336,12.232277777777778,962.4693266666667,124.93862924079087,97.79766666666667,518.73466,Recent
SQ3,High,2373.170732,36.72109,-118.84933,7.399638888888889,12.355,686.7551486132094,31.817666666666668,1.4492777777777779,10.108166666666667,1040.7153166666667,125.10603155522347,102.31,561.8376566666667,Recent
TM2,Low,379.1526973,39.59255,-121.55072,16.29388888888889,13.031333333333333,671.7975333988309,31.760333333333335,9.953222222222223,19.33972222222222,1131.8976633333334,126.92017517014533,89.70366666666666,623.2019966666667,Recent
WL1,Mid,1613.837245,38.78608,-120.2143,10.813069444444444,12.777583333333332,681.2039591638406,31.745,5.121111111111111,13.666611111111111,1278.7883066666666,116.83699341269437,120.20766666666667,654.65498,Recent
WL2,High,2020.115818,38.8263,-120.25242,8.556541666666666,11.943972222222222,685.5684072652393,31.081333333333333,2.8915555555555557,11.492333333333333,1284.9889766666665,114.23335688358401,123.72,650.3633166666667,Recent
WR,Mid,1158,39.34346,-120.80659,13.068069444444443,11.946305555555556,697.4172507831263,31.173,6.562833333333334,16.28661111111111,1613.7512966666666,123.15185416283602,142.53833333333333,862.6526299999999,Recent
WV,Mid,748.8570558,40.74084,-123.00364,12.233569444444445,14.225916666666667,720.1479280242398,34.32933333333333,5.793222222222222,15.338611111111112,1019.24833,118.1992392618391,86.69166666666666,545.5326633333333,Recent
YO11,High,2872.295032,37.93844,-119.23157,3.910222222222222,13.016722222222223,690.5179248983884,32.512,-1.4982222222222223,6.575277777777778,817.6269966666666,114.96509873574904,85.805,438.99933,Recent
YO4,High,2157.57391,37.76378,-119.77244,8.55148611111111,11.89075,668.3568690452566,30.619666666666667,2.492888888888889,11.263444444444444,1131.0013166666668,123.45055886227682,96.67733333333334,612.4636533333334,Recent
YO7,High,2469.978665,37.80903,-119.56605,6.0004583333333334,13.304805555555555,660.45975904832585,31.959,0.1203888888888889,8.534611111111111,1187.7176466666667,122.51815805139847,106.652,651.2619833333333,Recent
YO8,High,2590.97836,37.81117,-119.48624,5.521263888888889,13.382916666666667,663.9915403149995,32.096,-0.4033333333333334,8.067,1177.7536466666666,122.41115686958535,105.917,648.6769833333333,Recent
BH,Low,511.4294422,37.40985,-119.96458,15.33136111111111,15.199444444444444,687.2657544102024,34.394666666666666,9.4835,18.926333333333332,580.7963333333333,119.64374448134973,64.70666666666666,283.6483333333333,Historical
CC,Low,313,39.58597,-121.43311,15.914166666666667,14.027722222222222,671.6295483497237,32.88933333333333,9.818333333333333,18.947,983.67,117.64994056259052,97.535,497.104,Historical
CP2,High,2244.132886,38.66169,-120.13065,6.109222222222222,12.823833333333333,660.9034452527694,31.59733333333333,0.7692222222222221,9.424277777777776,1325.4009866666668,104.80193180071747,159.49800000000002,618.47432,Historical
CP3,High,2266.382201,38.70649,-120.08797,5.459319444444445,12.618083333333333,661.9196903349498,31.461333333333332,0.12149999999999997,8.782,1278.2873299999999,103.75922508717625,155.76766666666666,591.7199966666667,Historical
DPR,Mid,1018.591893,39.22846,-120.81518,12.954291666666666,13.454972222222223,671.6994816182673,32.06766666666667,6.926333333333333,16.334611111111112,1448.2836433333334,116.60018511561329,148.31666666666666,723.56399,Historical
FR,Mid,787,40.01362,-121.18498,12.322861111111111,15.55561111111111,696.7433908541135,35.07266666666667,6.030722222222222,15.897833333333335,1011.5559966666667,114.98305323774343,97.356,514.3476633333333,Historical
IH,Low,454.1298385,39.09332,-120.92114,14.753819444444444,14.139583333333333,662.8964531149211,32.736333333333334,8.564277777777777,17.788,1057.9493266666666,117.2001621840296,108.28266666666667,527.8479933333333,Historical
LV1,High,2593.416641,40.47471,-121.50486,3.4075694444444444,13.778916666666667,646.197359798106,32.97633333333333,-1.204388888888889,6.4715,1796.0866233333334,102.79311988056409,228.913,752.6616433333334,Historical
LV3,High,2353.550747,40.47917,-121.52311,3.411236111111111,13.797638888888889,643.7493449151043,32.95933333333333,-1.1827777777777777,6.459888888888889,1761.23063,102.50341664010885,225.11033,733.0003133333333,Historical
LVTR1,High,2741.38982,40.47917,-121.5032,3.262236111111111,13.779194444444444,643.6944276678081,33.034333333333336,-1.3222777777777779,6.270666666666667,1860.3159566666666,102.69439176621306,228.55799666666667,773.6606466666667,Historical
SC,Low,421.5178299,38.41167,-120.73583000000001,15.262902777777779,14.944416666666667,655.833363234234,33.46366666666667,9.251166666666666,18.197111111111113,742.127,115.13703215768776,82.84166666666667,362.565,Historical
SQ1,Mid,1921.036585,36.56435,-118.7764,8.25351388888889,12.278638888888889,651.885403528579,30.652,3.0683888888888893,11.45588888888889,1008.3789833333333,116.50904724105771,117.35199999999999,501.7976533333333,Historical
SQ2,Mid,1934.45122,36.66557,-118.83543,8.191444444444445,12.337055555555557,650.5022447410189,30.768666666666668,3.0433333333333334,11.450277777777778,1035.4093266666666,116.83719699134264,117.85666666666665,514.45766,Historical
SQ3,High,2373.170732,36.72109,-118.84933,6.060736111111111,12.191138888888888,637.8473235456675,30.540666666666667,1.0415555555555553,9.2825,1128.33766,116.37349106055726,119.44966666666667,559.8673266666667,Historical
TM2,Low,379.1526973,39.59255,-121.55072,15.504916666666666,13.930111111111112,671.5564474842151,32.696333333333335,9.612277777777777,18.642777777777777,1101.5909966666666,117.65507972118057,109.657,555.8699966666667,Historical
WL1,Mid,1613.837245,38.78608,-120.2143,9.709541666666667,13.463694444444444,663.1147575622624,32.242666666666665,3.8611666666666666,12.976611111111112,1225.5839866666665,108.96614374835194,131.79366666666667,588.6193233333333,Historical
