parent.pop,elevation.group,elev_m,Lat,Long,ann_tmean,mean_diurnal_range,temp_seasonality,temp_ann_range,tmean_wettest_quarter,tmean_driest_quarter,ann_ppt,ppt_seasonality,ppt_warmest_quarter,ppt_coldest_quarter,TimePd
BH,Low,511.4294422,37.40985,-119.96458,16.292194444444444,14.548055555555555,700.3251578400357,34.06333333333333,9.616333333333333,18.82338888888889,586.9856666666667,129.93673330792063,49.33833333333333,333.226,Recent
CC,Low,313,39.58597,-121.43311,16.70198611111111,13.16136111111111,668.5781671602928,31.880333333333333,10.396333333333333,19.469944444444444,1021.9446633333333,127.19604813806598,81.22800000000001,563.5159966666666,Recent
CP2,High,2244.132886,38.66169,-120.13065,7.30325,12.142666666666667,688.7743485704516,31.422333333333334,1.6047222222222224,10.269833333333333,1301.01864,114.40226535952871,127.01233333333333,660.6953133333334,Recent
CP3,High,2266.382201,38.70649,-120.08797,6.592694444444445,12.042666666666667,692.1092033585712,31.448333333333334,0.8822222222222221,9.573944444444445,1246.0303166666667,113.03279052839629,123.787,629.1766566666666,Recent
DPR,Mid,1018.591893,39.22846,-120.81518,14.099666666666668,12.288166666666667,694.2743359894437,31.502666666666666,7.622277777777778,17.233,1467.3869766666667,123.64999943712027,132.15033333333332,785.62598,Recent
FR,Mid,787,40.01362,-121.18498,12.91901388888889,14.303583333333334,713.290130400376,34.32266666666666,6.231277777777778,15.721166666666667,1031.2919933333335,125.75315966933994,94.605,559.32933,Recent
IH,Low,454.1298385,39.09332,-120.92114,15.472541666666666,13.45175,668.3304677057653,32.30466666666667,9.433722222222222,18.319222222222223,1081.4999966666667,125.13039954495846,95.55533333333334,581.2086633333333,Recent
LV1,High,2593.416641,40.47471,-121.50486,4.957222222222223,12.554777777777778,669.35601945509,31.668,-0.8333333333333333,7.837722222222222,1776.3389566666667,110.12688813522297,183.33266666666668,843.7386366666667,Recent
LV3,High,2353.550747,40.47917,-121.52311,4.963375,12.576638888888889,667.6076276550519,31.65,-0.748777777777778,7.825111111111111,1744.9753133333334,109.66830029141055,181.287,823.5066533333334,Recent
LVTR1,High,2741.38982,40.47917,-121.5032,4.80525,12.671388888888888,666.0775001053405,31.849666666666668,-0.9018333333333332,7.629444444444444,1835.20662,110.02962612251717,196.02,867.2863,Recent
SC,Low,421.5178299,38.41167,-120.73583000000001,15.77323611111111,13.848083333333333,649.5154995850194,32.217,9.76688888888889,18.730944444444443,795.822,124.68214986346823,71.07966666666667,426.17466666666667,Recent
SQ1,Mid,1921.036585,36.56435,-118.7764,9.783111111111111,11.975277777777778,698.8427293027263,31.539,3.640888888888889,12.391333333333334,942.1169933333333,124.92120057397628,106.5,507.51566333333335,Recent
SQ2,Mid,1934.45122,36.66557,-118.83543,9.566638888888889,12.216,698.6523779015474,31.788333333333334,3.459166666666667,12.2065,962.8659933333333,125.89076210239423,96.84133333333334,520.30366,Recent
