parent.pop,elevation.group,elev_m,Lat,Long,cwd,pck,ppt,tmn,tmx,TimePd
BH,Low,511.4294422,37.40985,-119.96458,75.87425,0,48.50402777777777,8.929944444444445,23.569305555555555,Recent
CC,Low,313,39.58597,-121.43311,59.91144444444444,0,84.33988861111112,10.036666666666667,23.284055555555558,Recent
CP2,High,2244.132886,38.66169,-120.13065,62.92180555555556,217.77348777777777,107.45897000000001,1.1820555555555554,13.410055555555555,Recent
CP3,High,2266.382201,38.70649,-120.08797,46.227222222222224,236.03668,102.9075263888889,0.528638888888889,12.643444444444444,Recent
DPR,Mid,1018.591893,39.22846,-120.81518,27.532166666666665,7.632055555555557,121.16413694444444,7.887138888888889,20.242722222222223,Recent
FR,Mid,787,40.01362,-121.18498,75.53244444444445,14.132777777777783,84.93908277777778,5.705,20.113833333333332,Recent
IH,Low,454.1298385,39.09332,-120.92114,49.31172222222222,0.16738888888888906,89.24324972222222,8.675888888888888,22.20875,Recent
LV1,High,2593.416641,40.47471,-121.50486,49.82952777777778,441.18999333333335,146.3702463888889,-1.3626111111111112,11.231861111111112,Recent
LV3,High,2353.550747,40.47917,-121.52311,40.89125,435.8047447222223,143.72838722222224,-1.3671944444444448,11.248527777777777,Recent
LVTR1,High,2741.38982,40.47917,-121.5032,52.13825,453.9937683333332,151.2256072222222,-1.5703055555555554,11.136055555555556,Recent
SC,Low,421.5178299,38.41167,-120.73583000000001,71.40811111111111,0.021027777777777826,65.76752777777777,8.784611111111111,22.702416666666668,Recent
SQ1,Mid,1921.036585,36.56435,-118.7764,73.61291666666666,55.9354161111111,78.24149944444444,3.7344444444444442,15.76325,Recent
SQ2,Mid,1934.45122,36.66557,-118.83543,56.034555555555556,63.419248333333336,79.99624944444444,3.4127222222222224,15.676416666666666,Recent
SQ3,High,2373.170732,36.72109,-118.84933,60.63997222222222,131.66566083333336,86.51055416666667,1.2325277777777781,13.584138888888889,Recent
TM2,Low,379.1526973,39.59255,-121.55072,55.76441666666666,0,94.17619416666666,9.801416666666666,22.814305555555556,Recent
WL1,Mid,1613.837245,38.78608,-120.2143,57.225972222222225,65.18147027777775,106.76035888888889,4.440166666666666,17.20841666666667,Recent
WL2,High,2020.115818,38.8263,-120.25242,53.74547222222222,155.30221361111106,107.33797027777777,2.5998055555555553,14.534916666666668,Recent
WR,Mid,1158,39.34346,-120.80659,45.288777777777774,31.130888888888894,134.26724694444445,7.113888888888889,19.045861111111112,Recent
WV,Mid,748.8570558,40.74084,-123.00364,44.922555555555554,26.431611111111106,85.23061083333333,5.136444444444444,19.353472222222223,Recent
YO11,High,2872.295032,37.93844,-119.23157,56.45355555555555,193.24115694444447,68.15311083333333,-2.5756388888888893,10.421083333333334,Recent
YO4,High,2157.57391,37.76378,-119.77244,55.936083333333336,132.7221883333333,94.31141527777778,2.6205555555555557,14.504305555555556,Recent
YO7,High,2469.978665,37.80903,-119.56605,53.191694444444444,234.0811536111111,99.0332761111111,-0.6371944444444448,12.657222222222222,Recent
YO8,High,2590.97836,37.81117,-119.48624,68.06736111111111,248.32178916666675,98.17747055555556,-1.1536944444444441,12.21711111111111,Recent
BH,Low,511.4294422,37.40985,-119.96458,74.53305555555555,0.019500000000000045,48.25355555555556,7.736361111111111,22.94752777777778,Historical
CC,Low,313,39.58597,-121.43311,59.66144444444444,0.0792500000000002,81.91216666666666,8.897833333333333,22.940527777777778,Historical
CP2,High,2244.132886,38.66169,-120.13065,60.41002777777778,264.79723194444455,109.93655444444444,-0.304611111111111,12.514805555555556,Historical
CP3,High,2266.382201,38.70649,-120.08797,43.79794444444445,281.7442605555556,105.99747194444444,-0.8523055555555558,11.761666666666667,Historical
DPR,Mid,1018.591893,39.22846,-120.81518,26.46938888888889,20.47311083333332,120.46797027777778,6.227388888888889,19.688166666666667,Historical
FR,Mid,787,40.01362,-121.18498,73.982,19.213555555555555,84.20091638888888,4.541027777777778,20.103916666666667,Historical
IH,Low,454.1298385,39.09332,-120.92114,50.24183333333333,1.4716388888888878,88.03288833333333,7.683277777777778,21.835083333333333,Historical
LV1,High,2593.416641,40.47471,-121.50486,46.603833333333334,510.28973611111115,149.48702416666666,-3.5002777777777774,10.294722222222223,Historical
LV3,High,2353.550747,40.47917,-121.52311,38.00172222222222,502.94968000000006,146.5793025,-3.505611111111111,10.307611111111111,Historical
LVTR1,High,2741.38982,40.47917,-121.5032,49.25127777777778,529.1296825000001,154.83038527777776,-3.6446666666666667,10.151,Historical
SC,Low,421.5178299,38.41167,-120.73583000000001,72.74080555555555,0.049777777777777685,61.740833333333335,7.793944444444445,22.75047222222222,Historical
SQ1,Mid,1921.036585,36.56435,-118.7764,68.63075,82.8539691666667,83.89180416666667,2.117277777777778,14.392944444444444,Historical
SQ2,Mid,1934.45122,36.66557,-118.83543,51.97727777777778,86.89271916666665,86.09508277777778,2.0269166666666667,14.358944444444445,Historical
SQ3,High,2373.170732,36.72109,-118.84933,56.00127777777778,169.7007125,93.769055,-0.031500000000000215,12.153027777777778,Historical
TM2,Low,379.1526973,39.59255,-121.55072,52.69830555555556,0.4556111111111114,91.7330275,8.53675,22.480888888888888,Historical
WL1,Mid,1613.837245,38.78608,-120.2143,55.73641666666666,78.39427611111108,101.75555444444444,2.9790833333333335,16.440944444444444,Historical
WL2,High,2020.115818,38.8263,-120.25242,50.566694444444444,178.37065527777784,104.45674916666667,1.120472222222222,13.751527777777778,Historical
WR,Mid,1158,39.34346,-120.80659,42.14494444444444,49.65624972222227,133.3708861111111,5.216805555555555,18.560305555555555,Historical
WV,Mid,748.8570558,40.74084,-123.00364,43.47944444444445,36.53744361111114,84.22925000000001,3.9643055555555557,18.86761111111111,Historical
YO11,High,2872.295032,37.93844,-119.23157,54.31488888888889,202.8735427777778,66.62005555555555,-4.693611111111111,9.685166666666667,Historical
YO4,High,2157.57391,37.76378,-119.77244,53.045972222222225,151.1775194444444,94.60405444444444,1.0697500000000002,13.622444444444444,Historical
YO7,High,2469.978665,37.80903,-119.56605,50.26255555555556,267.89531361111113,101.09399916666666,-1.9525,11.654666666666667,Historical
YO8,High,2590.97836,37.81117,-119.48624,64.70647222222222,282.6865369444446,100.24833277777778,-2.6490555555555555,11.270888888888889,Historical
