parent.pop,elevation.group,elev_m,Lat,Long,cwd,pck,ppt,tmn,tmx,TimePd
BH,Low,511.4294422,37.40985,-119.96458,75.85527777777777,0,48.57955555555555,8.908111111111111,23.56061111111111,Recent
CC,Low,313,39.58597,-121.43311,59.90163888888889,0,84.4912775,10.014166666666666,23.277805555555556,Recent
CP2,High,2244.132886,38.66169,-120.13065,62.91133333333333,217.90607111111106,107.33619222222222,1.1647222222222222,13.40388888888889,Recent
CP3,High,2266.382201,38.70649,-120.08797,46.219138888888885,236.11754111111117,102.77119305555556,0.5123333333333332,12.637722222222223,Recent
DPR,Mid,1018.591893,39.22846,-120.81518,27.525,7.632055555555557,121.37238694444446,7.866888888888889,20.238416666666666,Recent
FR,Mid,787,40.01362,-121.18498,75.52836111111111,14.13277777777778,84.94694388888888,5.691333333333334,20.114527777777777,Recent
IH,Low,454.1298385,39.09332,-120.92114,49.30361111111111,0.16738888888888903,89.41619416666667,8.656666666666666,22.205944444444444,Recent
LV1,High,2593.416641,40.47471,-121.50486,49.81952777777778,441.4167711111111,146.41032972222223,-1.3823055555555555,11.224944444444445,Recent
LV3,High,2353.550747,40.47917,-121.52311,40.882444444444445,435.98024472222215,143.74469277777777,-1.386972222222222,11.2415,Recent
LVTR1,High,2741.38982,40.47917,-121.5032,52.128305555555556,454.2671572222221,151.28438500000001,-1.588833333333333,11.129194444444444,Recent
SC,Low,421.5178299,38.41167,-120.73583000000001,71.40327777777777,0.021027777777777826,65.85633333333334,8.769027777777778,22.694305555555555,Recent
SQ1,Mid,1921.036585,36.56435,-118.7764,73.59947222222222,55.95802722222221,78.4626661111111,3.7183611111111117,15.753972222222222,Recent
SQ2,Mid,1934.45122,36.66557,-118.83543,56.02863888888889,63.438081666666655,80.20577722222222,3.400138888888889,15.66986111111111,Recent
SQ3,High,2373.170732,36.72109,-118.84933,60.63397222222222,131.76552194444446,86.72627638888889,1.2221388888888889,13.57713888888889,Recent
TM2,Low,379.1526973,39.59255,-121.55072,55.75794444444444,0,94.32480527777777,9.778222222222222,22.809555555555555,Recent
WL1,Mid,1613.837245,38.78608,-120.2143,57.21797222222222,65.22524805555551,106.56569222222222,4.424277777777778,17.20186111111111,Recent
WL2,High,2020.115818,38.8263,-120.25242,53.74311111111111,155.4384636111112,107.08241472222223,2.5845555555555557,14.528527777777779,Recent
WR,Mid,1158,39.34346,-120.80659,45.28158333333333,31.189833333333322,134.47927472222221,7.094916666666666,19.04122222222222,Recent
WV,Mid,748.8570558,40.74084,-123.00364,44.92327777777778,26.508472222222217,84.93736083333333,5.120611111111111,19.346527777777776,Recent
YO11,High,2872.295032,37.93844,-119.23157,56.44116666666667,193.24943472222222,68.13558305555556,-2.598138888888889,10.418583333333334,Recent
YO4,High,2157.57391,37.76378,-119.77244,55.92611111111111,132.8222161111111,94.25010972222222,2.6061111111111113,14.49686111111111,Recent
YO7,High,2469.978665,37.80903,-119.56605,53.18227777777778,234.23262583333337,98.97647055555555,-0.6519444444444442,12.652861111111111,Recent
YO8,High,2590.97836,37.81117,-119.48624,68.05477777777777,248.47078916666666,98.14613722222222,-1.1701944444444445,12.212722222222222,Recent
BH,Low,511.4294422,37.40985,-119.96458,74.50913888888888,0.019500000000000045,48.39969444444444,7.731638888888889,22.931083333333333,Historical
