parent.pop,elevation.group,elev_m,ann_tmean,mean_diurnal_range,temp_seasonality,temp_ann_range,tmean_wettest_month,tmean_driest_month,ann_ppt,ppt_seasonality,ppt_warmest_month,ppt_coldest_month,TimePd
BH,Low,511.4294422,12.905857142857142,13.437333333333333,5.529548965326315,29.398,8.342333333333334,20.485666666666667,497.126,102.45197870829664,6.337000000000001,197.58366666666666,Recent
CC,Low,313,14.778629629629629,12.433925925925926,6.389641634699331,31.362666666666666,8.8605,25.285083333333333,945.0736633333333,107.23714508144839,0.9560000000000002,325.1736633333333,Recent
CP2,High,2244.132886,10.232027777777779,12.57761111111111,7.436395062419265,30.080333333333332,1.6086666666666667,16.689833333333333,469.46699666666666,128.3193537360382,6.888333333333334,261.7286633333333,Recent
CP3,High,2266.382201,9.542861111111112,12.373055555555554,7.474861131343419,30.035,0.917,16.055333333333333,452.4666633333334,126.22024265939184,7.721,249.61566333333334,Recent
DPR,Mid,1018.591893,15.489583333333334,12.852366666666667,6.655915171365512,30.843,6.745833333333334,23.433969444444443,969.1726566666666,128.9424077434959,0.101,380.06932333333333,Recent
FR,Mid,787,15.140277777777778,15.537592592592592,6.758975218268725,33.43066666666667,6.3838333333333335,22.426666666666666,523.3203333333333,129.18168861264536,1.4276666666666666,232.489,Recent
IH,Low,454.1298385,14.650266666666667,13.153666666666666,6.9336634989541865,32.101333333333336,7.816833333333333,24.62863888888889,1002.5719966666667,115.70645604516221,0.072,339.19866333333334,Recent
LV1,High,2593.416641,9.382233333333334,14.056066666666666,6.079340983735241,27.568,2.4351666666666665,13.653666666666666,368.17599333333334,134.29838199946175,13.7735,239.50366,Recent
LV3,High,2353.550747,9.366933333333334,14.1116,6.061684205755159,27.576,2.4481666666666664,13.617166666666666,363.66333333333336,134.12646285293025,13.620666666666667,236.36533333333333,Recent
LVTR1,High,2741.38982,9.158266666666666,14.255733333333334,6.037194767880358,27.638,2.3104999999999998,13.376083333333334,383.75333,133.84819622445312,15.354333333333333,248.97633,Recent
SC,Low,421.5178299,12.59897619047619,12.55404761904762,5.138660973600816,27.677333333333333,8.670666666666667,19.867166666666666,660.14,98.05508265772548,8.155666666666665,247.98366666666666,Recent
SQ1,Mid,1921.036585,12.767354166666667,12.371458333333333,6.48208689793558,29.869333333333334,4.295333333333334,16.71125,361.25133,138.84338807860053,5.789666666666666,184.56333,Recent
SQ2,Mid,1934.45122,13.002095238095238,12.508666666666667,6.796394330155842,29.85033333333333,4.691833333333333,16.353083333333334,326.91633333333334,144.45991420251912,5.26,187.48566666666667,Recent
SQ3,High,2373.170732,10.896833333333333,12.407,6.61338119777337,29.437,2.7675,14.1035,355.6659966666667,143.15953192476684,6.452,202.81866333333335,Recent
TM2,Low,379.1526973,12.961208333333333,11.685333333333334,5.042829075528832,27.024666666666665,8.394833333333333,19.263833333333334,1055.94633,95.43313018171304,15.376,363.06799666666666,Recent
