parent.pop,elevation.group,elev_m,Lat,Long,cwd,pck,ppt,tmn,tmx,TimePd
BH,Low,511.4294422,37.40985,-119.96458,50.57823809523809,0,71.018,6.187190476190476,19.624523809523808,Recent
CC,Low,313,39.58597,-121.43311,48.37062962962963,0,105.00818481481483,8.561666666666667,20.995592592592594,Recent
CP2,High,2244.132886,38.66169,-120.13065,75.13522222222223,41.753777222222226,78.24449944444444,3.943222222222222,16.520833333333332,Recent
CP3,High,2266.382201,38.70649,-120.08797,57.78172222222222,44.301998888888896,75.41111055555555,3.356333333333333,15.729388888888888,Recent
DPR,Mid,1018.591893,39.22846,-120.81518,30.358033333333335,2.7192999999999974,96.91726566666667,9.0634,21.915766666666666,Recent
FR,Mid,787,40.01362,-121.18498,89.669,4.007111111111111,58.1467037037037,7.3714814814814815,22.909074074074073,Recent
IH,Low,454.1298385,39.09332,-120.92114,40.458733333333335,0.20086666666666603,100.25719966666666,8.073433333333334,21.2271,Recent
LV1,High,2593.416641,40.47471,-121.50486,65.52113333333334,27.952600000000004,73.63519866666667,2.3542,16.410266666666665,Recent
LV3,High,2353.550747,40.47917,-121.52311,53.5808,28.186333333333337,72.73266666666666,2.3111333333333333,16.422733333333333,Recent
LVTR1,High,2741.38982,40.47917,-121.5032,73.74306666666666,28.965332000000007,76.750666,2.0303999999999998,16.286133333333332,Recent
SC,Low,421.5178299,38.41167,-120.73583000000001,42.758428571428574,0.036047619047619,94.30571428571429,6.321952380952381,18.876,Recent
SQ1,Mid,1921.036585,36.56435,-118.7764,90.07604166666667,9.383375,45.15641625,6.581625,18.953083333333332,Recent
SQ2,Mid,1934.45122,36.66557,-118.83543,68.79719047619048,9.200714285714284,46.702333333333335,6.747761904761904,19.25642857142857,Recent
SQ3,High,2373.170732,36.72109,-118.84933,77.82690476190476,20.82761904761904,50.8094280952381,4.693333333333333,17.100333333333335,Recent
TM2,Low,379.1526973,39.59255,-121.55072,31.129458333333332,0,131.99329125,7.118541666666666,18.803875,Recent
WL1,Mid,1613.837245,38.78608,-120.2143,68.21291666666667,13.297416666666669,68.10804083333333,6.8886666666666665,20.50975,Recent
WL2,High,2020.115818,38.8263,-120.25242,64.05071428571429,28.791142380952383,68.73628476190477,5.578428571428572,18.086809523809524,Recent
WR,Mid,1158,39.34346,-120.80659,53.06677777777778,7.036370370370365,92.9747762962963,9.005777777777778,21.588555555555555,Recent
WV,Mid,748.8570558,40.74084,-123.00364,55.49388888888889,7.279111111111109,61.18129592592592,6.72637037037037,22.25014814814815,Recent
YO11,High,2872.295032,37.93844,-119.23157,76.50393333333334,7.186066666666666,31.33986666666667,1.9362666666666666,15.608,Recent
YO4,High,2157.57391,37.76378,-119.77244,66.52580952380953,21.827523809523807,57.297666666666665,5.660428571428572,17.923142857142857,Recent
YO7,High,2469.978665,37.80903,-119.56605,64.9083888888889,41.119055555555576,70.50688833333334,2.0957777777777777,15.590944444444444,Recent
YO8,High,2590.97836,37.81117,-119.48624,80.87077777777777,43.428777222222216,70.147555,1.5971111111111114,15.139333333333333,Recent
BH,Low,511.4294422,37.40985,-119.96458,50.63775,0.029249999999999905,66.63125,5.107458333333334,18.826083333333333,Historical
CC,Low,313,39.58597,-121.43311,42.52158333333333,0.11887500000000042,112.40412500000001,6.358291666666666,18.933083333333332,Historical
CP2,High,2244.132886,38.66169,-120.13065,79.691,18.437533333333327,69.03826666666667,3.9882,17.643866666666668,Historical
CP3,High,2266.382201,38.70649,-120.08797,60.25626666666667,20.72106666666667,67.13893333333334,3.542133333333333,16.820066666666666,Historical
DPR,Mid,1018.591893,39.22846,-120.81518,30.024148148148146,5.134148148148153,82.49311037037037,8.0177407407407415,22.213703703703704,Historical
FR,Mid,787,40.01362,-121.18498,87.7567037037037,4.537481481481476,57.77637037037037,6.15362962962963,22.966,Historical
IH,Low,454.1298385,39.09332,-120.92114,41.548366666666666,1.765966666666672,97.93639933333333,7.0745000000000005,20.855266666666665,Historical
LV1,High,2593.416641,40.47471,-121.50486,55.45433333333333,61.65058,126.85633,-1.1643333333333332,13.885333333333334,Historical
LV3,High,2353.550747,40.47917,-121.52311,43.818083333333334,62.296330000000005,125.01099833333333,-1.2001666666666668,13.893333333333333,Historical
LVTR1,High,2741.38982,40.47917,-121.5032,60.37591666666667,64.45816416666668,132.53499666666667,-1.3468333333333333,13.72275,Historical
SC,Low,421.5178299,38.41167,-120.73583000000001,45.08025,0.07466666666666671,85.02266666666667,5.359333333333334,18.747458333333334,Historical
SQ1,Mid,1921.036585,36.56435,-118.7764,85.83157142857142,14.639809523809536,53.35023761904762,4.997190476190476,17.718238095238096,Historical
SQ2,Mid,1934.45122,36.66557,-118.83543,62.632333333333335,14.769666666666653,55.13471428571429,5.0553333333333335,17.68752380952381,Historical
SQ3,High,2373.170732,36.72109,-118.84933,69.23761111111111,31.255944444444427,68.56222166666667,2.9456111111111114,14.99161111111111,Historical
TM2,Low,379.1526973,39.59255,-121.55072,31.356041666666666,0.6834166666666648,125.90904125,5.967,18.480041666666665,Historical
WL1,Mid,1613.837245,38.78608,-120.2143,64.97247619047619,17.623857142857148,71.39799952380952,5.567571428571428,19.931714285714285,Historical
WL2,High,2020.115818,38.8263,-120.25242,59.33990476190476,35.7261419047619,76.39876142857143,3.9084285714285714,17.135809523809524,Historical
WR,Mid,1158,39.34346,-120.80659,50.17125,10.800874999999987,89.30604000000001,7.592958333333334,21.806958333333334,Historical
WV,Mid,748.8570558,40.74084,-123.00364,57.912125,9.485791666666671,62.044333333333334,6.087791666666667,22.455041666666666,Historical
