parent.pop,elevation.group,elev_m,Lat,Long,Gowers_Dist,bias,std.error,conf.low,conf.high,TimePd
FR,Mid,787,40.01362,-121.18498,0.17017464441603736,-6.271593545076892e-4,0.017686521886042614,0.1361368578621221,0.205466749678968,Recent
WL1,Mid,1613.837245,38.78608,-120.2143,0.19319403436532967,0.0024470584532558792,0.011709231845566891,0.16779730320813321,0.21369664861601437,Recent
WR,Mid,1158,39.34346,-120.80659,0.20700070018253228,-0.003533750077315323,0.015379303261992097,0.18039156975902373,0.24067733076067147,Recent
WV,Mid,748.8570558,40.74084,-123.00364,0.21983390219973667,-0.001581679767326677,0.016159932297065315,0.18974269667220972,0.25308846726191697,Recent
CC,Low,313,39.58597,-121.43311,0.22740315381223453,-0.004817540774480489,0.014188104700125824,0.20441252036558494,0.2600288688078451,Recent
IH,Low,454.1298385,39.09332,-120.92114,0.22894580350737542,-0.0028963621151343044,0.013560635152428042,0.20526380911626294,0.2584205221287565,Recent
DPR,Mid,1018.591893,39.22846,-120.81518,0.23561130825023943,-0.002643794566799418,0.012488945762931277,0.21377721891681944,0.26273298671725825,Recent
SQ2,Mid,1934.45122,36.66557,-118.83543,0.30834596388636887,0.0020373698495841364,0.01548979377663241,0.27594915610663256,0.3366680319669369,Recent
SQ1,Mid,1921.036585,36.56435,-118.7764,0.31700318160281915,-0.0021199684042165767,0.017870316648919176,0.28409797298282763,0.3541483270312438,Recent
BH,Low,511.4294422,37.40985,-119.96458,0.33032021754729685,-0.009165834458528033,0.023589122616698384,0.29325222125019684,0.3857198827614529,Recent
WL2,High,2020.115818,38.8263,-120.25242,0.33319492312527876,8.358950866708681e-4,0.012043139762326623,0.30875490784366544,0.35596314823355035,Recent
YO4,High,2157.57391,37.76378,-119.77244,0.33661189634132965,0.0028026626359005657,0.013006629630466905,0.30831670806946243,0.35930175934139574,Recent
SQ3,High,2373.170732,36.72109,-118.84933,0.3827274245843708,8.12249030974932e-4,0.017343348033969395,0.3479228380354723,0.41590751307131946,Recent
SC,Low,421.5178299,38.41167,-120.73583000000001,0.40231892535052977,-0.009620714379257045,0.020332850303114484,0.3720879854326381,0.4517912940269355,Recent
CP2,High,2244.132886,38.66169,-120.13065,0.4220349763643145,-0.0028092910108780678,0.015795680250227553,0.39388530297343594,0.45580323177694915,Recent
YO7,High,2469.978665,37.80903,-119.56605,0.4596776376561274,-0.0027968578033061853,0.015268780303083008,0.43254823597753633,0.49240075494133084,Recent
YO8,High,2590.97836,37.81117,-119.48624,0.4667175486955678,-0.003317193936887841,0.01581776916890389,0.43903248474563594,0.5010370005192754,Recent
LV1,High,2593.416641,40.47471,-121.50486,0.47803637115374453,-0.008431124326534534,0.021368694408369193,0.44458562404323304,0.5283493669173251,Recent
