parent.pop,elevation.group,elev_m,Lat,Long,Gowers_Dist,bias,std.error,conf.low,conf.high,TimePd
FR,Mid,787,40.01362,-121.18498,0.09738751167934269,0.003462816043782027,0.010133017383650862,0.07406434650888669,0.11378504476223464,Recent
WV,Mid,748.8570558,40.74084,-123.00364,0.17070224153393201,0.0043934529022282565,0.01632729586758226,0.13430787676631287,0.19830970049709465,Recent
WL1,Mid,1613.837245,38.78608,-120.2143,0.18522541911751544,-5.066733393875311e-4,0.017120478343521664,0.15217657150550257,0.21928761340830338,Recent
WR,Mid,1158,39.34346,-120.80659,0.23955849581747474,-0.0012848557189900078,0.015941027474071733,0.20959951181072065,0.2720871912622088,Recent
SQ2,Mid,1934.45122,36.66557,-118.83543,0.24239500800363437,-6.392039448005205e-4,0.017052498106201245,0.20961192981384297,0.2764564940830268,Recent
SQ1,Mid,1921.036585,36.56435,-118.7764,0.2575876094746024,-6.605087004226684e-4,0.010885669975558253,0.2369125970753419,0.27958363927470825,Recent
CC,Low,313,39.58597,-121.43311,0.2933150968107377,-7.149421258800248e-4,0.013620232742202908,0.2673348733008468,0.3207252045723886,Recent
YO4,High,2157.57391,37.76378,-119.77244,0.3048954438335068,0.0037231892377332376,0.013976365686629964,0.27377908121521743,0.3285654279763297,Recent
BH,Low,511.4294422,37.40985,-119.96458,0.31824912927177584,-0.0021850041304569134,0.023539084448701716,0.27429837565373055,0.36656989115073496,Recent
IH,Low,454.1298385,39.09332,-120.92114,0.31851298624520596,-0.0023987469237767844,0.015458462723575912,0.290613702974419,0.3512097633635465,Recent
WL2,High,2020.115818,38.8263,-120.25242,0.32604282286275466,-2.996877117480423e-4,0.015397710816726676,0.2961635519293556,0.3565214692196498,Recent
SQ3,High,2373.170732,36.72109,-118.84933,0.33255735611570025,4.274849727117225e-4,0.01784389555133219,0.2971564785184829,0.36710326376749414,Recent
DPR,Mid,1018.591893,39.22846,-120.81518,0.33581833630487523,-0.0025825497250485108,0.014385050869324923,0.3102067044102703,0.36659506764957717,Recent
CP2,High,2244.132886,38.66169,-120.13065,0.40839550382501555,3.8685164232732383e-4,0.01794786136052642,0.3728314903165384,0.44318581404883806,Recent
SC,Low,421.5178299,38.41167,-120.73583000000001,0.42839909730198694,-0.0023840065663820464,0.02029085528083477,0.39101375830241847,0.4705524494343195,Recent
LVTR1,High,2741.38982,40.47917,-121.5032,0.4821135630940381,-1.1974852557367077e-4,0.02012337891633688,0.4427922136963388,0.5216744095428847,Recent
LV1,High,2593.416641,40.47471,-121.50486,0.49395908771396113,-4.453550802630546e-4,0.02027512552510087,0.45466592698299774,0.5341429586054507,Recent
YO8,High,2590.97836,37.81117,-119.48624,0.4953189595237443,9.738653776417139e-4,0.016307550323792795,0.4623828828353942,0.5263073054568109,Recent
CP3,High,2266.382201,38.70649,-120.08797,0.5191225923500773,-5.003274995478701e-4,0.01696378330224544,0.4863745155356822,0.5528713241635682,Recent
YO7,High,2469.978665,37.80903,-119.56605,0.523769806793982,3.0534639387258533e-4,0.018322209093783518,0.4875535904590815,0.5593753303411374,Recent
YO11,High,2872.295032,37.93844,-119.23157,0.526788333866459,5.049397598166916e-5,0.010611953560712793,0.5059387931058686,0.5475368866750859,Recent
LV3,High,2353.550747,40.47917,-121.52311,0.5427446315168907,-9.032115352660686e-4,0.01993357659776314,0.5045787508374705,0.582716935266843,Recent
TM2,Low,379.1526973,39.59255,-121.55072,0.5463370677891867,-0.0031206133931171998,0.021146509271844555,0.5080112846107462,0.5909040777538616,Recent
FR,Mid,787,40.01362,-121.18498,0.11347195199563291,0.0035486757688446557,0.01043666149859645,0.08946779557070339,0.13037875688287312,Historical
WV,Mid,748.8570558,40.74084,-123.00364,0.16168574287946152,0.0074371355455639665,0.013126304379474865,0.12852152350001644,0.17997569116777867,Historical
WL1,Mid,1613.837245,38.78608,-120.2143,0.23844832864406562,-0.0015046063563773082,0.01909460856690453,0.2025281899104201,0.27737768009046576,Historical
WR,Mid,1158,39.34346,-120.80659,0.24984606611510146,-0.0037280523786261954,0.01982966844706721,0.21470868251210565,0.2924395544753497,Historical
SQ1,Mid,1921.036585,36.56435,-118.7764,0.2625098047857083,9.903934367606615e-4,0.012459696603472306,0.23709885474784587,0.2859399679500494,Historical
CP2,High,2244.132886,38.66169,-120.13065,0.2702196490624766,0.00290117227109965,0.018103757090529537,0.23183576490907742,0.30280118867367645,Historical
DPR,Mid,1018.591893,39.22846,-120.81518,0.29645128419147615,-0.0035005309834904574,0.018979065835736792,0.2627535296767079,0.3371501006732253,Historical
SQ2,Mid,1934.45122,36.66557,-118.83543,0.3061109853947364,0.0016571776778909197,0.012459995843675006,0.28003266461572374,0.32887495081796725,Historical
BH,Low,511.4294422,37.40985,-119.96458,0.3289436077110706,-9.661485402931436e-4,0.01691738746471877,0.29675228610800564,0.3630672263947219,Historical
IH,Low,454.1298385,39.09332,-120.92114,0.34996958500300956,-0.003974058770472855,0.018645010923563844,0.3174000938719414,0.39048719367502344,Historical
YO4,High,2157.57391,37.76378,-119.77244,0.35555910958083004,0.003497008211390762,0.01589681051260353,0.32090492529567866,0.3832192774431999,Historical
YO7,High,2469.978665,37.80903,-119.56605,0.38198583995481,0.001540273254603819,0.01121018038998465,0.35847401687563907,0.4024171165247733,Historical
CP3,High,2266.382201,38.70649,-120.08797,0.38274813535454444,6.699975056241869e-4,0.01791617091020255,0.34696308812405907,0.41719318757378143,Historical
YO8,High,2590.97836,37.81117,-119.48624,0.38694736626184034,0.001241827736446488,0.012208115330594146,0.36177807215831803,0.4096330048924697,Historical
WL2,High,2020.115818,38.8263,-120.25242,0.39446711219731034,-0.002320097771315477,0.021605180632998676,0.35444183404846613,0.4391325858887855,Historical
SC,Low,421.5178299,38.41167,-120.73583000000001,0.3995839976319227,-0.003080413681009142,0.019369553548917052,0.3647007839604344,0.44062803866542927,Historical
SQ3,High,2373.170732,36.72109,-118.84933,0.41241081830352155,6.276971279711718e-4,0.020884422046501105,0.3708504061264739,0.45271583622462686,Historical
CC,Low,313,39.58597,-121.43311,0.45595522196465743,-0.004589592413170862,0.02008297392329559,0.42118290878571185,0.49990671996994474,Historical
YO11,High,2872.295032,37.93844,-119.23157,0.5225985952601234,-7.732586220495774e-4,0.013523696094357164,0.496865896599368,0.549877811164978,Historical
TM2,Low,379.1526973,39.59255,-121.55072,0.5638473592905965,-0.005855925337337697,0.027758227014073104,0.5152981594056641,0.6241084098502042,Historical
LV1,High,2593.416641,40.47471,-121.50486,0.7676874517502428,-0.006643131330951735,0.02562314605341201,0.7241101396458973,0.8245510265164917,Historical
LVTR1,High,2741.38982,40.47917,-121.5032,0.7711138770143643,-0.006933886647132792,0.026279768472821523,0.7265403639327157,0.8295551633902785,Historical
LV3,High,2353.550747,40.47917,-121.52311,0.8136683994143106,-0.006858320577663335,0.02534548140407037,0.7708504892691663,0.8702029507147815,Historical
