parent.pop,elevation.group,elev_m,Lat,Long,Gowers_Dist,bias,std.error,conf.low,conf.high,TimePd
IH,Low,454.1298385,39.09332,-120.92114,0.19311893041224326,-0.002530003402486297,0.013578718052256376,0.1690351354760832,0.2222627321533759,Recent
WR,Mid,1158,39.34346,-120.80659,0.1939775819285553,-0.003418749692899903,0.01605703533387979,0.16592512066856374,0.22886754257434666,Recent
DPR,Mid,1018.591893,39.22846,-120.81518,0.1955284970283851,-0.0022034447917966826,0.01199852245971604,0.1742152699314434,0.22124861370892016,Recent
WL1,Mid,1613.837245,38.78608,-120.2143,0.1963814804644554,0.003706269445676147,0.016162923146769637,0.16099646376622195,0.22435395827133653,Recent
FR,Mid,787,40.01362,-121.18498,0.19928949751071526,-0.0036807574299540513,0.021906551753583345,0.1600342024781832,0.24590630740315542,Recent
CC,Low,313,39.58597,-121.43311,0.20103837661283325,-0.006038570190061487,0.015031589976386414,0.17761557181880408,0.2365383217869854,Recent
WV,Mid,748.8570558,40.74084,-123.00364,0.2394865664660586,-0.005996931154033686,0.02131258669432108,0.2037115952818354,0.28725539995834914,Recent
SQ2,Mid,1934.45122,36.66557,-118.83543,0.33472634623946274,0.0026138232778488146,0.020278329287367874,0.2923677278917291,0.37185731803149874,Recent
BH,Low,511.4294422,37.40985,-119.96458,0.3351486528575054,-0.013503351845064238,0.028357054347792437,0.2930731994732515,0.40423080993188776,Recent
WL2,High,2020.115818,38.8263,-120.25242,0.3360557632302884,0.0013574352310807836,0.018179800420850635,0.2990665739282143,0.37033008207020096,Recent
SQ1,Mid,1921.036585,36.56435,-118.7764,0.3407694104541059,-0.004062359973911689,0.023575120415245607,0.29862538348294126,0.39103815737309394,Recent
YO4,High,2157.57391,37.76378,-119.77244,0.34929847734445874,0.0028561186229418833,0.016901027819838342,0.3133169528929242,0.3795677645501095,Recent
SC,Low,421.5178299,38.41167,-120.73583000000001,0.39188685656994693,-0.014761841147071963,0.024063224130711606,0.359485645068909,0.4538117503651288,Recent
SQ3,High,2373.170732,36.72109,-118.84933,0.4027954519718391,3.922738879576504e-4,0.02260727388770415,0.3580937354753485,0.44671262069241435,Recent
CP2,High,2244.132886,38.66169,-120.13065,0.427490765380034,-0.0034870088453374803,0.022061644308524198,0.387737745940931,0.47421780250981194,Recent
YO7,High,2469.978665,37.80903,-119.56605,0.4340407700009856,-0.003898547544933184,0.023316308204246152,0.39224019321316056,0.48363844187867705,Recent
YO8,High,2590.97836,37.81117,-119.48624,0.4552769843642973,-0.005207169165877323,0.02468039068151314,0.41211147667003095,0.5088568303903184,Recent
CP3,High,2266.382201,38.70649,-120.08797,0.4696964463018784,-0.006063652469094238,0.02468949298073825,0.4273695817321712,0.5241506158097741,Recent
LV1,High,2593.416641,40.47471,-121.50486,0.47166728452965795,-0.011352825488647134,0.028577920772184084,0.4270084145517852,0.539031805484825,Recent
LV3,High,2353.550747,40.47917,-121.52311,0.4749850230688467,-0.012527119156662936,0.02891583050594678,0.4308381558507894,0.54418612860023,Recent
LVTR1,High,2741.38982,40.47917,-121.5032,0.4902028414288938,-0.012217500358728817,0.02824191021626486,0.4470672149091297,0.5577734686661155,Recent
TM2,Low,379.1526973,39.59255,-121.55072,0.5455879918119932,-0.024606690321221092,0.030758633602646537,0.5099088680583637,0.630480496208065,Recent
YO11,High,2872.295032,37.93844,-119.23157,0.6476410575429687,-0.02002636373687139,0.02723998503695921,0.6142780316679901,0.7210568108916902,Recent
DPR,Mid,1018.591893,39.22846,-120.81518,0.11466158049664057,0.005586919116712552,0.017575328445301703,0.07462765061067436,0.14352167214918168,Historical
WR,Mid,1158,39.34346,-120.80659,0.14700248473389685,0.005721501910948307,0.017240538221133316,0.107490148835441,0.17507181681045608,Historical
IH,Low,454.1298385,39.09332,-120.92114,0.21374513229898331,-0.003131010503523518,0.012411269935358711,0.192550500726799,0.24120178487821467,Historical
WL1,Mid,1613.837245,38.78608,-120.2143,0.2431269293989681,5.801288409321148e-4,0.019450469003380436,0.20442458182899767,0.28066901928707433,Historical
FR,Mid,787,40.01362,-121.18498,0.24789106014955387,-0.0012367466979552322,0.02349855429340541,0.20307148674367545,0.2951841269513428,Historical
WV,Mid,748.8570558,40.74084,-123.00364,0.28731863072147257,-0.001192846509771639,0.025821833422498903,0.23790161370835372,0.3391213407541347,Historical
BH,Low,511.4294422,37.40985,-119.96458,0.3381808338419881,-4.6623439605519845e-4,0.015369827989556668,0.3085227589299366,0.36877137754615,Historical
SC,Low,421.5178299,38.41167,-120.73583000000001,0.3461297158689558,0.0029680904502458194,0.017726725809145034,0.3084178812689691,0.3779053695684509,Historical
WL2,High,2020.115818,38.8263,-120.25242,0.36164612400149565,0.002750799209621513,0.02257585352695751,0.31464746495878587,0.4031431846249624,Historical
YO4,High,2157.57391,37.76378,-119.77244,0.3705798295047802,-0.003075093643162219,0.020769195901499626,0.33294804719314625,0.41436179910273857,Historical
