parent.pop,elevation.group,elev_m,Recent_Gowers_Dist,Historic_Gowers_Dist
BH,Low,511.4294422,0.2635424813135409,0.2609243489216868
CC,Low,313,0.3995436343235737,0.3628520203062128
CP2,High,2244.132886,0.31372573043884605,0.2718604320558031
CP3,High,2266.382201,0.3140208563118357,0.23861805788165968
DPR,Mid,1018.591893,0.44604377014039326,0.43268079774606566
FR,Mid,787,0.42020367443861306,0.39528242367203975
IH,Low,454.1298385,0.42761731156141125,0.4171162792166099
LV1,High,2593.416641,0.3442912701603746,0.4966899203012214
LV3,High,2353.550747,0.3325825215553561,0.5058235448386518
LVTR1,High,2741.38982,0.38024468369169995,0.523015897343951
SC,Low,421.5178299,0.2875182857097167,0.2948552776410517
SQ1,Mid,1921.036585,0.27140493582975944,0.23946004706235813
SQ2,Mid,1934.45122,0.26986030471198935,0.21540067180914554
SQ3,High,2373.170732,0.2651042203227871,0.2654491452181902
TM2,Low,379.1526973,0.41043263136104047,0.40374579003782857
WL1,Mid,1613.837245,0.28714113574565575,0.2698928368884988
WL2,High,2020.115818,0.2416093648627164,0.2512423416542824
WR,Mid,1158,0.3856348150917765,0.3999355834993617
WV,Mid,748.8570558,0.3715037905239685,0.36175492084821254
YO11,High,2872.295032,0.359546725530773,0.41479335930207695
YO4,High,2157.57391,0.2164598779774081,0.22223656475407266
YO7,High,2469.978665,0.36587944639643116,0.2923198098407516
YO8,High,2590.97836,0.4088623847579968,0.34190309149851994
