parent.pop,elevation.group,elev_m,Lat,Long,Gowers_Dist,bias,std.error,conf.low,conf.high,TimePd
YO4,High,2157.57391,37.76378,-119.77244,0.11631930871431624,0.002640279127683526,0.011276247014337522,0.09157799155775387,0.13578006761551156,Recent
WL2,High,2020.115818,38.8263,-120.25242,0.12158797564707893,1.3179521149171702e-4,0.012420840927726816,0.09711177955954159,0.14580058131163284,Recent
BH,Low,511.4294422,37.40985,-119.96458,0.13424970614041284,5.885675122683232e-4,0.012138346390527896,0.1098704168708381,0.15745186038545095,Recent
LV3,High,2353.550747,40.47917,-121.52311,0.17901867464079418,1.0635051052418354e-4,0.018426050276950823,0.1427979292101221,0.2150267190504179,Recent
CP3,High,2266.382201,38.70649,-120.08797,0.18140823824613922,-7.724758001642906e-4,0.016909095292396998,0.14903949626204963,0.2153219318305574,Recent
SQ3,High,2373.170732,36.72109,-118.84933,0.18565210528190756,-1.227839829606725e-5,0.014202075676486068,0.15782882684857863,0.21349994051182863,Recent
SQ2,Mid,1934.45122,36.66557,-118.83543,0.1890683361320005,1.6311536035215624e-4,0.019399569123412366,0.15088276397416484,0.22692767756913185,Recent
WV,Mid,748.8570558,40.74084,-123.00364,0.19302371534216436,0.012085331344481642,0.012209876165187615,0.15700746645822097,0.20486930153714447,Recent
SC,Low,421.5178299,38.41167,-120.73583000000001,0.1981470626642032,9.307161528464836e-4,0.011757222557610594,0.17417261374021806,0.22026007928249539,Recent
WL1,Mid,1613.837245,38.78608,-120.2143,0.21140904299535634,-1.1757241956517062e-4,0.014084379319936413,0.18392173920324542,0.2391314916265976,Recent
CP2,High,2244.132886,38.66169,-120.13065,0.2159765177709999,-0.0016939290367084803,0.01812531310890542,0.18214548590574206,0.25319540770967475,Recent
LV1,High,2593.416641,40.47471,-121.50486,0.22104437551964062,-3.8982191081796125e-4,0.016516317100263796,0.18906281075669853,0.25380558410421866,Recent
YO7,High,2469.978665,37.80903,-119.56605,0.2457247791257744,4.295877975701856e-5,0.016977871165987972,0.2124058043265199,0.27895783636551486,Recent
SQ1,Mid,1921.036585,36.56435,-118.7764,0.2666652159251463,-7.490972782472349e-4,0.02050494922558852,0.22722535121641757,0.3076032751903695,Recent
LVTR1,High,2741.38982,40.47917,-121.5032,0.27803849879487363,-8.980226439254113e-4,0.01734609774512751,0.24493879458603768,0.3129342482915604,Recent
WR,Mid,1158,39.34346,-120.80659,0.32883129069051215,-7.661887130935296e-4,0.014940868759249534,0.30031391473773694,0.3588810440694744,Recent
YO8,High,2590.97836,37.81117,-119.48624,0.34288465517959626,-4.4594777018641674e-4,0.016373341368057764,0.3112394435618097,0.37542176233775565,Recent
CC,Low,313,39.58597,-121.43311,0.344429413637413,-0.0011621105170891433,0.01031577131969592,0.3253729838951469,0.36581006441385733,Recent
YO11,High,2872.295032,37.93844,-119.23157,0.3515169674302352,-1.7676018564866114e-4,0.011559730502169584,0.3290370721606424,0.37435038307112534,Recent
IH,Low,454.1298385,39.09332,-120.92114,0.35685204159767303,-0.0014167995117886356,0.011286688047572288,0.3361473390314813,0.380390343187442,Recent
TM2,Low,379.1526973,39.59255,-121.55072,0.36478936145734436,-0.0019738636722335667,0.012992532416529624,0.3412983295252107,0.39222812073394514,Recent
FR,Mid,787,40.01362,-121.18498,0.38643211066927624,0.001567702354088818,0.012324672254393362,0.36070849457531634,0.4090203220550585,Recent
DPR,Mid,1018.591893,39.22846,-120.81518,0.4461478898285183,-0.001898187260785944,0.013715664845504148,0.42116386796809396,0.47492828621051447,Recent
YO4,High,2157.57391,37.76378,-119.77244,0.10329132884222961,0.007843887312402847,0.011349199552828466,0.07320341915292489,0.11769146390672863,Historical
SQ2,Mid,1934.45122,36.66557,-118.83543,0.10820970174530309,0.0016722828239594117,0.015822620064831507,0.07552565345321312,0.13754918438947425,Historical
CP3,High,2266.382201,38.70649,-120.08797,0.11356691934831985,0.0051492457701655114,0.014078821568869354,0.08082369035840471,0.13601165679790397,Historical
BH,Low,511.4294422,37.40985,-119.96458,0.11731741954386267,0.001240730863447559,0.011599785292428381,0.09334152727885807,0.13881185008197217,Historical
WL2,High,2020.115818,38.8263,-120.25242,0.133335474673477,-0.0019490763880647966,0.014501181284907076,0.10686275800983767,0.16370634411324592,Historical
WV,Mid,748.8570558,40.74084,-123.00364,0.1731502168547892,0.008850180572266247,0.012180079590301334,0.14042751895670097,0.18817255360834495,Historical
WL1,Mid,1613.837245,38.78608,-120.2143,0.17522644574086538,-0.001141038483748441,0.013596227807188523,0.14971936739692232,0.20301560105230532,Historical
SC,Low,421.5178299,38.41167,-120.73583000000001,0.18338405443014322,-0.0016931695590595985,0.013998843476731878,0.15763999494959485,0.21251445302881078,Historical
YO7,High,2469.978665,37.80903,-119.56605,0.18649007632259157,0.001486687227423844,0.010884479293107215,0.1636702016902056,0.20633657650012985,Historical
