parent.pop,elevation.group,elev_m,Lat,Long,Gowers_Dist,bias,std.error,conf.low,conf.high,TimePd
SQ2,Mid,1934.45122,36.66557,-118.83543,0.15355300145833595,0.00625788350673806,0.015658858724659407,0.11660431881226466,0.17798591709093112,Recent
SQ1,Mid,1921.036585,36.56435,-118.7764,0.16266416894704655,0.004979359209100032,0.012991439199553784,0.13222205679947924,0.1831475626764138,Recent
YO4,High,2157.57391,37.76378,-119.77244,0.21454160312258344,3.102614525805347e-4,0.01427123880137132,0.18626022760454455,0.24220245573546126,Recent
SQ3,High,2373.170732,36.72109,-118.84933,0.21728899994837608,0.001327546457926182,0.017841295769273156,0.18099315634514768,0.2509297506357521,Recent
WL2,High,2020.115818,38.8263,-120.25242,0.244279575791832,-7.2745194164206e-4,0.014247849645994067,0.21708175557018392,0.27293229989676415,Recent
WL1,Mid,1613.837245,38.78608,-120.2143,0.2709562843895519,-0.003641311510902745,0.012061509613162004,0.25095747145947345,0.2982377203414358,Recent
CP2,High,2244.132886,38.66169,-120.13065,0.29549245497390997,0.003752062683005153,0.017244851134768664,0.25794110514800356,0.3255396794338061,Recent
CP3,High,2266.382201,38.70649,-120.08797,0.3403121936496604,-7.504504186528482e-4,0.017783720001031362,0.3062071933551472,0.37591809478147936,Recent
WV,Mid,748.8570558,40.74084,-123.00364,0.35066911805672557,-0.001099539714505271,0.010614229685850915,0.33096514986332715,0.37257216567913454,Recent
FR,Mid,787,40.01362,-121.18498,0.3550930660967116,-0.0034656584184847294,0.009016503780202086,0.340886701839531,0.37623074719086164,Recent
YO7,High,2469.978665,37.80903,-119.56605,0.35962171989318437,-3.2974801711382895e-4,0.019667620741603876,0.32140363959516166,0.39849929622543473,Recent
BH,Low,511.4294422,37.40985,-119.96458,0.3604292781134208,0.0013361580858056166,0.015293346965088751,0.3291187107729663,0.38906752928226407,Recent
YO8,High,2590.97836,37.81117,-119.48624,0.3669463351709006,-0.0022513489047870094,0.01964137339802916,0.33070129960864736,0.40769406854272783,Recent
WR,Mid,1158,39.34346,-120.80659,0.36789402719482034,-0.003047628186470752,0.012596277317356838,0.3462534054999929,0.3956299052625893,Recent
LV1,High,2593.416641,40.47471,-121.50486,0.4088585983428407,-0.006666222047851611,0.023645035214034823,0.3691814029580028,0.4618682378233819,Recent
YO11,High,2872.295032,37.93844,-119.23157,0.41527023029235305,-0.005360910846781586,0.0214776662632588,0.37853568879117644,0.46272659348709283,Recent
LV3,High,2353.550747,40.47917,-121.52311,0.4229161447292411,-0.006705485468126604,0.023315661600386523,0.38392377318488663,0.4753194872098488,Recent
LVTR1,High,2741.38982,40.47917,-121.5032,0.4233161767054525,-0.007382843952071616,0.024097242086067797,0.3834692940420884,0.47792874727295986,Recent
DPR,Mid,1018.591893,39.22846,-120.81518,0.4332053234267854,-0.005657113975547745,0.010796248659193248,0.41770217886217553,0.4600226959424908,Recent
CC,Low,313,39.58597,-121.43311,0.4368283608478179,-0.0059747142146572285,0.007515833197096793,0.4280723126823549,0.45753383744259535,Recent
SC,Low,421.5178299,38.41167,-120.73583000000001,0.44912228233059026,-0.003526377436172068,0.0166511078578922,0.42001308806260174,0.4852842314709229,Recent
IH,Low,454.1298385,39.09332,-120.92114,0.45580302042133886,-0.006097833756172566,0.010524881063157002,0.44127246635215606,0.4825292420028668,Recent
TM2,Low,379.1526973,39.59255,-121.55072,0.5660414336757117,-0.010978333816104802,0.018657463597360736,0.5404518107981223,0.6135877241855107,Recent
SQ1,Mid,1921.036585,36.56435,-118.7764,0.22152124895076786,-7.729217164284541e-4,0.01938032409831434,0.1843094334257865,0.2602789079086061,Historical
SQ2,Mid,1934.45122,36.66557,-118.83543,0.2502301323649272,-0.0015851771273065474,0.02074510812049497,0.2111556447206742,0.29247497426379326,Historical
YO4,High,2157.57391,37.76378,-119.77244,0.27062824903976845,-5.244255503766837e-5,0.015352271979337266,0.24059079143444165,0.3007705917551706,Historical
WL1,Mid,1613.837245,38.78608,-120.2143,0.2790885522481465,-7.331840999662553e-4,0.012522474775869666,0.2552781367900969,0.3043653359061286,Historical
WL2,High,2020.115818,38.8263,-120.25242,0.3093380673100066,-0.001010143864569546,0.01742741634810897,0.2761911027886981,0.34450531956045427,Historical
SQ3,High,2373.170732,36.72109,-118.84933,0.3101069726828412,0.0042407200044922155,0.019384107770176337,0.2678740995763604,0.3438584057803376,Historical
CP2,High,2244.132886,38.66169,-120.13065,0.3422471250492719,-0.002252490851349598,0.022475780160631814,0.3004478962613433,0.38855133553989973,Historical
WV,Mid,748.8570558,40.74084,-123.00364,0.3447461799043261,3.3044470151644134e-4,0.0114718739583906,0.32193127540918115,0.36690019499643817,Historical
YO7,High,2469.978665,37.80903,-119.56605,0.3478305786345273,-7.036622381942914e-4,0.01745494221347749,0.3143231827820779,0.38274529896336534,Historical
YO8,High,2590.97836,37.81117,-119.48624,0.35067799004725897,5.324437025091e-4,0.016814908608697585,0.3171889310683701,0.38310216162112964,Historical
FR,Mid,787,40.01362,-121.18498,0.35149533685440765,-0.003353597209357184,0.009632970027238475,0.3359686597462236,0.3737292083813061,Historical
CP3,High,2266.382201,38.70649,-120.08797,0.37703756286914336,-0.0019117222780927756,0.022760527944969883,0.33433947010597775,0.4235591001884945,Historical
WR,Mid,1158,39.34346,-120.80659,0.37868988858249963,-0.006670413769658157,0.012869504662896046,0.36013653671401125,0.41058406799030434,Historical
BH,Low,511.4294422,37.40985,-119.96458,0.38307051343579807,2.4065374806264694e-4,0.012018573839921862,0.3592738878159533,0.4063858315595175,Historical
DPR,Mid,1018.591893,39.22846,-120.81518,0.4225423751876028,-0.0064645579177651236,0.011787793718293011,0.40590328196032616,0.4521105842504097,Historical
YO11,High,2872.295032,37.93844,-119.23157,0.4276253739121807,0.003870024832087815,0.0187607280984746,0.38698499768333405,0.4605257004768517,Historical
SC,Low,421.5178299,38.41167,-120.73583000000001,0.4518851155488157,-0.005521825993855811,0.014281162351409952,0.4294163776765387,0.4853975054088044,Historical
IH,Low,454.1298385,39.09332,-120.92114,0.45688292696001265,-0.0071011003016790974,0.011255219735312794,0.44192420194239423,0.48604385258098926,Historical
CC,Low,313,39.58597,-121.43311,0.5129299912670079,-0.007245449951381544,0.019590724855139744,0.4817783260712819,0.558572556365497,Historical
TM2,Low,379.1526973,39.59255,-121.55072,0.5699775002728972,-0.007843251274022522,0.02227179306897406,0.5341688392606018,0.6214726638332376,Historical
LV1,High,2593.416641,40.47471,-121.50486,0.6178323681086941,-0.008254880619481986,0.027911998220742546,0.5713807374789747,0.6807937599773776,Historical
LV3,High,2353.550747,40.47917,-121.52311,0.6290414765666336,-0.008155826545659162,0.02772957227398473,0.5828483401485822,0.6915462660760032,Historical
LVTR1,High,2741.38982,40.47917,-121.5032,0.6335604718369011,-0.008091794608668268,0.028583381977466463,0.5856298672133838,0.6976746656777549,Historical
