parent.pop,elevation.group,elev_m,Lat,Long,Gowers_Dist,bias,std.error,conf.low,conf.high,TimePd
YO4,High,2157.57391,37.76378,-119.77244,0.25651610568264493,-0.0022244934476372547,0.01732814300142889,0.2247780629285218,0.2927031353320426,Recent
SQ1,Mid,1921.036585,36.56435,-118.7764,0.27330082379160475,-0.0027405195544665806,0.014999179292423542,0.24664349213526224,0.30543919455688046,Recent
WL2,High,2020.115818,38.8263,-120.25242,0.28961792054897145,-0.007082131431764838,0.022895871144834892,0.25182496914219005,0.34157513481928253,Recent
SQ3,High,2373.170732,36.72109,-118.84933,0.2968850663391389,-0.0020537085705649716,0.015998362384351917,0.2675825608247538,0.330294988994654,Recent
SQ2,Mid,1934.45122,36.66557,-118.83543,0.3021770921439849,-0.005633622523872284,0.01348426055197459,0.2813820496278328,0.3342393797078816,Recent
BH,Low,511.4294422,37.40985,-119.96458,0.31525959138279225,-0.005531975379419518,0.017467022784226495,0.2865568311879873,0.35502630233643623,Recent
WL1,Mid,1613.837245,38.78608,-120.2143,0.3174339728457757,-0.0024255057145320946,0.011791210689270292,0.2967491302752143,0.3429698268454012,Recent
SC,Low,421.5178299,38.41167,-120.73583000000001,0.3232667749279222,-0.00664430439030389,0.015727207522974726,0.2990863189958083,0.36073583964064393,Recent
CP2,High,2244.132886,38.66169,-120.13065,0.35282541550598456,-0.008891696856812847,0.023536401582219757,0.3155866129359752,0.40784761178961965,Recent
YO11,High,2872.295032,37.93844,-119.23157,0.3627586287709883,-0.009158243082947437,0.01985946672766999,0.33299303231553107,0.4108407113923404,Recent
CP3,High,2266.382201,38.70649,-120.08797,0.3670659035381143,-0.009501575108516624,0.02356936578244653,0.330372370574585,0.42276258671867684,Recent
LV1,High,2593.416641,40.47471,-121.50486,0.3935900280166682,-0.012396730151117807,0.023464957977807736,0.35999628563253705,0.45197723070303497,Recent
LV3,High,2353.550747,40.47917,-121.52311,0.3940080603211809,-0.012784594076246047,0.023028157521156726,0.3616582950256446,0.4519270137692093,Recent
WR,Mid,1158,39.34346,-120.80659,0.4083562248522823,-0.0015538529959026048,0.015221293503472816,0.3800768907832647,0.4397432649131051,Recent
YO7,High,2469.978665,37.80903,-119.56605,0.4139413133046939,-0.007746418101592656,0.021436755896100116,0.3796724619045537,0.4637030009080194,Recent
LVTR1,High,2741.38982,40.47917,-121.5032,0.4211271576504306,-0.015217738303578587,0.024736167359929152,0.3878628988129928,0.4848268930950255,Recent
CC,Low,313,39.58597,-121.43311,0.4215893225980383,-0.003107087925720786,0.01210481837235586,0.4009714024745428,0.4484214185729753,Recent
TM2,Low,379.1526973,39.59255,-121.55072,0.428689939322519,-0.012077472607214812,0.019669916746441526,0.4022150835278071,0.47931974033166047,Recent
FR,Mid,787,40.01362,-121.18498,0.43371229994634775,-0.004576690554633389,0.014378469797674062,0.41010770754474307,0.4664702734572192,Recent
YO8,High,2590.97836,37.81117,-119.48624,0.435253476589357,-0.008372012390025274,0.020865025661368566,0.40273079014659585,0.48452018781216866,Recent
WV,Mid,748.8570558,40.74084,-123.00364,0.4428958205966903,-0.007849616039932894,0.014348178354686478,0.42262352381768054,0.47886734945556586,Recent
DPR,Mid,1018.591893,39.22846,-120.81518,0.4460021222651433,-0.0031642395606868434,0.013507562272018095,0.42269202625374264,0.47564069739791764,Recent
IH,Low,454.1298385,39.09332,-120.92114,0.4559234195469067,-0.0034031134877945957,0.013729808141631153,0.4324166035624594,0.48623646250694313,Recent
SQ1,Mid,1921.036585,36.56435,-118.7764,0.2488494301669173,0.008952067712358625,0.02046865579237993,0.19977953428954687,0.2800151906195705,Historical
SQ2,Mid,1934.45122,36.66557,-118.83543,0.2582770598346826,0.005328712520934309,0.021327196359214075,0.21114781055847492,0.2947488840690216,Historical
YO4,High,2157.57391,37.76378,-119.77244,0.26981465911881,2.482795207744415e-4,0.01842333180895668,0.2334573127772493,0.3056754464188218,Historical
SQ3,High,2373.170732,36.72109,-118.84933,0.282919577870488,0.003289446032382848,0.025039432910440678,0.2305537451403345,0.3287065185358758,Historical
CP3,High,2266.382201,38.70649,-120.08797,0.2886385132949957,0.007810731496066148,0.023585048509243006,0.23460193614718317,0.3270536274506759,Historical
CP2,High,2244.132886,38.66169,-120.13065,0.2955157007520631,0.0011915371813567277,0.023006772822747715,0.24923171743762595,0.33941660970378684,Historical
WL2,High,2020.115818,38.8263,-120.25242,0.29840508844660457,0.0010009182547247586,0.022882353141344396,0.25255558215331786,0.34225275823044177,Historical
WL1,Mid,1613.837245,38.78608,-120.2143,0.3077593933475522,-0.0033525993580725277,0.018041334736269232,0.2757516263895056,0.34647235902174384,Historical
BH,Low,511.4294422,37.40985,-119.96458,0.31836712067281653,-0.002217295168342903,0.023667845134294443,0.27419629178627075,0.3669725398960481,Historical
YO7,High,2469.978665,37.80903,-119.56605,0.33465170324801574,0.0015749335753141303,0.018489303835050645,0.2968384000567841,0.36931513928861914,Historical
SC,Low,421.5178299,38.41167,-120.73583000000001,0.3394437669254151,-2.00235103015034e-4,0.021690220485161976,0.2971319510607798,0.3821560529960805,Historical
