parent.pop,elevation.group,elev_m,Lat,Long,year,cwd,pck,ppt,tmn,tmx,ann_tmean,mean_diurnal_range,temp_seasonality,temp_ann_range,ann_ppt,ppt_seasonality,tmean_wettest_month,tmean_driest_month,ppt_warmest_month,ppt_coldest_month
BH,Low,511.4294422,37.40985,-119.96458,1964,43.445,0,68.53875000000001,3.9450000000000003,18.021250000000002,10.983125,14.07625,4.718980623503343,29.47,548.31,103.58977550676748,8.809999999999999,7.590000000000001,10.65,218.99
BH,Low,511.4294422,37.40985,-119.96458,1965,49.6725,0,71.95125,4.4725,17.9575,11.215,13.485,4.47661144170454,27.63,575.61,96.1050319265338,11.53,18.83,0,212.22
BH,Low,511.4294422,37.40985,-119.96458,1966,56.30125,0,45.165,5.26625,19.80875,12.5375,14.5425,5.830360194704954,31.209999999999997,361.32,115.51057293542564,6.744999999999999,21.815,0.46,149.34
BH,Low,511.4294422,37.40985,-119.96458,1967,37.2825,0,81.47375,4.17,17.77875,10.974375,13.60875,5.065384231301145,29.86,651.7900000000001,81.6322377040181,8.004999999999999,16.57,17.21,201.83
BH,Low,511.4294422,37.40985,-119.96458,1968,55.957499999999996,0,56.6175,4.97375,19.4775,12.225625,14.50375,5.54264147799327,33.01,452.94000000000005,76.0326594550962,6.03,22.869999999999997,0,136.7
BH,Low,511.4294422,37.40985,-119.96458,1969,48.25,0,104.0525,4.75625,18.50125,11.62875,13.745,4.991587744824859,26.75,832.4200000000001,105.4589553718118,6.75,17.96,4.9,320.83
BH,Low,511.4294422,37.40985,-119.96458,1970,47.515,0,80.1875,5.07125,19.5625,12.316875,14.49125,5.1101767774147095,28.99,641.5000000000001,83.22281630970174,8.725,18.045,34.95,191.04
BH,Low,511.4294422,37.40985,-119.96458,1971,46.93625,0,46.38375,3.6350000000000002,17.6825,10.65875,14.0475,5.044896112479849,30.18,371.07,91.58784050966771,5.04,20.6,0,138.73
BH,Low,511.4294422,37.40985,-119.96458,1972,57.7725,0,40.4375,4.80625,18.76875,11.7875,13.9625,6.527624267023077,33.26,323.50000000000006,119.05177792573916,8.785,13.22,1.05,144.26
BH,Low,511.4294422,37.40985,-119.96458,1973,52.22875,0,84.86125,5.59375,18.7925,12.193125,13.19875,6.188065089635969,32.16,678.8899999999999,81.94356792806904,9.375,19.56,0.68,181.06
BH,Low,511.4294422,37.40985,-119.96458,1974,49.6575,0,56.475,4.755,18.79375,11.774375,14.03875,5.582197108090274,31.4,451.7999999999999,80.82141837124227,10.495,17.385,0.03,129.3
