parent.pop,elevation.group,elev_m,Lat,Long,cwd,pck,ppt,tmn,tmx,TimePd
BH,Low,511.4294422,37.40985,-119.96458,50.387095238095235,0,71.95714285714286,6.272047619047619,19.612809523809524,Recent
CC,Low,313,39.58597,-121.43311,48.32259259259259,0,106.65725888888889,8.662703703703704,21.012925925925927,Recent
CP2,High,2244.132886,38.66169,-120.13065,75.24033333333334,38.69699944444445,77.40944388888889,4.065,16.542166666666667,Recent
CP3,High,2266.382201,38.70649,-120.08797,57.84294444444444,41.66349888888888,74.61033277777778,3.467222222222222,15.757222222222222,Recent
DPR,Mid,1018.591893,39.22846,-120.81518,30.223399999999998,2.5984000000000016,97.371399,9.156366666666667,21.945766666666668,Recent
FR,Mid,787,40.01362,-121.18498,89.65248148148149,3.8547777777777767,58.68674074074074,7.463666666666667,22.903111111111112,Recent
IH,Low,454.1298385,39.09332,-120.92114,40.29376666666666,0.2008666666666662,101.415533,8.153066666666666,21.221633333333333,Recent
LV1,High,2593.416641,40.47471,-121.50486,65.547,29.987332666666664,75.84006466666666,2.434,16.4684,Recent
LV3,High,2353.550747,40.47917,-121.52311,53.5514,30.22806666666666,74.95099933333333,2.3912,16.481466666666666,Recent
LVTR1,High,2741.38982,40.47917,-121.5032,73.81646666666667,31.060531333333337,79.00846533333333,2.1051333333333333,16.348666666666666,Recent
SC,Low,421.5178299,38.41167,-120.73583000000001,42.623333333333335,0.03604761904761901,95.57819047619047,6.382333333333333,18.865761904761904,Recent
SQ1,Mid,1921.036585,36.56435,-118.7764,90.411625,8.870333333333333,44.652874583333336,6.699375,19.026125,Recent
SQ2,Mid,1934.45122,36.66557,-118.83543,69.04161904761905,8.540428571428569,46.074380952380956,6.852190476190477,19.32161904761905,Recent
SQ3,High,2373.170732,36.72109,-118.84933,77.86819047619048,19.446619047619052,50.01214238095238,4.786142857142857,17.17304761904762,Recent
TM2,Low,379.1526973,39.59255,-121.55072,30.943333333333335,0,134.10283291666667,7.212625,18.807291666666668,Recent
WL1,Mid,1613.837245,38.78608,-120.2143,68.22975,11.781791666666669,67.6412075,7.011791666666666,20.516666666666666,Recent
WL2,High,2020.115818,38.8263,-120.25242,64.09052380952382,26.249666190476184,68.33680857142858,5.6979999999999995,18.11,Recent
WR,Mid,1158,39.34346,-120.80659,53.16077777777778,6.275185185185184,92.68010962962963,9.099518518518519,21.632925925925925,Recent
WV,Mid,748.8570558,40.74084,-123.00364,55.226703703703706,6.7410740740740716,62.39822185185185,6.805296296296296,22.273888888888887,Recent
YO11,High,2872.295032,37.93844,-119.23157,76.57366666666667,6.362000000000004,30.422066666666666,2.0209333333333337,15.636533333333333,Recent
YO4,High,2157.57391,37.76378,-119.77244,66.52076190476191,19.46161904761905,56.43795238095238,5.780809523809523,17.968809523809522,Recent
YO7,High,2469.978665,37.80903,-119.56605,64.79611111111112,38.63822222222222,69.35594388888889,2.186722222222222,15.633222222222223,Recent
YO8,High,2590.97836,37.81117,-119.48624,80.98022222222222,41.07611055555556,68.94622166666667,1.6807777777777777,15.180944444444444,Recent
BH,Low,511.4294422,37.40985,-119.96458,50.840333333333334,0.029249999999999905,66.03583333333333,5.1505,18.853958333333335,Historical
CC,Low,313,39.58597,-121.43311,42.768708333333336,0.11887500000000045,111.88604166666667,6.36775,18.934,Historical
CP2,High,2244.132886,38.66169,-120.13065,80.0144,19.099333333333334,69.46873333333333,4.009,17.632466666666666,Historical
CP3,High,2266.382201,38.70649,-120.08797,60.51193333333333,21.256200000000007,67.61013333333334,3.5593333333333335,16.8068,Historical
DPR,Mid,1018.591893,39.22846,-120.81518,30.335,4.717851851851856,80.35318444444445,8.044777777777778,22.239555555555555,Historical
FR,Mid,787,40.01362,-121.18498,87.93,4.329333333333331,56.57455555555556,6.184444444444444,22.98425925925926,Historical
IH,Low,454.1298385,39.09332,-120.92114,41.8417,1.7659666666666725,96.64629933333333,7.100866666666667,20.882233333333332,Historical
LV1,High,2593.416641,40.47471,-121.50486,55.44775,60.77399666666667,125.61549666666666,-1.1798333333333335,13.845333333333333,Historical
LV3,High,2353.550747,40.47917,-121.52311,43.82575,61.46649666666667,123.828915,-1.2166666666666666,13.853083333333334,Historical
LVTR1,High,2741.38982,40.47917,-121.5032,60.36366666666667,63.55466416666666,131.26774666666668,-1.3655,13.68175,Historical
SC,Low,421.5178299,38.41167,-120.73583000000001,45.41558333333333,0.0746666666666667,84.07433333333333,5.389916666666667,18.75808333333333,Historical
SQ1,Mid,1921.036585,36.56435,-118.7764,86.01752380952381,13.709523809523802,51.9064280952381,5.038047619047619,17.721333333333334,Historical
SQ2,Mid,1934.45122,36.66557,-118.83543,62.8207619047619,13.958476190476194,53.733333333333334,5.0948095238095235,17.69595238095238,Historical
SQ3,High,2373.170732,36.72109,-118.84933,69.42238888888889,29.802055555555555,66.9084438888889,2.966833333333333,14.982333333333333,Historical
TM2,Low,379.1526973,39.59255,-121.55072,31.699916666666667,0.683416666666664,125.11458291666666,5.976958333333333,18.482,Historical
WL1,Mid,1613.837245,38.78608,-120.2143,66.402625,14.906166666666667,65.46770791666667,5.354916666666667,19.744791666666668,Historical
WL2,High,2020.115818,38.8263,-120.25242,59.62166666666667,34.50314238095238,73.8555238095238,3.930095238095238,17.158333333333335,Historical
