parent.pop,elevation.group,elev_m,ppt_dist,cwd_dist,tmn_dist,tmx_dist,ann_tmean_dist,mean_diurnal_range_dist,temp_seasonality_dist,temp_ann_range_dist,tmean_wettest_month_dist,tmean_driest_month_dist,ann_ppt_dist,ppt_seasonality_dist,ppt_warmest_month_dist,ppt_coldest_month_dist
BH,Low,511.4294422,-11.858750000000015,-19.002250000000004,-1.8314305555555555,-1.27836111111111,-1.554895833333335,0.5530694444444446,-0.7013530372755925,-2.0253333333333323,-0.5414999999999992,-6.002166666666664,-173.36000000000013,-22.972269658342356,5.730333333333333,-76.15766666666667
CC,Low,313,33.914124999999984,-27.11841666666667,-0.5805972222222229,-1.1713611111111106,-0.8759791666666672,-0.5907638888888886,-0.7055919783262921,-3.4233333333333356,-0.07816666666666805,-4.916999999999998,192.82299999999998,-25.991085826494185,12.721,43.57099999999997
CP2,High,2244.132886,-9.451733333333337,10.051000000000002,-2.950688888888889,-2.4605777777777753,-2.705633333333335,0.49011111111111383,-0.24694544739968993,-5.2706666666666635,-4.980666666666666,-9.903499999999998,-361.21866666666676,-3.4300876927282644,14.180666666666667,-51.579333333333324
CP3,High,2266.382201,-11.351066666666668,-9.383733333333332,-3.396755555555556,-3.2843777777777774,-3.340566666666666,0.1123777777777768,-0.2417740858709978,-5.56733333333333,-5.6035,-10.646666666666665,-370.71533333333343,-5.006956507055406,15.26,-59.27666666666667
DPR,Mid,1018.591893,4.003110370370365,-39.61585185185186,1.0788518518518524,2.109259259259261,1.594055555555558,1.0304074074074077,0.3415278875464125,-0.7206666666666663,-1.3365,-2.4501666666666644,36.02799333333326,8.708771132347195,2.4046666666666665,56.41099333333335
FR,Mid,787,-20.713629629629636,18.116703703703706,-0.7852592592592593,2.861555555555558,1.0381481481481476,3.6468148148148156,0.5623650470372272,2.194333333333333,-2.970833333333333,-3.104416666666662,-186.42266666666671,5.456242061633773,2.5243333333333333,-34.79933333333332
IH,Low,454.1298385,19.446399333333318,-28.091633333333334,0.13561111111111135,0.7508222222222223,0.44321666666666637,0.6152111111111136,0.9392520003126661,0.914666666666669,-1.4020000000000001,-1.7088333333333345,272.9539933333333,-6.889859826898146,1.571,64.1373266666667
LV1,High,2593.416641,48.36632999999999,-14.18566666666667,-8.103222222222222,-6.2191111111111095,-7.1611666666666665,1.884111111111114,-0.3189668501481151,-4.791999999999998,-8.072166666666666,-13.676499999999997,-198.98468000000008,-11.21756386220541,24.563666666666663,54.69465333333335
LV3,High,2353.550747,46.52099833333331,-25.821916666666667,-8.139055555555556,-6.21111111111111,-7.175083333333333,1.9279444444444458,-0.334929421476744,-4.786999999999999,-8.073,-13.704499999999998,-206.36600666666675,-11.276286599385188,24.068666666666665,50.25899333333331
LVTR1,High,2741.38982,54.04499666666666,-9.264083333333332,-8.285722222222223,-6.3816944444444434,-7.333708333333333,1.9040277777777792,-0.36159842118729113,-4.873333333333331,-7.904,-13.884999999999998,-176.2700133333334,-11.33051196557183,26.356333333333332,68.25832000000003
