parent.pop,elevation.group,elev_m,ppt_dist,cwd_dist,pck_dist,tmn_dist,tmx_dist,ann_tmean_dist,mean_diurnal_range_dist,temp_seasonality_dist,temp_ann_range_dist,tmean_wettest_month_dist,tmean_driest_month_dist,ann_ppt_dist,ppt_seasonality_dist,ppt_warmest_month_dist,ppt_coldest_month_dist
BH,Low,511.4294422,33.47791666666666,-30.67725,6.694083333333333,-3.617541666666666,-1.0372500000000002,-2.3273958333333358,2.5802916666666658,-1.464748110369146,-0.13533333333333175,7.0285,2.042833333333334,334.12999999999994,-63.89064791753704,0.11033333333333317,37.29233333333332
CC,Low,313,79.25079166666666,-38.793416666666666,6.6044583333333335,-2.3667083333333334,-0.9302500000000009,-1.648479166666668,1.4364583333333325,-1.4689870514198455,-1.533333333333335,7.491833333333331,3.128,700.3130000000001,-66.90946408568887,7.101,157.02099999999996
CP2,High,2244.132886,35.884933333333336,-1.6239999999999952,-11.714199999999995,-4.7368,-2.2194666666666656,-3.4781333333333357,2.517333333333335,-1.0103405204932434,-3.380666666666663,2.5893333333333333,-1.8584999999999994,146.2713333333333,-44.34846595192295,8.560666666666666,61.870666666666665
CP3,High,2266.382201,33.985600000000005,-21.05873333333333,-13.997733333333336,-5.1828666666666665,-3.0432666666666677,-4.113066666666667,2.139599999999998,-1.0051691589645513,-3.67733333333333,1.9664999999999995,-2.6016666666666666,136.77466666666663,-45.92533476625009,9.64,54.17333333333332
DPR,Mid,1018.591893,49.33977703703704,-51.290851851851855,1.5891851851851806,-0.7072592592592581,2.3503703703703707,0.8215555555555571,3.057629629629629,-0.421867185547141,1.1693333333333342,6.233499999999999,5.594833333333334,543.5179933333334,-32.20960712684749,-3.2153333333333336,169.86099333333334
FR,Mid,787,24.623037037037037,6.441703703703709,2.185851851851858,-2.57137037037037,3.102666666666668,0.26564814814814675,5.674037037037037,-0.20103002605632625,4.084333333333333,4.599166666666666,4.940583333333336,321.06733333333335,-35.46213619756091,-3.095666666666667,78.65066666666667
IH,Low,454.1298385,64.78306599999999,-39.76663333333333,4.957366666666662,-1.6504999999999992,0.991933333333332,-0.3292833333333345,2.6424333333333347,0.1758569272191126,2.8046666666666695,6.167999999999999,6.336166666666664,780.4439933333333,-47.80823808609283,-4.049,177.58732666666668
LV1,High,2593.416641,93.70299666666666,-25.860666666666667,-54.92724666666666,-9.889333333333333,-5.978,-7.933666666666667,3.911333333333335,-1.0823619232416686,-2.9019999999999975,-0.5021666666666671,-5.631499999999999,308.50532,-52.13594212140009,18.943666666666662,168.14465333333334
LV3,High,2353.550747,91.85766499999998,-37.496916666666664,-55.57299666666667,-9.925166666666666,-5.970000000000001,-7.947583333333334,3.955166666666667,-1.0983244945702975,-2.8969999999999985,-0.5030000000000003,-5.6594999999999995,301.1239933333333,-52.19466485857987,18.448666666666664,163.7089933333333
LVTR1,High,2741.38982,99.38166333333334,-20.93908333333333,-57.73483083333334,-10.071833333333332,-6.140583333333334,-8.106208333333335,3.9312500000000004,-1.1249934942808446,-2.9833333333333307,-0.3340000000000003,-5.84,331.21998666666667,-52.24889022476651,20.73633333333333,181.70832000000001
