parent.pop,elevation.group,elev_m,ppt_dist,cwd_dist,pck_dist,tmn_dist,tmx_dist,ann_tmean_dist,mean_diurnal_range_dist,temp_seasonality_dist,temp_ann_range_dist,tmean_wettest_month_dist,tmean_driest_month_dist,ann_ppt_dist,ppt_seasonality_dist,ppt_warmest_month_dist,ppt_coldest_month_dist
BH,Low,511.4294422,-32.88249999999999,30.474666666666664,6.694083333333333,3.5744999999999996,1.0093749999999986,1.3517380952380957,-2.2024285714285696,1.1977155886192268,0.8243333333333318,-6.673333333333333,-4.1228333333333325,-304.78,59.352653342656225,-0.7283333333333335,-54.778666666666624
CC,Low,313,-78.73270833333335,38.54629166666666,6.6044583333333335,2.3572499999999996,0.9293333333333322,-0.543648148148149,-1.211888888888888,0.3283156922452086,-1.1713333333333402,-7.293,-8.877750000000002,-760.99533,54.924369535601755,4.664,-183.61599666666666
CP2,High,2244.132886,-36.3154,1.3006000000000029,-12.376000000000005,4.715999999999999,2.2308666666666674,3.9905833333333334,-1.3388333333333335,-0.6495817477450139,0.19433333333332925,-0.049499999999999655,-0.17983333333333462,-265.5366633333333,33.787778720227664,-1.4659999999999993,-113.60566333333333
CP3,High,2266.382201,-34.4568,20.803066666666666,-14.532866666666674,5.165666666666667,3.056533333333334,4.681944444444445,-1.1516666666666655,-0.6864905204373919,0.23433333333333195,0.64400000000000035,0.4566666666666652,-248.7419966666667,35.98823491769416,-2.322,-101.36533
DPR,Mid,1018.591893,-47.199851111111116,50.98,2.0054814814814774,0.6802222222222216,-2.3762222222222213,-1.2569,-1.651066666666667,0.0650074882807985,-0.72366666666667,-5.150666666666666,-7.015969444444444,-774.7939899999999,33.31689047356193,5.519,-235.15065666666663
FR,Mid,787,-23.421222222222227,-6.615000000000009,2.394000000000003,2.5405555555555557,-3.1209259259259277,-0.8892222222222212,-4.30111111111111,-0.013101145793252833,-3.1966666666666725,-4.7188333333333325,-5.887583333333335,-329.2606666666666,32.08887733749282,4.133,-91.84933333333336
IH,Low,454.1298385,-63.49296599999998,39.473299999999995,4.957366666666661,1.624133333333333,-1.0188999999999986,-0.393183333333333,-1.9302333333333337,-0.2107460819368674,-1.9376666666666722,-6.142666666666666,-8.209555555555557,-815.23533,46.873221645689114,5.548,-194.71866333333332
LV1,High,2593.416641,-92.46216333333332,25.86725,-54.05066333333333,9.904833333333332,6.018000000000001,4.842966666666667,-2.896066666666666,0.6970538592250479,2.658999999999999,-0.8309999999999995,2.689583333333333,-180.28032333333334,27.264759464345786,-8.255833333333332,-105.14598999999998
LV3,High,2353.550747,-90.67558166666666,37.48925,-54.743163333333335,9.941666666666666,6.010249999999999,4.857833333333334,-2.951933333333333,0.7149661717809721,2.65433333333333,-0.8464999999999998,2.725249999999999,-175.8349966666666,27.444771681202553,-8.109333333333332,-102.03966333333332
LVTR1,High,2741.38982,-98.11441333333335,20.95133333333333,-56.831330833333325,10.090499999999999,6.181583333333334,5.067266666666667,-3.1052,0.7378585660558876,2.583999999999996,-0.7083333333333335,2.966166666666668,-196.12232666666665,27.67948836554561,-9.846666666666668,-114.92032666666665
SC,Low,421.5178299,-50.92099999999999,35.89941666666667,6.648666666666667,3.3350833333333325,1.1052500000000016,1.670119047619048,-1.3450952380952383,1.5915933158012985,2.5143333333333295,-7.005166666666667,-3.4813333333333354,-470.1273333333333,64.26753334823499,-2.5330000000000004,-104.41433333333336
SQ1,Mid,1921.036585,-18.753094761904762,-4.702523809523811,-6.986190476190468,3.6869523809523805,2.1419999999999995,1.4314166666666672,-1.188416666666667,0.27910168751532627,0.3063333333333347,-2.671666666666667,-0.3177500000000002,-158.30299666666662,20.917719806076462,-0.23366666666666625,-40.50432999999998
SQ2,Mid,1934.45122,-20.58,18.494238095238096,-7.23514285714286,3.630190476190476,2.1673809523809524,1.2072619047619053,-1.3310952380952372,-0.02873793024579996,0.32466666666666555,-3.0536666666666665,0.04441666666666677,-123.60066666666665,15.15897077764427,0.30299999999999994,-43.07266666666666
SQ3,High,2373.170732,-33.75511055555556,11.892611111111108,-23.078722222222222,5.758166666666666,4.881000000000002,3.31457142857143,-1.2485714285714309,0.15686863967377818,0.7409999999999961,-1.1294999999999997,2.2939999999999987,-151.16499666666664,16.434900666560623,-0.886333333333333,-58.01766333333336
TM2,Low,379.1526973,-91.96124958333333,49.61508333333333,6.039916666666669,2.7480416666666665,1.381333333333334,1.2842083333333338,-0.45633333333333503,1.6901459145298672,3.185666666666666,-6.818499999999999,-2.9093333333333327,-873.9026633333333,66.7265046428703,-9.697333333333333,-222.03999666666664
WL1,Mid,1613.837245,-32.31437458333333,14.912374999999997,-8.182833333333335,3.3700833333333327,0.11854166666666544,0.5299374999999991,-2.3665416666666665,0.303479225599121,-0.45666666666667055,-3.3756666666666666,-3.1242777777777775,-342.20965999999993,29.87089697491919,3.6333333333333333,-111.92699333333331
WL2,High,2020.115818,-40.70219047619047,21.693333333333328,-27.77980904761905,4.794904761904762,2.7049999999999983,2.3901666666666674,-1.2736666666666672,-0.1087428360083269,0.42366666666666575,-1.259833333333333,-1.0236666666666672,-279.43766,25.892586146632283,0.8506666666666671,-112.70632666666666
WR,Mid,1158,-53.22129041666666,30.84075,-3.520416666666672,1.103791666666666,-1.9679166666666674,-1.0720555555555542,-1.3950740740740741,0.1723155049276759,0.055999999999997385,-5.604833333333333,-5.7350833333333355,-635.2009866666667,29.995070662019202,5.225666666666667,-222.80898666666667
WV,Mid,748.8570558,-27.00995833333333,23.262416666666667,-2.733291666666669,2.6374166666666667,-2.614583333333332,-0.24542592592592527,-4.3302592592592575,-0.11957766623095267,-3.1783333333333346,-4.173166666666666,-4.811333333333334,-362.6639966666666,30.706467991198252,0.7229999999999999,-101.17566333333332
