BedLoc,block,Genotype,pop.mf,parent.pop,mf,rep,height.cm,long.leaf.cm,Site,Garden_Lat,Garden_Long,Garden_Elev,elevation.group,elev_m,Lat,Long,GrwSsn_GD_Recent,GrwSsn_GD_Historical,Wtr_Year_GD_Recent,Wtr_Year_GD_Historical,Geographic_Dist,Elev_Dist
D1_9_C,D1,BH_1_8,BH_1,BH,1,8,2.1,2.2,UCD,38.5325,-121.783,16,Low,511.4294422,37.40985,-119.96458,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,202681.18817083153,495.4294422
D2_30_D,D2,BH_1_10,BH_1,BH,1,10,2.3,1.8,UCD,38.5325,-121.783,16,Low,511.4294422,37.40985,-119.96458,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,202681.18817083153,495.4294422
J2_37_B,J2,BH_1_7,BH_1,BH,1,7,3,3.2,UCD,38.5325,-121.783,16,Low,511.4294422,37.40985,-119.96458,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,202681.18817083153,495.4294422
A_7_D,A,BH_1_3,BH_1,BH,1,3,NA,NA,WL2,38.82599,-120.2509,2020,Low,511.4294422,37.40985,-119.96458,0.2635424813135409,0.2609243489216868,0.7141615872159702,0.6473010342966006,159625.59620443787,-1508.5705578
A_37_D,B,BH_1_4,BH_1,BH,1,4,2.1,3.4,WL2,38.82599,-120.2509,2020,Low,511.4294422,37.40985,-119.96458,0.2635424813135409,0.2609243489216868,0.7141615872159702,0.6473010342966006,159625.59620443787,-1508.5705578
B_6_C,D,BH_1_6,BH_1,BH,1,6,NA,NA,WL2,38.82599,-120.2509,2020,Low,511.4294422,37.40985,-119.96458,0.2635424813135409,0.2609243489216868,0.7141615872159702,0.6473010342966006,159625.59620443787,-1508.5705578
B_46_D,C,BH_1_5,BH_1,BH,1,5,NA,NA,WL2,38.82599,-120.2509,2020,Low,511.4294422,37.40985,-119.96458,0.2635424813135409,0.2609243489216868,0.7141615872159702,0.6473010342966006,159625.59620443787,-1508.5705578
C_40_B,E,BH_1_7,BH_1,BH,1,7,3.8,2.6,WL2,38.82599,-120.2509,2020,Low,511.4294422,37.40985,-119.96458,0.2635424813135409,0.2609243489216868,0.7141615872159702,0.6473010342966006,159625.59620443787,-1508.5705578
D_30_B,G,BH_1_9,BH_1,BH,1,9,NA,NA,WL2,38.82599,-120.2509,2020,Low,511.4294422,37.40985,-119.96458,0.2635424813135409,0.2609243489216868,0.7141615872159702,0.6473010342966006,159625.59620443787,-1508.5705578
D_47_D,F,BH_1_8,BH_1,BH,1,8,NA,NA,WL2,38.82599,-120.2509,2020,Low,511.4294422,37.40985,-119.96458,0.2635424813135409,0.2609243489216868,0.7141615872159702,0.6473010342966006,159625.59620443787,-1508.5705578
E_23_C,H,BH_1_10,BH_1,BH,1,10,5.9,4.9,WL2,38.82599,-120.2509,2020,Low,511.4294422,37.40985,-119.96458,0.2635424813135409,0.2609243489216868,0.7141615872159702,0.6473010342966006,159625.59620443787,-1508.5705578
E_51_D,I,BH_1_11,BH_1,BH,1,11,NA,NA,WL2,38.82599,-120.2509,2020,Low,511.4294422,37.40985,-119.96458,0.2635424813135409,0.2609243489216868,0.7141615872159702,0.6473010342966006,159625.59620443787,-1508.5705578
G_9_A,J,BH_1_12,BH_1,BH,1,12,6.1,4,WL2,38.82599,-120.2509,2020,Low,511.4294422,37.40985,-119.96458,0.2635424813135409,0.2609243489216868,0.7141615872159702,0.6473010342966006,159625.59620443787,-1508.5705578
G_37_B,K,BH_1_13,BH_1,BH,1,13,3.3,3.2,WL2,38.82599,-120.2509,2020,Low,511.4294422,37.40985,-119.96458,0.2635424813135409,0.2609243489216868,0.7141615872159702,0.6473010342966006,159625.59620443787,-1508.5705578
I_18_A,L,BH_1_1,BH_1,BH,1,1,4.4,3.4,WL2,38.82599,-120.2509,2020,Low,511.4294422,37.40985,-119.96458,0.2635424813135409,0.2609243489216868,0.7141615872159702,0.6473010342966006,159625.59620443787,-1508.5705578
I_22_C,M,BH_1_2,BH_1,BH,1,2,NA,NA,WL2,38.82599,-120.2509,2020,Low,511.4294422,37.40985,-119.96458,0.2635424813135409,0.2609243489216868,0.7141615872159702,0.6473010342966006,159625.59620443787,-1508.5705578
D1_19_B,D1,BH_2_8,BH_2,BH,2,8,3.7,2.7,UCD,38.5325,-121.783,16,Low,511.4294422,37.40985,-119.96458,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,202681.18817083153,495.4294422
D2_29_D,D2,BH_2_9,BH_2,BH,2,9,2.9,3.3,UCD,38.5325,-121.783,16,Low,511.4294422,37.40985,-119.96458,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,202681.18817083153,495.4294422
F1_17_B,F1,BH_2_10,BH_2,BH,2,10,3.4,2.8,UCD,38.5325,-121.783,16,Low,511.4294422,37.40985,-119.96458,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,202681.18817083153,495.4294422
F2_33_D,F2,BH_2_11,BH_2,BH,2,11,3.6,3,UCD,38.5325,-121.783,16,Low,511.4294422,37.40985,-119.96458,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,202681.18817083153,495.4294422
F2_35_D,F2,BH_2_1,BH_2,BH,2,1,3.7,3.2,UCD,38.5325,-121.783,16,Low,511.4294422,37.40985,-119.96458,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,202681.18817083153,495.4294422
H1_4_B,H1,BH_2_12,BH_2,BH,2,12,4.5,3.4,UCD,38.5325,-121.783,16,Low,511.4294422,37.40985,-119.96458,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,202681.18817083153,495.4294422
H1_17_C,H1,BH_2_2,BH_2,BH,2,2,3.5,1.9,UCD,38.5325,-121.783,16,Low,511.4294422,37.40985,-119.96458,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,202681.18817083153,495.4294422
H2_22_D,H2,BH_2_3,BH_2,BH,2,3,2.8,3,UCD,38.5325,-121.783,16,Low,511.4294422,37.40985,-119.96458,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,202681.18817083153,495.4294422
H2_35_C,H2,BH_2_13,BH_2,BH,2,13,2.5,2.5,UCD,38.5325,-121.783,16,Low,511.4294422,37.40985,-119.96458,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,202681.18817083153,495.4294422
J2_25_D,J2,BH_2_5,BH_2,BH,2,5,1.9,3.4,UCD,38.5325,-121.783,16,Low,511.4294422,37.40985,-119.96458,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,202681.18817083153,495.4294422
J1_4_B,J1,BH_2_4,BH_2,BH,2,4,2.3,3,UCD,38.5325,-121.783,16,Low,511.4294422,37.40985,-119.96458,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,202681.18817083153,495.4294422
L1_5_B,L1,BH_2_6,BH_2,BH,2,6,2.8,4.1,UCD,38.5325,-121.783,16,Low,511.4294422,37.40985,-119.96458,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,202681.18817083153,495.4294422
L1_10_A,L1,BH_2_14,BH_2,BH,2,14,1.4,1.6,UCD,38.5325,-121.783,16,Low,511.4294422,37.40985,-119.96458,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,202681.18817083153,495.4294422
L2_28_D,L2,BH_2_7,BH_2,BH,2,7,2.9,3.2,UCD,38.5325,-121.783,16,Low,511.4294422,37.40985,-119.96458,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,202681.18817083153,495.4294422
A_17_D,A,BH_2_3,BH_2,BH,2,3,6.9,4.3,WL2,38.82599,-120.2509,2020,Low,511.4294422,37.40985,-119.96458,0.2635424813135409,0.2609243489216868,0.7141615872159702,0.6473010342966006,159625.59620443787,-1508.5705578
B_42_A,C,BH_2_5,BH_2,BH,2,5,10.7,6.7,WL2,38.82599,-120.2509,2020,Low,511.4294422,37.40985,-119.96458,0.2635424813135409,0.2609243489216868,0.7141615872159702,0.6473010342966006,159625.59620443787,-1508.5705578
B_5_C,D,BH_2_6,BH_2,BH,2,6,NA,NA,WL2,38.82599,-120.2509,2020,Low,511.4294422,37.40985,-119.96458,0.2635424813135409,0.2609243489216868,0.7141615872159702,0.6473010342966006,159625.59620443787,-1508.5705578
B_57_D,B,BH_2_4,BH_2,BH,2,4,7.1,5.9,WL2,38.82599,-120.2509,2020,Low,511.4294422,37.40985,-119.96458,0.2635424813135409,0.2609243489216868,0.7141615872159702,0.6473010342966006,159625.59620443787,-1508.5705578
C_27_B,E,BH_2_7,BH_2,BH,2,7,NA,NA,WL2,38.82599,-120.2509,2020,Low,511.4294422,37.40985,-119.96458,0.2635424813135409,0.2609243489216868,0.7141615872159702,0.6473010342966006,159625.59620443787,-1508.5705578
C_56_A,F,BH_2_8,BH_2,BH,2,8,NA,NA,WL2,38.82599,-120.2509,2020,Low,511.4294422,37.40985,-119.96458,0.2635424813135409,0.2609243489216868,0.7141615872159702,0.6473010342966006,159625.59620443787,-1508.5705578
D_20_D,G,BH_2_9,BH_2,BH,2,9,NA,NA,WL2,38.82599,-120.2509,2020,Low,511.4294422,37.40985,-119.96458,0.2635424813135409,0.2609243489216868,0.7141615872159702,0.6473010342966006,159625.59620443787,-1508.5705578
