survey_date,block,row,col,pop,mf,rep,previous_census_height,height_cm,previous_census_length,longest_leaf_cm,notes,BQC Investigation Notes
3/3/23,B1,8,B,TM2,7,1,NA,2.4,NA,2.9,NA,"seemingly written on the wrong line on 0217, B1-8-A never germinated according to germ datasheet"
3/3/23,B2,25,B,SQ3,7,1,NA,0.1,0.2,0.2,NA,"<0.1 on 0217, but couldn't keep that in the data (not a number)"
3/3/23,B2,27,B,WL2,7,11,NA,0.2,NA,2,NA,"seemingly written on the wrong line on 0217, B2-27-A never germinated according to germ datasheet"
3/3/23,B2,36,A,CP2,2,10,NA,1.1,NA,0.1,NA,"seemingly written on the wrong line on 0217, B2-35-B never germinated according to germ datasheet"
3/3/23,C2,24,A,LV1,1,10,NA,0.2,NA,0.3,NA,germinated after first size census
3/3/23,C2,30,C,YO4,4,8,NA,1.1,NA,1,NA,germinated after first size census
3/3/23,G2,27,D,WR,1,4,NA,1.8,NA,0.5,NA,germinated after first size census
3/3/23,G2,41,D,SQ3,6,1,NA,0.3,NA,0.2,NA,
3/3/23,I2,31,D,DPR,7,11,NA,1,NA,NA,NA,
3/3/23,K2,26,C,CP3,7,5,NA,0.9,NA,0.6,NA,
3/17/23,E2,24,B,SQ3,1,9,NA,0.7,NA,2.4,NA,
3/17/23,E1,21,C,CP3,5,2,NA,0.1,NA,0.3,NA,
3/17/23,K1,6,B,DPR,7,12,NA,0.2,NA,0.2,NA,
3/17/23,K1,13,A,CP3,1,9,NA,0.2,NA,0.3,NA,
3/17/23,M1,17,C,YO11,5,11,NA,0.2,NA,0.1,NA,
3/17/23,M2,34,C,LV1,7,12,NA,0.1,NA,0.3,NA,
3/17/23,M2,39,C,CP2,4,3,NA,0.3,NA,0.5,NA,
3/17/23,N1,11,B,YO11,6,1,NA,0.5,NA,0.2,NA,
3/24/23,C2,40,A,YO11,5,8,NA,0.3,NA,0.3,NA,
3/24/23,E2,38,D,YO4,2,5,NA,4.2,NA,3.3,NA,
3/24/23,G2,31,A,YO11,4,12,NA,0.2,NA,0.2,NA,
3/24/23,K2,39,B,LVTR1,7,12,NA,0.3,NA,0.2,NA,
3/24/23,M1,17,D,SQ3,2,9,NA,0.5,NA,1.7,NA,
4/3/23,C1,16,B,WL2,3,3,NA,1.4,NA,1.3,NA,
4/3/23,G2,23,B,WL1,3,4,NA,0.1,NA,0.2,NA,
4/3/23,G2,34,B,SQ3,4,9,NA,0.4,NA,0.3,unsure of species,
4/3/23,G2,35,B,LV1,3,7,NA,0.5,NA,0.3,NA,
4/3/23,G2,43,B,LVTR1,5,9,NA,0.4,NA,0.2,NA,
4/3/23,G2,37,D,WV,6,7,NA,0.1,NA,0.2,NA,
4/3/23,G2,43,C,SQ2,5,2,NA,0.8,NA,0.7,NA,
4/3/23,I1,4,A,CP3,4,8,NA,0.4,NA,0.3,NA,
4/3/23,K1,3,A,LV1,3,10,NA,0.6,NA,0.4,NA,
4/3/23,K1,16,C,SQ3,5,5,NA,0.3,NA,NA,leaves not budded yet,
4/3/23,M1,6,C,WL2,7,12,NA,1.6,NA,0.4,NA,
4/3/23,M1,8,D,IH,6,8,NA,0.3,NA,NA,too small to measure,
4/3/23,M2,24,D,LV3,7,7,NA,0.5,NA,0.3,NA,
4/3/23,N1,11,B,YO11,6,1,NA,0.7,NA,0.2,NA,
4/10/23,B2,24,C,SQ2,6,9,NA,0.7,NA,0.2,NA,
4/10/23,B2,33,D,IH,6,7,NA,0.3,NA,0.3,not sure if our species,
4/10/23,C1,13,B,LVTR1,2,1,NA,0.2,NA,0.3,NA,
4/10/23,C2,23,A,YO7,2,12,NA,0.3,NA,0.5,NA,
4/10/23,E1,7,A,YO4,4,12,NA,0.3,NA,0.3,NA,
4/10/23,I2,37,B,SQ2,7,9,NA,0.4,NA,2,NA,
4/17/23,B2,27,B,WL2,7,11,NA,0.2,NA,0.7,not sure,
4/17/23,B2,39,B,CP3,4,13,NA,0.5,NA,0.5,Species ID unsure,
4/17/23,G1,5,A,CP2,4,10,NA,1.9,NA,2.1,NA,
4/17/23,G1,5,B,DPR,1,11,NA,0.4,NA,0.3,NA,
4/17/23,I2,43,C,CP3,3,1,NA,0.2,NA,0.3,NA,
4/24/23,I2,40,B,SQ3,7,9,NA,1,NA,4.9,NA,
5/1/23,I2,37,B,SQ2,7,9,NA,3.6,NA,4.4,NA,
5/8/23,I2,40,B,SQ3,7,9,NA,2.7,NA,5.2,NA,
6/5/23,N1,15,B,SQ3,2,11,NA,8.7,NA,5.4,NA,
7/3/23,I1,1,B,YO4,4,2,NA,10.5,NA,1.5,NA,
7/10/23,B1,8,B,TM2,7,1,NA,77.5,NA,2.1,NA,
7/10/23,B1,9,A,WL2,1,6,NA,6.7,NA,2.4,NA,
7/10/23,B2,25,B,SQ3,7,1,NA,11.5,NA,2.4,NA,
7/10/23,C1,5,C,CP3,7,2,NA,6.7,NA,2.7,NA,
7/10/23,C1,14,C,YO4,3,13,NA,8.1,NA,3.2,NA,
7/10/23,C1,18,C,LVTR1,3,5,NA,9.5,NA,4.4,NA,
7/10/23,E2,33,B,WR,2,13,NA,7.2,NA,3.1,NA,
7/10/23,E2,34,A,YO7,7,9,NA,11.5,NA,2,NA,
7/10/23,G1,5,A,CP2,4,10,NA,3.9,NA,1.7,NA,
7/10/23,G1,14,B,SQ3,2,7,NA,3.6,NA,3,NA,
7/10/23,G1,4,C,LV1,1,11,NA,4.3,NA,1.3,NA,
7/10/23,G1,6,C,LVTR1,6,10,NA,5.1,NA,2.3,NA,
7/10/23,G1,7,C,YO7,4,6,NA,6.6,NA,2.2,NA,
7/10/23,G1,17,C,YO7,7,4,NA,5.3,NA,2.7,NA,
7/10/23,G2,36,C,SQ1,5,6,NA,5.1,NA,5,NA,
7/10/23,N1,14,B,SQ3,5,12,NA,5.1,NA,4.9,NA,
7/10/23,N1,15,B,SQ3,2,11,NA,6.4,NA,2.6,NA,
7/24/23,B1,12,A,SQ2,3,10,NA,2,NA,1.1,NA,
