survey_month,model,effect,group,term,estimate,std.error,statistic,df,p.value
dec_size,height_model_1,fixed,NA,(Intercept),1.4542113004774297,0.07071994151481857,20.56295960274113,20.758520718727816,2.788438987571323e-15
dec_size,height_model_1,ran_pars,mf:parent.pop,sd__(Intercept),0.1251052020359535,NA,NA,NA,NA
dec_size,height_model_1,ran_pars,parent.pop,sd__(Intercept),0.317586322554309,NA,NA,NA,NA
dec_size,height_model_1,ran_pars,Residual,sd__Observation,0.29853471428689926,NA,NA,NA,NA
dec_size,height_model_2,fixed,NA,(Intercept),1.8724194147650264,0.11338045429030015,16.514481499349703,17.177154600997046,5.612954630369354e-12
dec_size,height_model_2,fixed,NA,elev_m,-2.5041857138389167e-4,6.075136137547612e-5,-4.122024028995336,18.25884024744613,6.234786150643843e-4
dec_size,height_model_2,ran_pars,mf:parent.pop,sd__(Intercept),0.12505766555027265,NA,NA,NA,NA
dec_size,height_model_2,ran_pars,parent.pop,sd__(Intercept),0.2292822688542106,NA,NA,NA,NA
dec_size,height_model_2,ran_pars,Residual,sd__Observation,0.29864327908732435,NA,NA,NA,NA
dec_size,leaf_model_1,fixed,NA,(Intercept),1.9293698063784532,0.09595475939469296,20.107077736939875,21.001202428674308,3.366609805886498e-15
dec_size,leaf_model_1,ran_pars,mf:parent.pop,sd__(Intercept),0.12547802870133454,NA,NA,NA,NA
dec_size,leaf_model_1,ran_pars,parent.pop,sd__(Intercept),0.41793444793915846,NA,NA,NA,NA
dec_size,leaf_model_1,ran_pars,Residual,sd__Observation,0.6328820462044124,NA,NA,NA,NA
dec_size,leaf_model_2,fixed,NA,(Intercept),2.5175285462859542,0.13457621220094204,18.70708429902095,13.19802693484125,6.928216308037681e-11
dec_size,leaf_model_2,fixed,NA,elev_m,-3.6125781722548073e-4,7.403567956531131e-5,-4.879509708650591,15.196317853768205,1.929845609327575e-4
dec_size,leaf_model_2,ran_pars,mf:parent.pop,sd__(Intercept),0.12453670166240406,NA,NA,NA,NA
dec_size,leaf_model_2,ran_pars,parent.pop,sd__(Intercept),0.2585298952348901,NA,NA,NA,NA
dec_size,leaf_model_2,ran_pars,Residual,sd__Observation,0.6338306143367387,NA,NA,NA,NA
