survey_month,model,effect,group,term,estimate,std.error,statistic,df,p.value
dec_size,height_model_1,fixed,NA,(Intercept),1.4435127586017684,0.06945056267714729,20.784752534146946,21.77612217356456,7.547898434775338e-16
dec_size,height_model_1,ran_pars,mf:parent.pop,sd__(Intercept),0.12440507102503001,NA,NA,NA,NA
dec_size,height_model_1,ran_pars,parent.pop,sd__(Intercept),0.31657160452998634,NA,NA,NA,NA
dec_size,height_model_1,ran_pars,Residual,sd__Observation,0.2998890816401999,NA,NA,NA,NA
dec_size,height_model_2,fixed,NA,(Intercept),1.8301129527112332,0.11413718854565338,16.03432655062475,17.59885608374541,6.094169071072697e-12
dec_size,height_model_2,fixed,NA,elev_m,-2.334499635157422e-4,6.17545219598384e-5,-3.780289379740721,18.335030576464305,0.0013333072105690125
dec_size,height_model_2,ran_pars,mf:parent.pop,sd__(Intercept),0.12491525450865071,NA,NA,NA,NA
dec_size,height_model_2,ran_pars,parent.pop,sd__(Intercept),0.2370625806629207,NA,NA,NA,NA
dec_size,height_model_2,ran_pars,Residual,sd__Observation,0.30008901102540736,NA,NA,NA,NA
dec_size,leaf_model_1,fixed,NA,(Intercept),1.9033752827206716,0.09724028416010487,19.57393789169506,20.885157476599733,6.4895782374812235e-15
dec_size,leaf_model_1,ran_pars,mf:parent.pop,sd__(Intercept),0.12614003469088686,NA,NA,NA,NA
dec_size,leaf_model_1,ran_pars,parent.pop,sd__(Intercept),0.4300895542393959,NA,NA,NA,NA
dec_size,leaf_model_1,ran_pars,Residual,sd__Observation,0.6329944845262947,NA,NA,NA,NA
dec_size,leaf_model_2,fixed,NA,(Intercept),2.4547346271912596,0.1423156261639824,17.248524939649318,12.481779784960896,4.4286469411528576e-10
dec_size,leaf_model_2,fixed,NA,elev_m,-3.3513523276414235e-4,7.846417896203715e-5,-4.271187657826494,13.977267718308422,7.78338897769554e-4
dec_size,leaf_model_2,ran_pars,mf:parent.pop,sd__(Intercept),0.1277031933308482,NA,NA,NA,NA
dec_size,leaf_model_2,ran_pars,parent.pop,sd__(Intercept),0.28092976707864187,NA,NA,NA,NA
dec_size,leaf_model_2,ran_pars,Residual,sd__Observation,0.6346422844597777,NA,NA,NA,NA
