block,row,col,parent.pop,mf,rep,diam,height,total_branch,longest_leaf,flowers,fruits,longest_fruit,repro_branch,phylogroup,elevation.group,UCD.seed.year,Lat,Long,elev_m
D1,4,D,YO7,8,1,7.83,8.3,9,3.8,0,0,NA,0,1,High,2020,37.80903,-119.56605,2469.978665
D2,26,B,BH,5,15,15.24,66.6,7,6.7,10,2,6.8,2,4,Low,2021,37.40985,-119.96458,511.4294422
D2,29,C,BH,4,13,24.14,26.8,3,6.2,0,0,NA,0,4,Low,2021,37.40985,-119.96458,511.4294422
D2,29,D,BH,2,9,12.52,38.1,3,5.9,0,2,1.3,1,4,Low,2021,37.40985,-119.96458,511.4294422
D2,30,B,BH,4,3,18.58,65,5,8,0,0,NA,0,4,Low,2021,37.40985,-119.96458,511.4294422
D2,31,B,TM2,4,11,12.87,59.4,1,NA,18,250,8.6,3,6,Low,2021,39.59255,-121.55072,379.1526973
D2,35,D,BH,3,6,10.48,65.8,2,NA,33,286,12.9,2,4,Low,2021,37.40985,-119.96458,511.4294422
F1,4,C,TM2,5,7,17.36,76.2,1,NA,4,661,9,1,6,Low,2021,39.59255,-121.55072,379.1526973
F1,15,A,BH,6,9,28.08,111.9,6,9.5,0,0,NA,0,4,Low,2021,37.40985,-119.96458,511.4294422
F2,27,B,WL2,3,13,10.77,8.2,7,3.3,0,0,NA,0,2,High,2020,38.8263,-120.25242,2020.115818
F2,29,B,BH,4,5,15.58,32.2,3,7.3,0,0,NA,0,4,Low,2021,37.40985,-119.96458,511.4294422
F2,35,D,BH,2,1,14.24,64.9,3,NA,8,35,6.7,1,4,Low,2021,37.40985,-119.96458,511.4294422
F2,40,B,BH,5,12,26.41,69.7,7,9.2,0,0,NA,0,4,Low,2021,37.40985,-119.96458,511.4294422
F2,40,D,TM2,1,4,7.2,26.6,1,NA,5,4,5.1,1,6,Low,2021,39.59255,-121.55072,379.1526973
H1,4,B,BH,2,12,13.02,25.5,1,6.6,0,0,NA,0,4,Low,2021,37.40985,-119.96458,511.4294422
H1,5,B,SC,4,2,12.28,27.2,1,6.9,0,0,NA,1,4,Low,2021,38.41167,-120.73583,421.5178299
H1,8,B,BH,3,9,35.67,84.4,8,8.1,0,0,NA,0,4,Low,2021,37.40985,-119.96458,511.4294422
H1,10,A,WL2,4,4,3.67,25.7,6,2.8,0,0,NA,0,2,High,2020,38.8263,-120.25242,2020.115818
H1,10,C,BH,6,11,14.78,43.1,1,6,0,0,NA,0,4,Low,2021,37.40985,-119.96458,511.4294422
H1,13,B,CP2,3,3,6.28,5.5,1,1.2,0,0,NA,NA,2,High,2019,38.66169,-120.13065,2244.132886
H1,14,A,BH,5,3,13.03,21.5,1,5.7,0,0,NA,0,4,Low,2021,37.40985,-119.96458,511.4294422
H1,14,D,SC,5,3,11.47,20.9,1,5.1,0,0,NA,0,4,Low,2021,38.41167,-120.73583,421.5178299
H1,15,C,CP2,3,10,8.28,25.5,2,NA,5,144,5.8,1,2,High,2019,38.66169,-120.13065,2244.132886
H1,17,B,DPR,5,2,8.73,43.9,1,NA,116,0,NA,1,5,Mid,2020,39.22846,-120.81518,1018.591893
H1,19,A,TM2,5,1,9.7,67,1,NA,111,25,5.6,1,6,Low,2021,39.59255,-121.55072,379.1526973
H2,23,C,BH,7,22,5.36,8.3,1,5.5,0,0,NA,0,4,Low,2021,37.40985,-119.96458,511.4294422
H2,24,B,BH,5,29,21.31,70,1,NA,44,508,10.3,1,4,Low,2021,37.40985,-119.96458,511.4294422
