parent.pop,elev_m,N_height,mean_height_cm,sem_height_cm,N_length,mean_longest_leaf_cm,sem_longest_leaf_cm
CC,313,44,3.327272727272727,0.172666062371136,44,2.143181818181818,0.07634611069402907
TM2,379.1526973,37,4.089189189189189,0.2423850392743347,37,2.0864864864864865,0.09276873649513255
SC,421.5178299,36,2.1527777777777777,0.11564080341498013,36,2.4444444444444446,0.11543186298064179
IH,454.1298385,49,1.9795918367346939,0.08571327339862203,49,2.4,0.09978718852236132
BH,511.4294422,111,2.110810810810811,0.06248146459108438,111,2.4855855855855857,0.05967214338282002
WV,748.8570558,2,1.4,0.7000000000000001,2,0.95,0.44999999999999996
FR,787,36,2.908333333333333,0.18298126367784995,36,2.125,0.07698433153302886
DPR,1018.591893,22,3.305,0.3097462653814391,22,2.6045454545454545,0.15168280767456074
WR,1158,9,1.6111111111111112,0.27307123838765573,9,1.6444444444444444,0.22180516419641252
WL1,1613.837245,125,2.1104,0.0484977418829159,125,1.9744,0.049499481913222274
SQ1,1921.036585,46,1.65,0.08198915917499229,45,1.8222222222222222,0.07613709650048477
SQ2,1934.45122,23,0.9391304347826087,0.10496359813850292,22,1.5,0.12431631210161222
WL2,2020.115818,23,1.7826086956521738,0.1632975622309013,23,1.5043478260869565,0.15609846148709777
YO4,2157.57391,6,2.4166666666666665,0.2638391766040652,6,2.316666666666667,0.15793810320642848
CP2,2244.132886,38,1.3894736842105264,0.08087268269520174,38,1.8210526315789475,0.10247005562927308
CP3,2266.382201,7,1.342857142857143,0.28187902070378557,7,1.8857142857142857,0.3269109179873314
LV3,2353.550747,65,1.6584615384615384,0.05641076631471175,65,1.4661538461538461,0.04489715400634903
SQ3,2373.170732,10,1.01,0.11590225767142473,10,1.78,0.17562586496425986
YO7,2469.978665,15,1.04,0.14369279400032225,15,1.5133333333333334,0.13552953172004237
YO8,2590.97836,13,1.8461538461538463,0.18865766874508802,13,2.3461538461538463,0.19987668782353213
LV1,2593.416641,3,1.4,0.2645751311064591,3,1.4333333333333333,0.39299420408505326
LVTR1,2741.38982,15,1.3533333333333333,0.14795966846429295,15,1.3466666666666667,0.1585249467123668
YO11,2872.295032,14,1.9357142857142857,0.16628029521776777,14,1.2642857142857142,0.1454840888007741
